INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1021	1007	国色天香	翩若惊鸿，婉若游龙，荣曜秋菊，华茂春松，实为国色天香。	110	2	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1022	0	-1
1022	1007	风流倜傥	有才学而不拘礼法，仅凭一言一行，即可令众多江湖侠女为之心动。	111	2	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1021	1	-1
1023	1008	倾国倾城	北方有佳人，绝世而独立，一顾倾人城，再顾倾人国宁不知倾城与倾国，佳人难再得。	112	3	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1024	0	-1
1024	1008	玉树临风	生来气质超凡，样貌赛过潘安，动如迅雷闪电，静如玉树翩翩，引得无数女侠为之倾倒。	113	3	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1023	1	-1
1025	1009	绝世佳人	绝世风华，妙容仙姿。倾世佳人，宛若画中云仙。	132	4	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1026	0	-1
1026	1009	龙章凤姿	龙章凤彩，其质天然。掷果潘郎，又兼惊才风逸。	133	4	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1025	1	-1
1027	1010	痴心不忘·醉世情圣	花影摇曳蝶流连，万千宠爱集一身。	189	1	-1	2021年情人称号	万千宠爱送花榜第一名。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1028	1010	韶华绮梦·玫瑰情人	花影摇曳蝶流连，万千宠爱集一身。	190	1	-1	2021年情人称号	万千宠爱收花榜第一名。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1029	1011	隐语者	花灯隐语活动中解谜达人的象征。	134	1	-1	花灯隐语活动中，累计完成任务3次领取的称号。	花灯隐语活动中，累计完成任务3次领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1030	1011	谐隐雕龙	花灯隐语活动中解谜专家的象征。	134	2	-1	花灯隐语活动中，累计完成任务6次领取的称号。	花灯隐语活动中，累计完成任务6次领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1031	1011	无文隐谜踪	花灯隐语活动中解谜超人的象征。	134	3	-1	花灯隐语活动中，累计完成任务9次领取的称号。	花灯隐语活动中，累计完成任务9次领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1032	1012	英雄大会·盖世豪侠	英雄大会票选中独占鳌头。	135	4	2160	英雄大会票选中独占鳌头，夺得第一名。	英雄大会票选中夺得第1名。	1	106	9	1	0	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1033	1012	英雄大会·当世名侠	英雄大会票选中成绩斐然。	135	3	2160	英雄大会票选中成绩斐然，夺得第2-3名。	英雄大会票选中夺得第2-3名。	1	106	8	1	0	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1034	1013	陷阵营	斩敌夺阵，勇往直前的兵卒，战场中的主力。	136	1	-1	兵行四象专属称号	历史四象荣誉达到500点领取。	0	106	3	1	0	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1035	1013	骁骑军	千里单骑，冲锋陷阵的勇者，战场中的精英。	136	2	-1	兵行四象专属称号	历史四象荣誉达到2000点领取。	0	106	3	1	0	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1036	1013	纵横士	纵横千里，功勋卓著的将领，战场中的英才。	136	3	-1	兵行四象专属称号	历史四象荣誉达到5000点领取。	0	106	4	1	0	440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1037	1013	百胜将	百战百胜，破敌千军的大将，战场中的核心。	136	4	-1	兵行四象专属称号	历史四象荣誉达到20000点领取。	0	106	4	1	0	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1038	1013	领军之帅	纵领千军，气盖山河的元帅，战场中的王者。	136	5	-1	兵行四象专属称号	历史四象荣誉达到50000点领取。	0	106	4	1	0	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1039	1013	国士无双	所向披靡，傲世无双的国士，战场中的主宰。	136	6	-1	兵行四象专属称号	历史四象荣誉达到100000点领取。	0	106	5	1	0	1300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1040	1013	天下归心	群雄敬仰、天下归心的帝王，战场中的传说。	136	7	-1	兵行四象专属称号	历史四象荣誉达到200000点领取。	0	106	5	1	0	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1041	1012	英雄大会·四海英杰	英雄大会票选中成绩斐然。	135	2	2160	英雄大会票选中成绩斐然，夺得4-10名。	英雄大会票选中夺得4-10名。	1	106	7	1	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1042	1012	英雄大会·一方逍遥	英雄大会票选中成绩斐然。	135	1	2160	英雄大会票选中成绩斐然，夺得11-20名。	英雄大会票选中夺得11-20名。	1	106	6	1	0	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1043	1014	一世有你	2021年怀旧玩家见面会专属称号	137	1	-1	2021年怀旧玩家见面会专属称号	使用玩家伴手礼礼包后可获得。	0	106	84	1	0	3000	6	30	9	30	12	30	15	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1044	1015	揽锦撷芳·入骨相思	七夕满庭芳花序榜·鸳鸯梦送花榜第一名。	138	1	-1	七夕满庭芳花序榜·鸳鸯梦送花榜第一名。	七夕满庭芳花序榜·鸳鸯梦送花榜第一名获得。	0	106	14	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1045	1015	念久情长·君心我心	七夕满庭芳花序榜·鸳鸯梦收花榜第一名。	139	1	-1	七夕满庭芳花序榜·鸳鸯梦收花榜第一名。	七夕满庭芳花序榜·鸳鸯梦收花榜第一名获得。	0	106	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1046	1016	愿逐月华缱绻客	七夕活动期间累计收花188朵奖励称号。	140	1	-1	七夕活动期间累计收花188朵奖励称号。	七夕活动期间累计收花188朵奖励称号可获得。	0	106	13	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1047	1017	佳人影	执扇绰约佳人影，莞尔不言似梦中。	141	1	720	执扇绰约佳人影，莞尔不言似梦中。	2021年女神大赛中，通过照片初级认证审核后可获得。	1	106	10	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1048	1017	星眸顾	扇底星眸睐，一顾解相思。	142	3	-1	扇底星眸睐，一顾解相思。	2021年女神大赛中，通过远程视频认证，视频与照片需为同一人后可获得。	0	106	12	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1049	1017	万芳主	倦起缓摇扇，一笑御万芳。	143	1	-1	倦起缓摇扇，一笑御万芳。	2021年女神大赛中，高级赛区票数第一后可获得。	0	106	11	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1050	1017	佳人影	执扇绰约佳人影，莞尔不言似梦中。	141	2	2160	执扇绰约佳人影，莞尔不言似梦中。	2021年女神大赛中，通过照片初级认证审核后可获得。	1	106	10	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1051	1017	星眸顾	扇底星眸睐，一顾解相思。	142	1	1440	扇底星眸睐，一顾解相思。	2021年女神大赛中，通过远程视频认证，视频与照片需为同一人后可获得。	1	106	12	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1052	1017	星眸顾	扇底星眸睐，一顾解相思。	142	2	2160	扇底星眸睐，一顾解相思。	2021年女神大赛中，通过远程视频认证，视频与照片需为同一人后可获得。	1	106	12	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1053	1018	少林真传·罗汉	愿渡凡世恶，摧伏邪魔道。	144	1	-1	愿渡凡世恶，摧伏邪魔道。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1054	1018	少林真传·金刚	愿承火宅苦，慈护众生相。	144	1	-1	愿承火宅苦，慈护众生相。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1055	1018	明教真传·天罗	天罗织就罢，一念覆坤舆。	144	1	-1	天罗织就罢，一念覆坤舆。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1056	1018	明教真传·血戾	残息濒绝境，焚血戮仇雠。	144	1	-1	残息濒绝境，焚血戮仇雠。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1057	1018	丐帮真传·酒狂	醺然抬眼望，浩歌嘲斜阳。	144	1	-1	醺然抬眼望，浩歌嘲斜阳。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1058	1018	丐帮真传·行侠	一任义气满，行侠世无双。	144	1	-1	一任义气满，行侠世无双。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1059	1018	武当真传·凭虚	纵苇天地去，桂棹欸乃远。	144	1	-1	纵苇天地去，桂棹欸乃远。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1060	1018	武当真传·摘星	且摘北辰光，绿漪琼杯酿。	144	1	-1	且摘北辰光，绿漪琼杯酿。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1061	1018	峨嵋真传·沁芳	风回馨愈染，渲得满庭芳。	144	1	-1	风回馨愈染，渲得满庭芳。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1062	1018	峨嵋真传·清音	轻啼穿初晓，清泠有佳音。	144	1	-1	轻啼穿初晓，清泠有佳音。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1063	1018	星宿真传·寒冥	寒波渡秋雨，飞雪扰青冥。	144	1	-1	寒波渡秋雨，飞雪扰青冥。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1064	1018	星宿真传·九厄	九天夺星辉，厄海困凡尘。	144	1	-1	九天夺星辉，厄海困凡尘。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
1065	1018	天龙真传·龙威	苍龙威犹在，唯我真英雄。	144	1	-1	苍龙威犹在，唯我真英雄。	完成武道引导任务·详参武道得真传，成为门派真传弟子后可获得。	0	106	18	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1
