INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
70101004	7	1	1	4	1	-1	1	-1	-1	75白装头	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽面甲	0	0	-1	-1	511	511	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70102000	7	1	2	0	2	-1	1	-1	-1	1白装甲	1	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	1000	800	3	-1	-1	OtherTools2_16	珍兽体甲	0	0	-1	-1	62	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70102001	7	1	2	1	2	-1	1	-1	-1	轻兽甲	45	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	4500	3600	3	-1	-1	PetEquipCloth1_1	珍兽体甲	0	0	-1	-1	303	303	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70102002	7	1	2	2	2	-1	1	-1	-1	重兽甲	55	简单的珍兽装备，防护全面，攻守兼备。	5500	4400	3	-1	-1	PetEquipCloth1_2	珍兽体甲	0	0	-1	-1	373	373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70102003	7	1	2	3	2	-1	1	-1	-1	65白装甲	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽体甲	0	0	-1	-1	442	442	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70102004	7	1	2	4	2	-1	1	-1	-1	75白装甲	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽体甲	0	0	-1	-1	511	511	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70103000	7	1	3	0	3	-1	1	-1	-1	1白装项圈	1	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	1000	800	3	-1	-1	OtherTools2_16	珍兽项圈	0	0	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70103001	7	1	3	1	3	-1	1	-1	-1	轻兽圈	45	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	4500	3600	3	-1	-1	PetEquipChaplet1_1	珍兽项圈	0	0	-1	-1	-1	-1	283	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70103002	7	1	3	2	3	-1	1	-1	-1	重兽圈	55	简单的珍兽装备，防护全面，攻守兼备。	5500	4400	3	-1	-1	PetEquipChaplet1_2	珍兽项圈	0	0	-1	-1	-1	-1	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70103003	7	1	3	3	3	-1	1	-1	-1	65白装项圈	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽项圈	0	0	-1	-1	-1	-1	407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70103004	7	1	3	4	3	-1	1	-1	-1	75白装项圈	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽项圈	0	0	-1	-1	-1	-1	469	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	50	20301009	2	70
70104000	7	1	4	0	4	-1	1	-1	-1	1白装护符	1	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	1000	800	3	-1	-1	OtherTools2_16	珍兽护符	0	0	62	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	50	20301009	2	70
70104001	7	1	4	1	4	-1	1	-1	-1	轻兽符	45	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	4500	3600	3	-1	-1	PetEquipAmulet1_1	珍兽护符	0	0	307	307	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	50	20301009	2	70
70104002	7	1	4	2	4	-1	1	-1	-1	重兽符	55	简单的珍兽装备，防护全面，攻守兼备。	5500	4400	3	-1	-1	PetEquipAmulet1_2	珍兽护符	0	0	377	377	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	50	20301009	2	70
70104003	7	1	4	3	4	-1	1	-1	-1	65白装护符	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽武器	0	0	447	447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	50	20301009	2	70
70104004	7	1	4	4	4	-1	1	-1	-1	75白装护符	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽武器	0	0	517	517	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70200000	7	2	0	0	0	-1	22	-1	-1	1未鉴定爪	1	x	1000	800	3	-1	-1	OtherTools2_16	珍兽武器	1	1	62	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	1	3	7	1	250	-1	0	1	-1	1	-1	1	-1	100	20301009	2	70
70200001	7	2	0	1	0	-1	22	-1	-1	马踏刍云兽爪	45	茫茫草原，骏马奔腾，此物因此得名。	4500	3600	3	-1	-1	OtherTools2_16	珍兽武器	1	1	307	307	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	45	3	7	1	250	-1	0	1	1	-1	1	-1	1	100	20301009	2	70
70200002	7	2	0	2	0	-1	22	-1	-1	55未鉴定爪	55	x	5500	4400	3	-1	-1	OtherTools2_16	珍兽武器	1	1	377	377	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	55	3	7	1	250	-1	0	1	-1	1	-1	1	-1	100	20301009	2	70
70200003	7	2	0	3	0	-1	22	-1	-1	65未鉴定爪	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽武器	1	1	447	447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	65	3	7	1	250	-1	0	1	1	-1	1	-1	1	100	20301009	2	70
70200004	7	2	0	4	0	-1	22	-1	-1	75未鉴定爪	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽武器	1	1	517	517	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	75	3	7	1	250	-1	0	1	-1	1	-1	1	-1	50	20301009	2	70
70201000	7	2	1	0	1	-1	22	-1	-1	1未鉴定头	1	x	1000	800	3	-1	-1	OtherTools2_16	珍兽面甲	1	1	-1	-1	62	62	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	1	3	7	1	250	-1	0	1	1	-1	1	-1	1	50	20301009	2	70
70201001	7	2	1	1	1	-1	22	-1	-1	马踏刍云兽盔	45	茫茫草原，骏马奔腾，此物因此得名。	4500	3600	3	-1	-1	OtherTools2_16	珍兽面甲	1	1	-1	-1	303	303	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	45	3	7	1	250	-1	0	1	-1	1	-1	1	-1	50	20301009	2	70
70201002	7	2	1	2	1	-1	22	-1	-1	55未鉴定头	55	x	5500	4400	3	-1	-1	OtherTools2_16	珍兽面甲	1	1	-1	-1	373	373	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	55	3	7	1	250	-1	0	1	1	-1	1	-1	1	50	20301009	2	70
70201003	7	2	1	3	1	-1	22	-1	-1	65未鉴定头	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽面甲	1	1	-1	-1	442	442	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	65	3	7	1	250	-1	0	1	-1	1	-1	1	-1	50	20301009	2	70
70201004	7	2	1	4	1	-1	22	-1	-1	75未鉴定头	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽面甲	1	1	-1	-1	511	511	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	75	3	7	1	250	-1	0	1	1	-1	1	-1	1	100	20301009	2	70
70202000	7	2	2	0	2	-1	22	-1	-1	1未鉴定甲	1	x	1000	800	3	-1	-1	OtherTools2_16	珍兽体甲	1	1	-1	-1	62	62	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	1	3	7	1	250	-1	0	1	-1	1	-1	1	-1	100	20301009	2	70
70202001	7	2	2	1	2	-1	22	-1	-1	马踏刍云兽甲	45	茫茫草原，骏马奔腾，此物因此得名。	4500	3600	3	-1	-1	OtherTools2_16	珍兽体甲	1	1	-1	-1	303	303	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	45	3	7	1	250	-1	0	1	1	-1	1	-1	1	100	20301009	2	70
70202002	7	2	2	2	2	-1	22	-1	-1	55未鉴定甲	55	x	5500	4400	3	-1	-1	OtherTools2_16	珍兽体甲	1	1	-1	-1	373	373	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	55	3	7	1	250	-1	0	1	-1	1	-1	1	-1	100	20301009	2	70
70202003	7	2	2	3	2	-1	22	-1	-1	65未鉴定甲	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽体甲	1	1	-1	-1	442	442	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	65	3	7	1	250	-1	0	1	1	-1	1	-1	1	100	20301009	2	70
70202004	7	2	2	4	2	-1	22	-1	-1	75未鉴定甲	75	x	7500	6000	3	-1	-1	OtherTools2_16	珍兽体甲	1	1	-1	-1	511	511	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	75	3	7	1	250	-1	0	1	-1	1	-1	1	-1	100	20301009	2	70
