INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
ID	特效ID1	音效ID1	特效的绑定点1	特效ID2	音效ID2	特效的绑定点2	特效ID3	音效ID3	特效的绑定点3	特效ID4	音效ID4	特效的绑定点4	特效ID5	音效ID5	特效的绑定点5	预留1	预留2	效果说明	预留
37	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点			隔岸观火特效	1	
38	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点			压扁狗背特效	1	
39	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点			望梅止渴特效	1	
40	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点			阳歌天钧特效	1	
41	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点			阳春白雪特效	1	
42	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点			凭虚御风特效	1	
43	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点			一呼百应特效	1	
44	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点			白虹贯日特效	1	
58	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点			友好特效	1	
59	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点			烟花新1	1	
60	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点			烟花新2	1	
61	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点			烟花新3	1	
62	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点			烟花新4	1	
63	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点			烟花新5	1	
64	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点			中秋特效1	1	
65	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点			中秋特效2	1	
66	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点			中秋特效3	1	
67	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点			中秋特效4	1	
68	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点			少林师门动作	1	
69	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点			明教师门动作	1	
70	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点			丐帮师门动作	1	
71	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点			武当师门动作	1	
72	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点			峨嵋师门动作	1	
73	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点			星宿师门动作	1	
74	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点			大理师门动作	1	
75	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点			天山师门动作	1	
76	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点			逍遥师门动作	1	
77	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点			接任务特效	1	
78	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点			交任务特效	1	
79	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点			升级绿特效	1	
80	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点			升级黄特效	1	
100	all_bj0000a	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0000a	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj0000a	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj0000a	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj0004a	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			雁南飞受击	1	
101	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点			鹰击长空受击	1	
102	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点			凤舞九天受击	1	
103	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点			雪花六出	1	
104	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点			梅花三弄	1	
105	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点			阳歌天钧特效	1	
106	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点			真水无香(移花接木）特效	1	
107	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			三阳开泰特效	1	
108	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点			震惊百里	1	
109	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点			月夜斩（水淹七军）	1	
110	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点			摩尼圣火阵	1	
111	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_3.wav	身体受击点			摩诃无量	1	
112	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_3.wav	身体受击点			一拍两散特效	1	
113	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			金刚伏魔圈特效	1	
114	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点			化血绵掌特效	1	
115	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点			火焰连环斩	1	
116	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点			如来神掌特效	1	
117	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			大力金刚掌	1	
118	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点			袈裟伏魔	1	
119	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点			炎龙无双	1	
120	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点			移花接木	1	
121	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点			冲阵斩将	1	
122	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点			飞龙在天特效	1	
123	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点			亢龙有悔特效	1	
124	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			一阳指	1	
125	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点			少泽剑	1	
126	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点			排山倒海	1	
127	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点			诛仙阵	1	
128	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			八阵图	1	
129	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_2.wav	身体受击点			桃花阵	1	
130	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点			拖泥带水	1	
131	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点			冲虚养气	1	
132	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点			佛光普照	1	
133	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点			凌波微步	1	
134	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点			新增烟花特效1	1	
135	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点			新增烟花特效2	1	
136	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点			新增烟花特效3	1	
