INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
编号	名称$1$	对应模型	对应生活技能ID	对应任务ID	Tips默认$1$	打开时间默认	脚本ID	打开动画
729	晚产蚕豆（生长中）	种植/蚕豆中.mesh	-1	0		0	711001	0	
730	晚产蚕豆	种植/蚕豆大.mesh	10	0		0	711002	0	
731	晚产马铃薯（幼苗）	种植/土豆小.mesh	-1	0		0	711000	0	
732	晚产马铃薯（生长中）	种植/土豆中.mesh	-1	0		0	711001	0	
733	晚产马铃薯	种植/土豆大.mesh	10	0		0	711002	0	
734	晚产芋头（幼苗）	种植/芋头小.mesh	-1	0		0	711000	0	
735	晚产芋头（生长中）	种植/芋头中.mesh	-1	0		0	711001	0	
736	晚产芋头	种植/芋头大.mesh	10	0		0	711002	0	
737	晚产苎麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
738	晚产苎麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
739	晚产苎麻	种植/小麦大.mesh	10	0		0	711002	0	
740	晚产草棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
741	晚产草棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
742	晚产草棉	种植/小麦大.mesh	10	0		0	711002	0	
743	晚产亚麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
744	晚产亚麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
745	晚产亚麻	种植/小麦大.mesh	10	0		0	711002	0	
746	晚产木棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
747	晚产木棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
748	晚产木棉	种植/小麦大.mesh	10	0		0	711002	0	
749	晚产黄麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
750	晚产黄麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
751	晚产黄麻	种植/小麦大.mesh	10	0		0	711002	0	
752	晚产云棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
753	晚产云棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
754	晚产云棉	种植/小麦大.mesh	10	0		0	711002	0	
755	晚产槿麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
756	晚产槿麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
757	晚产槿麻	种植/小麦大.mesh	10	0		0	711002	0	
758	晚产绒棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
759	晚产绒棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
760	晚产绒棉	种植/小麦大.mesh	10	0		0	711002	0	
761	晚产青麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
762	晚产青麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
763	晚产青麻	种植/小麦大.mesh	10	0		0	711002	0	
764	晚产彩棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
765	晚产彩棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
766	晚产彩棉	种植/小麦大.mesh	10	0		0	711002	0	
767	晚产罗布麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
768	晚产罗布麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
769	晚产罗布麻	种植/小麦大.mesh	10	0		0	711002	0	
770	晚产陆地棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
771	晚产陆地棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
772	晚产陆地棉	种植/小麦大.mesh	10	0		0	711002	0	
773	普通喜糖	喜包/普通喜包.mesh	26	0		0	712526	0	
774	高级喜糖	喜包/高级喜包.mesh	26	0		0	712526	0	
775	豪华喜糖	喜包/豪华喜包.mesh	26	0		0	712526	0	
776	镜湖千年草	草药矿石/仙丹灵药.obj	26	0		0	710531	0	
777	萤火虫	草药矿石/萤火虫.obj	26	0		0	712527	0	
778	雪堆	0物品/npc雪堆.obj	26	0		0	889270	0	
779	圣诞宝箱	喜包/豪华喜包.mesh	26	0		0	712526	0	
780	年兽宝箱	喜包/豪华喜包.mesh	26	0		0	50052	0	
781	年兽宝箱	喜包/高级喜包.mesh	26	0		0	50055	0	
782	孔明灯	草药矿石/孔明灯1.obj	26	0		0	808085	0	
783	孔明灯	草药矿石/孔明灯2.obj	26	0		0	808085	0	
784	孔明灯	草药矿石/孔明灯3.obj	26	0		0	808085	0	
785	香薰	草药矿石/香薷.obj	8	0		0	710000	0	
786	栀子	草药矿石/桅子.obj	8	0		0	710000	0	
787	双花	草药矿石/双花.obj	8	0		0	710000	0	
788	青叶	草药矿石/青叶.obj	8	0		0	710000	0	
789	红花	草药矿石/红花.obj	8	0		0	710000	0	
790	茈碧矿石	草药矿石/茈碧矿石.obj	7	0		0	710000	0	
791	砾石	草药矿石/光滑的石头.obj	50	0		0	712534	0	
792	雁翎	草药矿石/大雁羽毛.obj	50	0		0	712534	0	
793	七叶莲	草药矿石/七叶莲.obj	50	0		0	712534	0	
794	白虎石	草药矿石/kvk白虎石.obj	51	0		0	710016	0	
795	盘古石	草药矿石/kvk女娲石.obj	51	0		0	710019	0	
796	青龙石	草药矿石/kvk青龙石.obj	51	0		0	710015	0	
797	玄武石	草药矿石/kvk玄武石.obj	51	0		0	710018	0	
798	朱雀石	草药矿石/kvk朱雀石.obj	51	0		0	710017	0	
799	许愿礼包	喜包/豪华喜包.mesh	26	0		0	712526	0	
800	稀有的花盆	0物品/npc20091111茉莉花盆.obj	26	0		0	716000	0	
801	茉莉花	0物品/npc20091111茉莉花.obj	26	0		0	716001	0	
802	灵玉矿脉	草药矿石/npc灵玉矿石20091124.obj	7	0		0	712535	0	
803	散落的盔甲	师门任务/npc散落的铠甲100113.obj	26	0		0	715032	0	
804	散落的盾牌	师门任务/npc散落的盾牌100113.obj	26	0		0	715033	0	
805	散落的兵器	师门任务/npc散落的兵器100113.obj	26	0		0	715034	0	
806	宝箱	师门任务/白颜色宝箱.obj	26	0		0	712501	0	
807	祈福礼盒	喜包/豪华喜包.mesh	26	0		0	712526	0	
808	香料	曼陀山庄_香料.obj	26	0		0	893256	0	
809	琼玉油脂	曼陀山庄_琼玉油脂.obj	26	0		0	893257	0	
810	琴木	曼陀山庄_琴木.obj	26	0		0	893258	0	
811	长春石	草药矿石/npc长春谷低级采集矿石.obj	57	0		0	292002	0	
812	冰晶	0物品/npc溪谷冰砖.obj	58	0		0	890127	0	
813	竹子	0物品/npc蜀南竹笋.obj	58	0		0	890128	0	
814	鲜花	0物品/npc西府海棠花.obj	58	0		0	890129	0	
815	长春石	草药矿石/npc白溪湖采集矿石.obj	57	0		0	292002	0	
816	萤火虫	草药矿石/挽星河紫色萤火虫.obj	26	0		0	998289	0	
817	萤火虫	草药矿石/挽星河红色萤火虫.obj	26	0		0	998289	0	
818	萤火虫	草药矿石/挽星河蓝色萤火虫.obj	26	0		0	998289	0	
819	比武招亲礼盒	0物品/HJ_npc问情礼袋23.obj	26	0		0	712526	0	
820	香蒲	草药矿石/npc甘草.obj	63	0		0	890350	0	
821	芝兰	草药矿石/npc芝兰.obj	63	0		0	890350	0	
822	血茯苓	草药矿石/npc血茯苓.obj	63	0		0	890350	0	
823	粳稻	草药矿石/npc粳稻.obj	63	0		0	890350	0	
824	茭白	草药矿石/npc茭白.obj	63	0		0	890350	0	
825	盈月笋	草药矿石/npc盈月笋.obj	63	0		0	890350	0	
826	青铜	草药矿石/npc青铜矿石.obj	64	0		0	890350	0	
827	玄铁	草药矿石/npc玄铁矿石.obj	64	0		0	890350	0	
828	锻月银	草药矿石/npc锻月银矿石.obj	64	0		0	890350	0	
829	桦枝	草药矿石/npc桦枝.obj	63	0		0	890350	0	
830	霜竹	草药矿石/npc霜竹.obj	63	0		0	890350	0	
831	贞云松	草药矿石/npc贞云松.obj	63	0		0	890350	0	
832	香蒲·丰产	草药矿石/npc甘草高级.obj	63	0		0	890350	0	
833	香蒲·丰产	草药矿石/npc甘草高级.obj	63	0		0	890350	0	
834	芝兰·丰产	草药矿石/npc芝兰高级.obj	63	0		0	890350	0	
835	血茯苓·丰产	草药矿石/npc血茯苓高级.obj	63	0		0	890350	0	
836	粳稻·丰产	草药矿石/npc粳稻高级.obj	63	0		0	890350	0	
837	粳稻·丰产	草药矿石/npc粳稻高级.obj	63	0		0	890350	0	
838	茭白·丰产	草药矿石/npc茭白高级.obj	63	0		0	890350	0	
839	盈月笋·丰产	草药矿石/npc盈月笋高级.obj	63	0		0	890350	0	
840	青铜·丰产	草药矿石/npc青铜矿石高级.obj	64	0		0	890350	0	
841	青铜·丰产	草药矿石/npc青铜矿石高级.obj	64	0		0	890350	0	
842	玄铁·丰产	草药矿石/npc玄铁矿石高级.obj	64	0		0	890350	0	
843	锻月银·丰产	草药矿石/npc锻月银矿石高级.obj	64	0		0	890350	0	
844	桦枝·丰产	草药矿石/npc桦枝高级.obj	63	0		0	890350	0	
845	桦枝·丰产	草药矿石/npc桦枝高级.obj	63	0		0	890350	0	
