INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10300	1	3	0	200000	20800013	20800012	10	26	750	0	240	26	555	0	240	26	375
10301	1	3	1	200000	20800013	20800012	10	26	780	0	251	26	585	0	251	26	390
10302	1	3	2	200000	20800013	20800012	10	26	810	0	262	26	600	0	262	26	405
10303	1	3	3	200000	20800013	20800012	10	26	840	0	273	26	630	0	273	26	420
10304	1	3	4	200000	20800013	20800012	10	26	870	0	284	26	645	0	284	26	435
10305	1	3	5	240000	20800013	20800012	12	26	900	0	295	26	675	0	295	26	450
10306	1	3	6	240000	20800013	20800012	12	26	930	0	306	26	690	0	306	26	465
10307	1	3	7	240000	20800013	20800012	12	26	960	0	317	26	720	0	317	26	480
10308	1	3	8	240000	20800013	20800012	12	26	990	0	328	26	735	0	328	26	495
10309	1	3	9	240000	20800013	20800012	12	26	1020	0	339	26	765	0	339	26	510
10310	1	3	10	600000	20800001	20800000	60	26	1050	0	350	26	780	0	350	26	525
10400	1	4	0	280000	20800013	20800012	14	26	1050	0	360	26	780	0	360	26	525
10401	1	4	1	280000	20800013	20800012	14	26	1080	0	372	26	810	0	372	26	540
10402	1	4	2	280000	20800013	20800012	14	26	1110	0	384	26	825	0	384	26	555
10403	1	4	3	280000	20800013	20800012	14	26	1140	0	396	26	855	0	396	26	570
10404	1	4	4	280000	20800013	20800012	14	26	1170	0	408	26	870	0	408	26	585
10405	1	4	5	320000	20800013	20800012	16	26	1200	0	420	26	900	0	420	26	600
10406	1	4	6	320000	20800013	20800012	16	26	1230	0	432	26	915	0	432	26	615
10407	1	4	7	320000	20800013	20800012	16	26	1260	0	444	26	945	0	444	26	630
10408	1	4	8	320000	20800013	20800012	16	26	1290	0	456	26	960	0	456	26	645
10409	1	4	9	320000	20800013	20800012	16	26	1320	0	468	26	990	0	468	26	660
10410	1	4	10	800000	20800001	20800000	80	26	1350	0	480	26	1005	0	480	26	675
10500	1	5	0	210000	20800015	20800014	7	26	1350	0	490	26	1005	0	490	26	675
10501	1	5	1	210000	20800015	20800014	7	26	1410	0	503	26	1050	0	503	26	705
10502	1	5	2	210000	20800015	20800014	7	26	1470	0	516	26	1095	0	516	26	735
10503	1	5	3	210000	20800015	20800014	7	26	1530	0	529	26	1140	0	529	26	765
10504	1	5	4	210000	20800015	20800014	7	26	1590	0	542	26	1185	0	542	26	795
10505	1	5	5	300000	20800015	20800014	10	26	1650	0	555	26	1230	0	555	26	825
10506	1	5	6	300000	20800015	20800014	10	26	1710	0	568	26	1275	0	568	26	855
10507	1	5	7	300000	20800015	20800014	10	26	1770	0	581	26	1320	0	581	26	885
10508	1	5	8	300000	20800015	20800014	10	26	1830	0	594	26	1365	0	594	26	915
10509	1	5	9	300000	20800015	20800014	10	26	1890	0	607	26	1410	0	607	26	945
10510	1	5	10	1000000	20800001	20800000	100	26	1950	0	620	26	1455	0	620	26	975
10600	1	6	0	390000	20800015	20800014	13	26	1950	0	630	26	1455	0	630	26	975
10601	1	6	1	390000	20800015	20800014	13	26	2010	0	644	26	1500	0	644	26	1005
10602	1	6	2	390000	20800015	20800014	13	26	2070	0	658	26	1545	0	658	26	1035
10603	1	6	3	390000	20800015	20800014	13	26	2130	0	672	26	1590	0	672	26	1065
10604	1	6	4	390000	20800015	20800014	13	26	2190	0	686	26	1635	0	686	26	1095
10605	1	6	5	480000	20800015	20800014	16	26	2250	0	700	26	1680	0	700	26	1125
10606	1	6	6	480000	20800015	20800014	16	26	2310	0	714	26	1725	0	714	26	1155
10607	1	6	7	480000	20800015	20800014	16	26	2370	0	728	26	1770	0	728	26	1185
10608	1	6	8	480000	20800015	20800014	16	26	2430	0	742	26	1815	0	742	26	1215
10609	1	6	9	480000	20800015	20800014	16	26	2490	0	756	26	1860	0	756	26	1245
10610	1	6	10	1200000	20800001	20800000	120	26	2550	0	770	26	1905	0	770	26	1275
10700	1	7	0	570000	20800015	20800014	19	26	2550	0	780	26	1905	0	780	26	1275
10701	1	7	1	570000	20800015	20800014	19	26	2610	0	795	26	1950	0	795	26	1305
10702	1	7	2	570000	20800015	20800014	19	26	2670	0	810	26	1995	0	810	26	1335
10703	1	7	3	570000	20800015	20800014	19	26	2730	0	825	26	2040	0	825	26	1365
10704	1	7	4	570000	20800015	20800014	19	26	2790	0	840	26	2085	0	840	26	1395
10705	1	7	5	660000	20800015	20800014	22	26	2850	0	855	26	2130	0	855	26	1425
10706	1	7	6	660000	20800015	20800014	22	26	2910	0	870	26	2175	0	870	26	1455
10707	1	7	7	660000	20800015	20800014	22	26	2970	0	885	26	2220	0	885	26	1485
10708	1	7	8	660000	20800015	20800014	22	26	3030	0	900	26	2265	0	900	26	1515
10709	1	7	9	660000	20800015	20800014	22	26	3090	0	915	26	2310	0	915	26	1545
10710	1	7	10	1400000	20800001	20800000	140	26	3150	0	930	26	2355	0	930	26	1575
10800	1	8	0	450000	20800017	20800016	15	26	3150	0	940	26	2355	0	940	26	1575
10801	1	8	1	450000	20800017	20800016	15	26	3210	0	956	26	2400	0	956	26	1605
10802	1	8	2	450000	20800017	20800016	15	26	3270	0	972	26	2445	0	972	26	1635
10803	1	8	3	450000	20800017	20800016	15	26	3330	0	988	26	2490	0	988	26	1665
10804	1	8	4	450000	20800017	20800016	15	26	3390	0	1004	26	2535	0	1004	26	1695
10805	1	8	5	570000	20800017	20800016	19	26	3450	0	1020	26	2580	0	1020	26	1725
10806	1	8	6	570000	20800017	20800016	19	26	3510	0	1036	26	2625	0	1036	26	1755
10807	1	8	7	570000	20800017	20800016	19	26	3570	0	1052	26	2670	0	1052	26	1785
10808	1	8	8	570000	20800017	20800016	19	26	3630	0	1068	26	2715	0	1068	26	1815
10809	1	8	9	570000	20800017	20800016	19	26	3690	0	1084	26	2760	0	1084	26	1845
10810	1	8	10	1600000	20800001	20800000	160	26	3750	0	1100	26	2805	0	1100	26	1875
10900	1	9	0	920000	20800017	20800016	23	26	3750	0	1110	26	2805	0	1110	26	1875
10901	1	9	1	920000	20800017	20800016	23	26	3810	0	1128	26	2850	0	1128	26	1905
10902	1	9	2	920000	20800017	20800016	23	26	3870	0	1146	26	2895	0	1146	26	1935
10903	1	9	3	920000	20800017	20800016	23	26	3930	0	1164	26	2940	0	1164	26	1965
10904	1	9	4	920000	20800017	20800016	23	26	3990	0	1182	26	2985	0	1182	26	1995
10905	1	9	5	1080000	20800017	20800016	27	26	4050	0	1200	26	3030	0	1200	26	2025
10906	1	9	6	1080000	20800017	20800016	27	26	4110	0	1218	26	3075	0	1218	26	2055
10907	1	9	7	1080000	20800017	20800016	27	26	4170	0	1236	26	3120	0	1236	26	2085
10908	1	9	8	1080000	20800017	20800016	27	26	4230	0	1254	26	3165	0	1254	26	2115
10909	1	9	9	1080000	20800017	20800016	27	26	4290	0	1272	26	3210	0	1272	26	2145
10910	1	9	10	2000000	20800001	20800000	200	26	4350	0	1290	26	3255	0	1290	26	2175
11000	1	10	0	1240000	20800017	20800016	31	26	4350	0	1300	26	3255	0	1300	26	2175
11001	1	10	1	1240000	20800017	20800016	31	26	4410	0	1320	26	3300	0	1320	26	2205
11002	1	10	2	1240000	20800017	20800016	31	26	4470	0	1340	26	3345	0	1340	26	2235
11003	1	10	3	1240000	20800017	20800016	31	26	4530	0	1360	26	3390	0	1360	26	2265
11004	1	10	4	1240000	20800017	20800016	31	26	4590	0	1380	26	3435	0	1380	26	2295
11005	1	10	5	1400000	20800017	20800016	35	26	4650	0	1400	26	3480	0	1400	26	2325
11006	1	10	6	1400000	20800017	20800016	35	26	4710	0	1420	26	3525	0	1420	26	2355
11007	1	10	7	1400000	20800017	20800016	35	26	4770	0	1440	26	3570	0	1440	26	2385
11008	1	10	8	1400000	20800017	20800016	35	26	4830	0	1460	26	3615	0	1460	26	2415
11009	1	10	9	1400000	20800017	20800016	35	26	4890	0	1480	26	3660	0	1480	26	2445
11010	1	10	10	-1	-1	-1	-1	26	4950	0	1500	26	3705	0	1500	26	2475
20100	2	1	0	40000	20800013	20800012	2	19	150	1	30	19	105	1	30	19	75
20101	2	1	1	40000	20800013	20800012	2	19	180	1	39	19	135	1	39	19	90
20102	2	1	2	40000	20800013	20800012	2	19	210	1	48	19	150	1	48	19	105
20103	2	1	3	40000	20800013	20800012	2	19	240	1	57	19	180	1	57	19	120
20104	2	1	4	40000	20800013	20800012	2	19	270	1	66	19	195	1	66	19	135
20105	2	1	5	80000	20800013	20800012	4	19	300	1	75	19	225	1	75	19	150
20106	2	1	6	80000	20800013	20800012	4	19	330	1	84	19	240	1	84	19	165
20107	2	1	7	80000	20800013	20800012	4	19	360	1	93	19	270	1	93	19	180
20108	2	1	8	80000	20800013	20800012	4	19	390	1	102	19	285	1	102	19	195
20109	2	1	9	80000	20800013	20800012	4	19	420	1	111	19	315	1	111	19	210
20110	2	1	10	200000	20800003	20800002	20	19	450	1	120	19	330	1	120	19	225
20200	2	2	0	120000	20800013	20800012	6	19	450	1	130	19	330	1	130	19	225
20201	2	2	1	120000	20800013	20800012	6	19	480	1	140	19	360	1	140	19	240
20202	2	2	2	120000	20800013	20800012	6	19	510	1	150	19	375	1	150	19	255
20203	2	2	3	120000	20800013	20800012	6	19	540	1	160	19	405	1	160	19	270
20204	2	2	4	120000	20800013	20800012	6	19	570	1	170	19	420	1	170	19	285
20205	2	2	5	160000	20800013	20800012	8	19	600	1	180	19	450	1	180	19	300
20206	2	2	6	160000	20800013	20800012	8	19	630	1	190	19	465	1	190	19	315
20207	2	2	7	160000	20800013	20800012	8	19	660	1	200	19	495	1	200	19	330
20208	2	2	8	160000	20800013	20800012	8	19	690	1	210	19	510	1	210	19	345
20209	2	2	9	160000	20800013	20800012	8	19	720	1	220	19	540	1	220	19	360
20210	2	2	10	400000	20800003	20800002	40	19	750	1	230	19	555	1	230	19	375
20300	2	3	0	200000	20800013	20800012	10	19	750	1	240	19	555	1	240	19	375
20301	2	3	1	200000	20800013	20800012	10	19	780	1	251	19	585	1	251	19	390
20302	2	3	2	200000	20800013	20800012	10	19	810	1	262	19	600	1	262	19	405
20303	2	3	3	200000	20800013	20800012	10	19	840	1	273	19	630	1	273	19	420
20304	2	3	4	200000	20800013	20800012	10	19	870	1	284	19	645	1	284	19	435
20305	2	3	5	240000	20800013	20800012	12	19	900	1	295	19	675	1	295	19	450
20306	2	3	6	240000	20800013	20800012	12	19	930	1	306	19	690	1	306	19	465
20307	2	3	7	240000	20800013	20800012	12	19	960	1	317	19	720	1	317	19	480
20308	2	3	8	240000	20800013	20800012	12	19	990	1	328	19	735	1	328	19	495
20309	2	3	9	240000	20800013	20800012	12	19	1020	1	339	19	765	1	339	19	510
20310	2	3	10	600000	20800003	20800002	60	19	1050	1	350	19	780	1	350	19	525
20400	2	4	0	280000	20800013	20800012	14	19	1050	1	360	19	780	1	360	19	525
20401	2	4	1	280000	20800013	20800012	14	19	1080	1	372	19	810	1	372	19	540
20402	2	4	2	280000	20800013	20800012	14	19	1110	1	384	19	825	1	384	19	555
20403	2	4	3	280000	20800013	20800012	14	19	1140	1	396	19	855	1	396	19	570
20404	2	4	4	280000	20800013	20800012	14	19	1170	1	408	19	870	1	408	19	585
20405	2	4	5	320000	20800013	20800012	16	19	1200	1	420	19	900	1	420	19	600
20406	2	4	6	320000	20800013	20800012	16	19	1230	1	432	19	915	1	432	19	615
20407	2	4	7	320000	20800013	20800012	16	19	1260	1	444	19	945	1	444	19	630
20408	2	4	8	320000	20800013	20800012	16	19	1290	1	456	19	960	1	456	19	645
20409	2	4	9	320000	20800013	20800012	16	19	1320	1	468	19	990	1	468	19	660
20410	2	4	10	800000	20800003	20800002	80	19	1350	1	480	19	1005	1	480	19	675
20500	2	5	0	210000	20800015	20800014	7	19	1350	1	490	19	1005	1	490	19	675
20501	2	5	1	210000	20800015	20800014	7	19	1410	1	503	19	1050	1	503	19	705
20502	2	5	2	210000	20800015	20800014	7	19	1470	1	516	19	1095	1	516	19	735
20503	2	5	3	210000	20800015	20800014	7	19	1530	1	529	19	1140	1	529	19	765
20504	2	5	4	210000	20800015	20800014	7	19	1590	1	542	19	1185	1	542	19	795
20505	2	5	5	300000	20800015	20800014	10	19	1650	1	555	19	1230	1	555	19	825
20506	2	5	6	300000	20800015	20800014	10	19	1710	1	568	19	1275	1	568	19	855
20507	2	5	7	300000	20800015	20800014	10	19	1770	1	581	19	1320	1	581	19	885
20508	2	5	8	300000	20800015	20800014	10	19	1830	1	594	19	1365	1	594	19	915
20509	2	5	9	300000	20800015	20800014	10	19	1890	1	607	19	1410	1	607	19	945
20510	2	5	10	1000000	20800003	20800002	100	19	1950	1	620	19	1455	1	620	19	975
20600	2	6	0	390000	20800015	20800014	13	19	1950	1	630	19	1455	1	630	19	975
20601	2	6	1	390000	20800015	20800014	13	19	2010	1	644	19	1500	1	644	19	1005
20602	2	6	2	390000	20800015	20800014	13	19	2070	1	658	19	1545	1	658	19	1035
20603	2	6	3	390000	20800015	20800014	13	19	2130	1	672	19	1590	1	672	19	1065
20604	2	6	4	390000	20800015	20800014	13	19	2190	1	686	19	1635	1	686	19	1095
20605	2	6	5	480000	20800015	20800014	16	19	2250	1	700	19	1680	1	700	19	1125
20606	2	6	6	480000	20800015	20800014	16	19	2310	1	714	19	1725	1	714	19	1155
20607	2	6	7	480000	20800015	20800014	16	19	2370	1	728	19	1770	1	728	19	1185
20608	2	6	8	480000	20800015	20800014	16	19	2430	1	742	19	1815	1	742	19	1215
20609	2	6	9	480000	20800015	20800014	16	19	2490	1	756	19	1860	1	756	19	1245
20610	2	6	10	1200000	20800003	20800002	120	19	2550	1	770	19	1905	1	770	19	1275
20700	2	7	0	570000	20800015	20800014	19	19	2550	1	780	19	1905	1	780	19	1275
20701	2	7	1	570000	20800015	20800014	19	19	2610	1	795	19	1950	1	795	19	1305
20702	2	7	2	570000	20800015	20800014	19	19	2670	1	810	19	1995	1	810	19	1335
20703	2	7	3	570000	20800015	20800014	19	19	2730	1	825	19	2040	1	825	19	1365
20704	2	7	4	570000	20800015	20800014	19	19	2790	1	840	19	2085	1	840	19	1395
20705	2	7	5	660000	20800015	20800014	22	19	2850	1	855	19	2130	1	855	19	1425
20706	2	7	6	660000	20800015	20800014	22	19	2910	1	870	19	2175	1	870	19	1455
20707	2	7	7	660000	20800015	20800014	22	19	2970	1	885	19	2220	1	885	19	1485
20708	2	7	8	660000	20800015	20800014	22	19	3030	1	900	19	2265	1	900	19	1515
20709	2	7	9	660000	20800015	20800014	22	19	3090	1	915	19	2310	1	915	19	1545
20710	2	7	10	1400000	20800003	20800002	140	19	3150	1	930	19	2355	1	930	19	1575
20800	2	8	0	450000	20800017	20800016	15	19	3150	1	940	19	2355	1	940	19	1575
20801	2	8	1	450000	20800017	20800016	15	19	3210	1	956	19	2400	1	956	19	1605
20802	2	8	2	450000	20800017	20800016	15	19	3270	1	972	19	2445	1	972	19	1635
20803	2	8	3	450000	20800017	20800016	15	19	3330	1	988	19	2490	1	988	19	1665
20804	2	8	4	450000	20800017	20800016	15	19	3390	1	1004	19	2535	1	1004	19	1695
20805	2	8	5	570000	20800017	20800016	19	19	3450	1	1020	19	2580	1	1020	19	1725
20806	2	8	6	570000	20800017	20800016	19	19	3510	1	1036	19	2625	1	1036	19	1755
20807	2	8	7	570000	20800017	20800016	19	19	3570	1	1052	19	2670	1	1052	19	1785
20808	2	8	8	570000	20800017	20800016	19	19	3630	1	1068	19	2715	1	1068	19	1815
20809	2	8	9	570000	20800017	20800016	19	19	3690	1	1084	19	2760	1	1084	19	1845
20810	2	8	10	1600000	20800003	20800002	160	19	3750	1	1100	19	2805	1	1100	19	1875
20900	2	9	0	920000	20800017	20800016	23	19	3750	1	1110	19	2805	1	1110	19	1875
20901	2	9	1	920000	20800017	20800016	23	19	3810	1	1128	19	2850	1	1128	19	1905
20902	2	9	2	920000	20800017	20800016	23	19	3870	1	1146	19	2895	1	1146	19	1935
20903	2	9	3	920000	20800017	20800016	23	19	3930	1	1164	19	2940	1	1164	19	1965
20904	2	9	4	920000	20800017	20800016	23	19	3990	1	1182	19	2985	1	1182	19	1995
20905	2	9	5	1080000	20800017	20800016	27	19	4050	1	1200	19	3030	1	1200	19	2025
20906	2	9	6	1080000	20800017	20800016	27	19	4110	1	1218	19	3075	1	1218	19	2055
20907	2	9	7	1080000	20800017	20800016	27	19	4170	1	1236	19	3120	1	1236	19	2085
20908	2	9	8	1080000	20800017	20800016	27	19	4230	1	1254	19	3165	1	1254	19	2115
20909	2	9	9	1080000	20800017	20800016	27	19	4290	1	1272	19	3210	1	1272	19	2145
20910	2	9	10	2000000	20800003	20800002	200	19	4350	1	1290	19	3255	1	1290	19	2175
21000	2	10	0	1240000	20800017	20800016	31	19	4350	1	1300	19	3255	1	1300	19	2175
21001	2	10	1	1240000	20800017	20800016	31	19	4410	1	1320	19	3300	1	1320	19	2205
21002	2	10	2	1240000	20800017	20800016	31	19	4470	1	1340	19	3345	1	1340	19	2235
21003	2	10	3	1240000	20800017	20800016	31	19	4530	1	1360	19	3390	1	1360	19	2265
21004	2	10	4	1240000	20800017	20800016	31	19	4590	1	1380	19	3435	1	1380	19	2295
21005	2	10	5	1400000	20800017	20800016	35	19	4650	1	1400	19	3480	1	1400	19	2325
21006	2	10	6	1400000	20800017	20800016	35	19	4710	1	1420	19	3525	1	1420	19	2355
21007	2	10	7	1400000	20800017	20800016	35	19	4770	1	1440	19	3570	1	1440	19	2385
21008	2	10	8	1400000	20800017	20800016	35	19	4830	1	1460	19	3615	1	1460	19	2415
21009	2	10	9	1400000	20800017	20800016	35	19	4890	1	1480	19	3660	1	1480	19	2445
21010	2	10	10	-1	-1	-1	-1	19	4950	1	1500	19	3705	1	1500	19	2475
30100	3	1	0	40000	20800013	20800012	2	6	10	2	30	6	7	2	30	6	5
30101	3	1	1	40000	20800013	20800012	2	6	12	2	39	6	9	2	39	6	6
30102	3	1	2	40000	20800013	20800012	2	6	14	2	48	6	10	2	48	6	7
30103	3	1	3	40000	20800013	20800012	2	6	16	2	57	6	12	2	57	6	8
30104	3	1	4	40000	20800013	20800012	2	6	18	2	66	6	13	2	66	6	9
30105	3	1	5	80000	20800013	20800012	4	6	20	2	75	6	15	2	75	6	10
30106	3	1	6	80000	20800013	20800012	4	6	22	2	84	6	16	2	84	6	11
30107	3	1	7	80000	20800013	20800012	4	6	24	2	93	6	18	2	93	6	12
30108	3	1	8	80000	20800013	20800012	4	6	26	2	102	6	19	2	102	6	13
30109	3	1	9	80000	20800013	20800012	4	6	28	2	111	6	21	2	111	6	14
30110	3	1	10	200000	20800005	20800004	20	6	30	2	120	6	22	2	120	6	15
30200	3	2	0	120000	20800013	20800012	6	6	30	2	130	6	22	2	130	6	15
30201	3	2	1	120000	20800013	20800012	6	6	32	2	140	6	24	2	140	6	16
30202	3	2	2	120000	20800013	20800012	6	6	34	2	150	6	25	2	150	6	17
30203	3	2	3	120000	20800013	20800012	6	6	36	2	160	6	27	2	160	6	18
30204	3	2	4	120000	20800013	20800012	6	6	38	2	170	6	28	2	170	6	19
30205	3	2	5	160000	20800013	20800012	8	6	40	2	180	6	30	2	180	6	20
30206	3	2	6	160000	20800013	20800012	8	6	42	2	190	6	31	2	190	6	21
30207	3	2	7	160000	20800013	20800012	8	6	44	2	200	6	33	2	200	6	22
30208	3	2	8	160000	20800013	20800012	8	6	46	2	210	6	34	2	210	6	23
30209	3	2	9	160000	20800013	20800012	8	6	48	2	220	6	36	2	220	6	24
30210	3	2	10	400000	20800005	20800004	40	6	50	2	230	6	37	2	230	6	25
30300	3	3	0	200000	20800013	20800012	10	6	50	2	240	6	37	2	240	6	25
30301	3	3	1	200000	20800013	20800012	10	6	52	2	251	6	39	2	251	6	26
30302	3	3	2	200000	20800013	20800012	10	6	54	2	262	6	40	2	262	6	27
30303	3	3	3	200000	20800013	20800012	10	6	56	2	273	6	42	2	273	6	28
30304	3	3	4	200000	20800013	20800012	10	6	58	2	284	6	43	2	284	6	29
30305	3	3	5	240000	20800013	20800012	12	6	60	2	295	6	45	2	295	6	30
30306	3	3	6	240000	20800013	20800012	12	6	62	2	306	6	46	2	306	6	31
30307	3	3	7	240000	20800013	20800012	12	6	64	2	317	6	48	2	317	6	32
30308	3	3	8	240000	20800013	20800012	12	6	66	2	328	6	49	2	328	6	33
30309	3	3	9	240000	20800013	20800012	12	6	68	2	339	6	51	2	339	6	34
30310	3	3	10	600000	20800005	20800004	60	6	70	2	350	6	52	2	350	6	35
30400	3	4	0	280000	20800013	20800012	14	6	70	2	360	6	52	2	360	6	35
30401	3	4	1	280000	20800013	20800012	14	6	72	2	372	6	54	2	372	6	36
30402	3	4	2	280000	20800013	20800012	14	6	74	2	384	6	55	2	384	6	37
30403	3	4	3	280000	20800013	20800012	14	6	76	2	396	6	57	2	396	6	38
30404	3	4	4	280000	20800013	20800012	14	6	78	2	408	6	58	2	408	6	39
30405	3	4	5	320000	20800013	20800012	16	6	80	2	420	6	60	2	420	6	40
30406	3	4	6	320000	20800013	20800012	16	6	82	2	432	6	61	2	432	6	41
30407	3	4	7	320000	20800013	20800012	16	6	84	2	444	6	63	2	444	6	42
30408	3	4	8	320000	20800013	20800012	16	6	86	2	456	6	64	2	456	6	43
30409	3	4	9	320000	20800013	20800012	16	6	88	2	468	6	66	2	468	6	44
30410	3	4	10	800000	20800005	20800004	80	6	90	2	480	6	67	2	480	6	45
30500	3	5	0	210000	20800015	20800014	7	6	90	2	490	6	67	2	490	6	45
30501	3	5	1	210000	20800015	20800014	7	6	94	2	503	6	70	2	503	6	47
30502	3	5	2	210000	20800015	20800014	7	6	98	2	516	6	73	2	516	6	49
30503	3	5	3	210000	20800015	20800014	7	6	102	2	529	6	76	2	529	6	51
30504	3	5	4	210000	20800015	20800014	7	6	106	2	542	6	79	2	542	6	53
30505	3	5	5	300000	20800015	20800014	10	6	110	2	555	6	82	2	555	6	55
30506	3	5	6	300000	20800015	20800014	10	6	114	2	568	6	85	2	568	6	57
30507	3	5	7	300000	20800015	20800014	10	6	118	2	581	6	88	2	581	6	59
30508	3	5	8	300000	20800015	20800014	10	6	122	2	594	6	91	2	594	6	61
30509	3	5	9	300000	20800015	20800014	10	6	126	2	607	6	94	2	607	6	63
30510	3	5	10	1000000	20800005	20800004	100	6	130	2	620	6	97	2	620	6	65
30600	3	6	0	390000	20800015	20800014	13	6	130	2	630	6	97	2	630	6	65
30601	3	6	1	390000	20800015	20800014	13	6	134	2	644	6	100	2	644	6	67
30602	3	6	2	390000	20800015	20800014	13	6	138	2	658	6	103	2	658	6	69
30603	3	6	3	390000	20800015	20800014	13	6	142	2	672	6	106	2	672	6	71
30604	3	6	4	390000	20800015	20800014	13	6	146	2	686	6	109	2	686	6	73
30605	3	6	5	480000	20800015	20800014	16	6	150	2	700	6	112	2	700	6	75
30606	3	6	6	480000	20800015	20800014	16	6	154	2	714	6	115	2	714	6	77
30607	3	6	7	480000	20800015	20800014	16	6	158	2	728	6	118	2	728	6	79
30608	3	6	8	480000	20800015	20800014	16	6	162	2	742	6	121	2	742	6	81
30609	3	6	9	480000	20800015	20800014	16	6	166	2	756	6	124	2	756	6	83
30610	3	6	10	1200000	20800005	20800004	120	6	170	2	770	6	127	2	770	6	85
30700	3	7	0	570000	20800015	20800014	19	6	170	2	780	6	127	2	780	6	85
30701	3	7	1	570000	20800015	20800014	19	6	174	2	795	6	130	2	795	6	87
30702	3	7	2	570000	20800015	20800014	19	6	178	2	810	6	133	2	810	6	89
30703	3	7	3	570000	20800015	20800014	19	6	182	2	825	6	136	2	825	6	91
30704	3	7	4	570000	20800015	20800014	19	6	186	2	840	6	139	2	840	6	93
30705	3	7	5	660000	20800015	20800014	22	6	190	2	855	6	142	2	855	6	95
30706	3	7	6	660000	20800015	20800014	22	6	194	2	870	6	145	2	870	6	97
30707	3	7	7	660000	20800015	20800014	22	6	198	2	885	6	148	2	885	6	99
30708	3	7	8	660000	20800015	20800014	22	6	202	2	900	6	151	2	900	6	101
30709	3	7	9	660000	20800015	20800014	22	6	206	2	915	6	154	2	915	6	103
30710	3	7	10	1400000	20800005	20800004	140	6	210	2	930	6	157	2	930	6	105
30800	3	8	0	450000	20800017	20800016	15	6	210	2	940	6	157	2	940	6	105
30801	3	8	1	450000	20800017	20800016	15	6	214	2	956	6	160	2	956	6	107
30802	3	8	2	450000	20800017	20800016	15	6	218	2	972	6	163	2	972	6	109
30803	3	8	3	450000	20800017	20800016	15	6	222	2	988	6	166	2	988	6	111
30804	3	8	4	450000	20800017	20800016	15	6	226	2	1004	6	169	2	1004	6	113
30805	3	8	5	570000	20800017	20800016	19	6	230	2	1020	6	172	2	1020	6	115
30806	3	8	6	570000	20800017	20800016	19	6	234	2	1036	6	175	2	1036	6	117
30807	3	8	7	570000	20800017	20800016	19	6	238	2	1052	6	178	2	1052	6	119
30808	3	8	8	570000	20800017	20800016	19	6	242	2	1068	6	181	2	1068	6	121
30809	3	8	9	570000	20800017	20800016	19	6	246	2	1084	6	184	2	1084	6	123
30810	3	8	10	1600000	20800005	20800004	160	6	250	2	1100	6	187	2	1100	6	125
30900	3	9	0	920000	20800017	20800016	23	6	250	2	1110	6	187	2	1110	6	125
30901	3	9	1	920000	20800017	20800016	23	6	254	2	1128	6	190	2	1128	6	127
30902	3	9	2	920000	20800017	20800016	23	6	258	2	1146	6	193	2	1146	6	129
30903	3	9	3	920000	20800017	20800016	23	6	262	2	1164	6	196	2	1164	6	131
30904	3	9	4	920000	20800017	20800016	23	6	266	2	1182	6	199	2	1182	6	133
