INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
96	风摧木鸣	31	4	0	4	-1	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	-1	-1	-1	峨嵋月医X7
97	花满闲潭	46	4	0	5	426	5	80	100	120	200	200	300	320	400	520	500	95	5	-1	-1	-1	-1	-1	峨嵋月医X8
98	妙手回天	51	4	0	5	411	5	80	2	120	4	200	6	320	8	520	10	-1	-1	15	-1	-1	-1	-1	峨嵋月医X9
99	桃李春风	51	4	0	5	406	5	80	2	120	4	200	6	320	8	520	10	94	5	15	-1	-1	-1	-1	峨嵋月医X10
100	琵琶声停	-1	4	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	峨嵋怜花被动
101	拜月·神威	39	4	1	2	401	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	峨嵋怜花Y1
102	遮云蔽月	21	4	1	2	415	5	10	10	20	20	30	30	50	40	80	50	-1	-1	-1	-1	-1	-1	-1	峨嵋怜花Y2
103	半阙商歌	39	4	1	3	404	5	20	200	30	400	50	600	80	800	130	1000	101	5	-1	-1	2	-1	-1	峨嵋怜花Y3
104	筝鸣裂帛	33	4	1	3	404	5	20	100	30	200	50	300	80	400	130	500	101	5	-1	-1	-1	-1	-1	峨嵋怜花Y4
105	空山凝云	27	4	1	3	404	5	20	-80	30	-160	50	-240	80	-320	130	-400	102	5	-1	-1	-1	-1	-1	峨嵋怜花Y5
106	轮弦繁促	49	4	1	4	403	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	403	-1	-1	峨嵋怜花Y6
107	杀机四伏	50	4	1	4	404	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	30	421	-1	-1	峨嵋怜花Y7
108	西子叹	33	4	1	5	403	5	80	80	120	160	200	240	320	320	520	400	106	5	-1	-1	-1	-1	-1	峨嵋怜花Y8
109	月寒衾	39	4	1	5	426	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	2	-1	-1	峨嵋怜花Y9
110	幽咽泉流	52	4	1	5	421	5	80	42868	120	42869	200	42870	320	42871	520	42872	107	5	-1	-1	-1	-1	-1	峨嵋怜花Y10
111	冥星照顶	-1	5	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3296	星宿五毒被动
112	蓝砂手·神威	39	5	0	2	431	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	星宿五毒X1
113	幽冥急袭	53	5	0	2	433	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	星宿五毒X2
114	冰寒绝息	40	5	0	3	445	5	20	50	30	100	50	150	80	200	130	250	112	5	-1	-1	-1	-1	-1	星宿五毒X3
115	掌势潮涌	2	5	0	3	433	5	20	1	30	2	50	3	80	4	130	5	113	5	-1	-1	-1	-1	-1	星宿五毒X4
116	幽冥寂灭	33	5	0	3	433	5	20	80	30	160	50	240	80	320	130	400	113	5	-1	-1	-1	-1	-1	星宿五毒X5
117	掌迫生机	49	5	0	4	433	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	455	-1	-1	星宿五毒X6
118	辣手戾心	56	5	0	4	431	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	30	-1	-1	星宿五毒X7
119	阎王来帖	33	5	0	5	455	5	80	30	120	60	200	90	320	120	520	150	117	5	-1	-1	-1	-1	-1	星宿五毒X8
120	天损有余	58	5	0	5	450	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	星宿五毒X9
121	地杀不足	59	5	0	5	450	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	星宿五毒X10
122	巫蛊降厄	-1	5	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	星宿诡豪被动
123	蓝砂手·神威	39	5	1	2	431	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	星宿诡豪Y1
124	惜金蟾蜍	53	5	1	2	435	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	星宿诡豪Y2
125	毒厄夺命	54	5	1	3	434	5	20	40	30	80	50	120	80	160	130	200	123	5	-1	-1	-1	-1	-1	星宿诡豪Y3
126	余罪缠身	27	5	1	3	434	5	20	-50	30	-100	50	-150	80	-200	130	-250	-1	-1	5	-1	-1	-1	-1	星宿诡豪Y4
127	颠倒阴阳	55	5	1	3	443	5	20	60	30	120	50	180	80	240	130	300	124	5	-1	-1	-1	-1	-1	星宿诡豪Y5
128	蛇毒浸体	49	5	1	4	441	5	40	150	70	300	110	450	180	600	290	750	-1	-1	10	10	455	-1	-1	星宿诡豪Y6
129	天怒地愤	57	5	1	4	450	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	-1	-1	-1	-1	星宿诡豪Y7
130	长恨绵绵	2	5	1	5	451	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	星宿诡豪Y8
131	噬血吸髓	60	5	1	5	437	5	80	70	120	140	200	210	320	280	520	350	-1	-1	15	-1	-1	-1	-1	星宿诡豪Y9
132	咒昭重厄	25	5	1	5	450	5	80	20	120	40	200	60	320	80	520	100	129	5	-1	-1	-1	-1	-1	星宿诡豪Y10
133	化乾转坤	-1	6	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	天龙六脉被动
134	正阳手·神威	39	6	0	2	461	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	天龙六脉X1
135	啸惊天地	62	6	0	2	477	5	10	300	20	600	30	900	50	1200	80	1500	-1	-1	-1	-1	35	-1	-1	天龙六脉X2
136	千山灭	39	6	0	3	463	5	20	70	30	140	50	210	80	280	130	350	134	5	-1	-1	7	-1	-1	天龙六脉X3
137	飞光不附	3	6	0	3	463	5	20	50	30	100	50	150	80	200	130	250	134	5	-1	-1	42842	-1	-1	天龙六脉X4
138	怒震列缺	39	6	0	3	481	5	20	70	30	140	50	210	80	280	130	350	135	5	-1	-1	7	-1	-1	天龙六脉X5
139	烛龙衔光	49	6	0	4	463	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	463	-1	-1	天龙六脉X6
140	恨断青山	56	6	0	4	487	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	50	-1	-1	天龙六脉X7
141	死生无门	66	6	0	5	463	5	80	40	120	80	200	120	320	160	520	200	139	5	-1	-1	-1	-1	-1	天龙六脉X8
142	风云从龙	67	6	0	5	481	5	80	80	120	160	200	240	320	320	520	400	-1	-1	15	-1	-1	-1	-1	天龙六脉X9
143	太白入月	68	6	0	5	-1	5	80	6	120	12	200	18	320	24	520	30	-1	-1	15	-1	-1	-1	-1	天龙六脉X10
144	谒天应行	-1	6	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	天龙四圣被动
145	正阳手·神威	39	6	1	2	461	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	天龙四胜Y1
146	恩拂九重	62	6	1	2	466	5	10	60	20	120	30	180	50	240	80	300	-1	-1	-1	-1	34	-1	-1	天龙四胜Y2
147	万壑深	63	6	1	3	471	5	20	80	30	160	50	240	80	320	130	400	145	5	-1	-1	-1	-1	-1	天龙四胜Y3
148	蹈死难顾	64	6	1	3	471	5	20	50	30	100	50	150	80	200	130	250	145	5	-1	-1	-1	-1	-1	天龙四胜Y4
149	缘门始开	65	6	1	3	481	5	20	20	30	40	50	60	80	80	130	100	146	5	-1	-1	-1	-1	-1	天龙四胜Y5
150	不问修罗	49	6	1	4	471	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	5	488	-1	-1	天龙四胜Y6
151	择风化雨	49	6	1	4	461	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	2	469	-1	-1	天龙四胜Y7
152	众生如来	69	6	1	5	488	5	80	3	120	6	200	9	320	12	520	15	150	5	-1	-1	-1	-1	-1	天龙四胜Y8
153	万鬼难渡	21	6	1	5	475	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	天龙四胜Y9
154	风月同悲	70	6	1	5	469	5	80	100	120	200	200	300	320	400	520	500	151	5	-1	-1	-1	-1	-1	天龙四胜Y10
155	寒芒乍现	-1	7	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	天山游侠被动
156	雁南飞·神威	39	7	0	2	491	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	天山游侠X1
157	冰封雪舞	17	7	0	2	501	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	-1	-1	-1	天山游侠X2
158	箫韶引凤	2	7	0	3	493	5	20	2	30	4	50	6	80	8	130	10	156	5	-1	-1	-1	-1	-1	天山游侠X3
159	生死一念	19	7	0	3	493	5	20	10	30	20	50	30	80	40	130	50	-1	-1	5	-1	-1	-1	-1	天山游侠X4
160	万翎千机	20	7	0	3	493	5	20	20	30	40	50	60	80	80	130	100	157	5	-1	-1	-1	-1	-1	天山游侠X5
161	鸿雁来宾	49	7	0	4	491	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	492	-1	-1	天山游侠X6
162	凤回首	49	7	0	4	493	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	493	-1	-1	天山游侠X7
163	孤鹰戾天	1	7	0	5	492	5	80	100	120	200	200	300	320	400	520	500	161	5	-1	-1	3	-1	-1	天山游侠X8
164	无边落木	24	7	0	5	498	5	80	50	120	100	200	150	320	200	520	250	-1	-1	15	-1	-1	-1	-1	天山游侠X9
165	霜冷九州	1	7	0	5	493	5	80	150	120	300	200	450	320	600	520	750	162	5	-1	-1	3	-1	-1	天山游侠X10
166	匿影绝杀	-1	7	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	天山刺客被动
167	雁南飞·神威	39	7	1	2	491	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	天山刺客Y1
168	杀意袭	18	7	1	2	501	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	35	-1	-1	天山刺客Y2
169	寒梅寂	21	7	1	3	505	5	20	50	30	100	50	150	80	200	130	250	167	5	-1	-1	-1	-1	-1	天山刺客Y3
170	生杀予夺	61	7	1	3	-1	5	20	8	30	16	50	24	80	32	130	40	-1	-1	5	-1	-1	-1	-1	天山刺客Y4
171	暮雪将倾	2	7	1	3	501	5	20	1	30	2	50	3	80	4	130	5	168	5	-1	-1	-1	-1	-1	天山刺客Y5
172	雁寄梅花	9	7	1	4	491	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	2	507	-1	-1	天山刺客Y6
173	悲雁鸣	23	7	1	4	491	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	天山刺客Y7
174	长夜无昼	33	7	1	5	507	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	天山刺客Y8
175	梅开二度	25	7	1	5	507	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	天山刺客Y9
176	一曲成殇	26	7	1	5	510	5	80	30	120	60	200	90	320	120	520	150	173	5	-1	-1	-1	-1	-1	天山刺客Y10
177	飞星晔夜	-1	8	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	逍遥云仙被动
178	落英剑·神威	39	8	0	2	521	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	逍遥云仙X1
179	霁月行空	71	8	0	2	526	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	-1	-1	-1	逍遥云仙X2
180	一指透春寒	73	8	0	3	523	5	20	6	30	12	50	18	80	24	130	30	178	5	-1	-1	-1	-1	-1	逍遥云仙X3
181	凌霄揽月	74	8	0	3	541	5	20	20	30	40	50	60	80	80	130	100	-1	-1	5	-1	-1	-1	-1	逍遥云仙X4
182	旋花穿云	19	8	0	3	535	5	20	5	30	10	50	15	80	20	130	25	179	5	-1	-1	-1	-1	-1	逍遥云仙X5
183	时移如梭	49	8	0	4	523	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	100	535	-1	-1	逍遥云仙X6
184	绘洗晴岚	49	8	0	4	535	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	523	-1	-1	逍遥云仙X7
185	畅淋漓	40	8	0	5	535	5	80	50	120	100	200	150	320	200	520	250	183	5	-1	-1	-1	-1	-1	逍遥云仙X8
186	踏浪濯心	77	8	0	5	535	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	逍遥云仙X9
187	穿林打叶	20	8	0	5	523	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	逍遥云仙X10
188	欺烟困雨	-1	8	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	逍遥墨家被动
189	落英剑·神威	39	8	1	2	521	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	逍遥墨家Y1
190	骨重识寒	72	8	1	2	522	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	逍遥墨家Y2
191	碎尘泥	72	8	1	3	544	5	20	100	30	200	50	300	80	400	130	500	189	5	-1	-1	-1	-1	-1	逍遥墨家Y3
192	罔象促梦	2	8	1	3	544	5	20	2	30	4	50	6	80	8	130	10	189	5	-1	-1	-1	-1	-1	逍遥墨家Y4
193	烛花催夜	2	8	1	3	525	5	20	2	30	4	50	6	80	8	130	10	190	5	-1	-1	-1	-1	-1	逍遥墨家Y5
