INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
nIndex	nBigClass	nSmallClass	smallClassIdx	Name	strDesc	strTubiao	nNeedTimes	nHuoYueZhi	nGotoType	nParam1	nParam2	nParam3	nParam4	nLevel	string
32	2	16	2	水月山庄（二）	击败2次水月山庄中的耶律泓佑	set:Huodong_12 image:Huodong_12_9	2	80	2	1	129	107	沈夜雨	80	#{ZHY_210301_51}	
33	3	17	1	偷袭门派（一）	完成1次偷袭门派	set:Huodong_9 image:Huodong_9_2	1	20	3	-1	-1	-1	#{ZHY_210301_26}	35	#{ZHY_210301_52}	
34	3	17	2	偷袭门派（二）	完成2次偷袭门派	set:Huodong_9 image:Huodong_9_2	2	20	3	-1	-1	-1	#{ZHY_210301_26}	35	#{ZHY_210301_52}	
35	3	18	1	贼兵入侵（一）	完成1次贼兵入侵	set:SalaryMission image:SalaryMission_4	1	20	3	-1	-1	-1	#{ZHY_210301_27}	35	#{ZHY_210301_53}	
36	3	18	2	贼兵入侵（二）	完成2次贼兵入侵	set:SalaryMission image:SalaryMission_4	2	20	3	-1	-1	-1	#{ZHY_210301_27}	35	#{ZHY_210301_53}	
37	3	19	1	藏经阁（一）	完成1次藏经阁	set:Huodong_9 image:Huodong_9_4	1	20	3	-1	-1	-1	#{ZHY_210301_28}	40	#{ZHY_210301_54}	
38	3	19	2	藏经阁（二）	完成2次藏经阁	set:Huodong_9 image:Huodong_9_4	2	20	3	-1	-1	-1	#{ZHY_210301_28}	40	#{ZHY_210301_54}	
39	3	20	1	棋局	击败1次珍珑棋局中的远古棋魂	set:SalaryMission image:SalaryMission_11	1	30	2	2	274	95	刘仲甫	35	#{ZHY_210301_55}	
40	3	21	1	楼兰寻宝	击败1次楼兰藏宝洞中的镇宝龙王	set:SalaryMission image:SalaryMission_9	1	30	2	246	162	75	金久灵	75	#{ZHY_210301_56}	
41	3	22	1	科举	完成1次科举	set:Huodong_8 image:Huodong_8_16	1	70	2	2	246	229	柯慕一	35	#{ZHY_210301_57}	
42	4	23	1	校场比武	与其他少侠于校场中进行1次比武	set:CircularTaskTool13 image:CircularTaskTool13_1	1	10	2	0	100	170	龙霸天	35	#{ZHY_210301_58}	
43	4	24	1	百变脸谱	完成1次百变脸谱	set:Buff5 image:Buff5_9	1	10	2	1	168	168	文彦博	35	#{ZHY_210301_59}	
44	4	25	1	跑商（一）	完成1次跑商	set:Huodong image:Huodong_2	1	20	3	-1	-1	-1	#{ZHY_210301_30}	40	#{ZHY_210301_60}	
45	4	25	2	跑商（二）	完成2次跑商	set:Huodong image:Huodong_2	2	20	3	-1	-1	-1	#{ZHY_210301_30}	40	#{ZHY_210301_60}	
46	5	26	1	兵行四象	参与1次兵行四象	set:Huodong_12 image:Huodong_12_11	1	60	2	1	193	144	种师道	60	#{ZHY_210301_61}	
47	5	27	1	比武大会	参与1次比武大会	set:Huodong image:Huodong_3	1	30	2	1	173	130	隋豹鸣	40	#{ZHY_210301_62}	
48	5	28	1	华山论剑	参与1次华山论剑	set:Huodong image:Huodong_4	1	30	2	1	193	138	苏剑岭	35	#{ZHY_210301_63}	
49	5	29	1	凤凰古城争夺战	参与1次凤凰古城争夺战	set:Huodong_3 image:Huodong_3_8	1	40	2	260	150	152	李野	75	#{ZHY_210301_64}	
50	2	30	1	青丘试炼（一）	击败1次云飘飘	set:Huodong_14 image:Huodong_14_4	1	50	2	1	135	81	云兰舟	85	#{ZSFB_20220105_01}	
51	2	30	2	青丘试炼（二）	击败2次云飘飘	set:Huodong_14 image:Huodong_14_4	2	50	2	1	135	81	云兰舟	85	#{ZSFB_20220105_01}	
52	2	31	1	青丘试炼（困难）	击败1次云飘飘	set:Huodong_14 image:Huodong_14_4	1	100	2	1	135	81	云兰舟	85	#{ZSFB_20220105_151}	
53	2	32	1	雁门论武	完成1次雁门论武	set:Huodong_14 image:Huodong_14_11	1	80	2	0	59	95	孟闯	60	#{MPCG_191029_279}	
54	2	33	1	苍山破煞	完成1次苍山破煞	set:Huodong_15 image:Huodong_15_1	1	80	2	2	130	75	枯荣大师	60	#{ZHY_210301_73}	
55	2	15	1	杀星（一）	击败1次杀星副本中的最终BOSS	set:SalaryMission image:SalaryMission_12	1	30	2	2	130	76	枯荣大师	70	#{ZHY_210301_50}	
56	2	15	2	杀星（二）	击败2次杀星副本中的最终BOSS	set:SalaryMission image:SalaryMission_12	2	30	2	2	130	76	枯荣大师	70	#{ZHY_210301_50}	
57	2	15	3	杀星（三）	击败3次杀星副本中的最终BOSS	set:SalaryMission image:SalaryMission_12	3	30	2	2	130	76	枯荣大师	70	#{ZHY_210301_50}	
58	5	34	1	天鉴争锋	参与1次天鉴争锋	set:Huodong_15 image:Huodong_15_9	1	60	2	613	109	108	青鸢	85	#{ZHY_230222_1}	
59	3	36	1	弦音会武	完成1次弦音会武	set:Buff14 image:Buff14_4	1	40	2	0	59	41	王语嫣	60	#{ZHY_230531_1}	
60	3	37	1	执手入江湖	完成1次执手入江湖活动中的任意游戏	set:Huodong_16 image:Huodong_16_2	1	40	2	0	40	52	段誉	30	#{SRWF_230329_272}	
61	3	38	1	缘定洛阳城	完成1次缘定洛阳城活动	set:Huodong_15 image:Huodong_15_15	1	40	2	0	43	51	钟灵	30	#{JYHD_230331_209}	
62	2	39	1	往日梦境	完成1次往日梦境	set:CommonNPCHeader46 image:CommonNPCHeader46_20	1	80	2	2	245	59	萧峰	65	#{SBRC_20230627_1}	
63	2	40	1	往日梦境（困难）	完成1次往日梦境（困难）	set:CommonNPCHeader46 image:CommonNPCHeader46_20	1	80	2	2	245	59	萧峰	65	#{SBRC_20230627_1}	
64	2	41	1	雁关·无间度厄	完成1次雁关·无间度厄	set:Huodong_16 image:Huodong_16_7	1	80	2	2	243	56	扫地神僧	65	#{YMMJ_230626_1}	
