INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
13	12	0	877460	26323	12	1	877460	26323	12	1	2172506	65175	12	1	222007	6660	12	1	333011	9990	12	1	751521	22545	12	1	751521	22545	12	1	850895	25526	12	1	349682	10490	12	1	368335	11050	12	1	291262	8737	12	1
14	13	0	1008283	30248	13	1	1008283	30248	13	1	2496413	74892	13	1	255107	7653	13	1	382661	11479	13	1	863568	25907	13	1	863568	25907	13	1	977758	29332	13	1	401818	12054	13	1	423252	12697	13	1	334687	10040	13	1
15	14	0	1145820	34374	14	1	1145820	34374	14	1	2836940	85107	14	1	289906	8697	14	1	434859	13045	14	1	981365	29440	14	1	981365	29440	14	1	1111131	33333	14	1	456628	13698	14	1	480986	14429	14	1	380341	11410	14	1
16	15	0	1289858	38695	15	1	1289858	38695	15	1	3193564	95806	15	1	326349	9790	15	1	489524	14685	15	1	1104729	33141	15	1	1104729	33141	15	1	1250808	37524	15	1	514030	15420	15	1	541449	16243	15	1	428152	12844	15	1
17	16	0	1440207	43206	16	1	1440207	43206	16	1	3565814	106974	16	1	364389	10931	16	1	546584	16397	16	1	1233499	37004	16	1	1233499	37004	16	1	1396605	41898	16	1	573947	17218	16	1	604562	18136	16	1	478059	14341	16	1
18	17	0	1596695	47900	17	1	1596695	47900	17	1	3953263	118597	17	1	403983	12119	17	1	605974	18179	17	1	1367527	41025	17	1	1367527	41025	17	1	1548356	46450	17	1	636310	19089	17	1	670252	20107	17	1	530003	15900	17	1
19	18	0	1759165	52774	18	1	1759165	52774	18	1	4355524	130665	18	1	445090	13352	18	1	667635	20029	18	1	1506679	45200	18	1	1506679	45200	18	1	1705908	51177	18	1	701057	21031	18	1	738453	22153	18	1	583933	17517	18	1
20	19	0	1927475	57824	19	1	1927475	57824	19	1	4772243	143167	19	1	487674	14630	19	1	731511	21945	19	1	1650831	49524	19	1	1650831	49524	19	1	1869122	56073	19	1	768131	23043	19	1	809105	24273	19	1	639802	19194	19	1
21	20	0	2101491	63044	20	1	2101491	63044	20	1	5203091	156092	20	1	531702	15951	20	1	797554	23926	20	1	1799872	53996	20	1	1799872	53996	20	1	2037870	61136	20	1	837480	25124	20	1	882153	26464	20	1	697564	20926	20	1
22	21	0	2281093	68432	21	1	2281093	68432	21	1	5647767	169432	21	1	577144	17314	21	1	865716	25971	21	1	1953696	58610	21	1	1953696	58610	21	1	2212034	66360	21	1	909054	27271	21	1	957545	28726	21	1	757181	22715	21	1
23	22	0	2466165	73984	22	1	2466165	73984	22	1	6105989	183179	22	1	623969	18719	22	1	935954	28078	22	1	2112206	63366	22	1	2112206	63366	22	1	2391504	71745	22	1	982809	29484	22	1	1035234	31056	22	1	818613	24558	22	1
24	23	0	2656604	79698	23	1	2656604	79698	23	1	6577495	197324	23	1	672152	20164	23	1	1008229	30246	23	1	2275311	68259	23	1	2275311	68259	23	1	2576177	77285	23	1	1058702	31761	23	1	1115175	33455	23	1	881827	26454	23	1
25	24	0	2852308	85569	24	1	2852308	85569	24	1	7062041	211861	24	1	721668	21650	24	1	1082502	32475	24	1	2442927	73287	24	1	2442927	73287	24	1	2765956	82978	24	1	1136693	34100	24	1	1197327	35919	24	1	946789	28403	24	1
26	25	0	3053187	91595	25	1	3053187	91595	25	1	7559397	226781	25	1	772493	23174	25	1	1158739	34762	25	1	2614974	78449	25	1	2614974	78449	25	1	2960753	88822	25	1	1216747	36502	25	1	1281651	38449	25	1	1013468	30404	25	1
27	26	0	3259151	97774	26	1	3259151	97774	26	1	8069345	242080	26	1	824604	24738	26	1	1236906	37107	26	1	2791377	83741	26	1	2791377	83741	26	1	3160482	94814	26	1	1298827	38964	26	1	1368109	41043	26	1	1081835	32455	26	1
28	27	0	3470120	104103	27	1	3470120	104103	27	1	8591683	257750	27	1	877982	26339	27	1	1316973	39509	27	1	2972066	89162	27	1	2972066	89162	27	1	3365064	100951	27	1	1382902	41487	27	1	1456669	43700	27	1	1151864	34555	27	1
29	28	0	3686014	110580	28	1	3686014	110580	28	1	9126217	273786	28	1	932606	27978	28	1	1398909	41967	28	1	3156974	94709	28	1	3156974	94709	28	1	3574422	107232	28	1	1468939	44068	28	1	1547296	46418	28	1	1223527	36705	28	1
30	29	0	3906761	117202	29	1	3906761	117202	29	1	9672764	290182	29	1	988457	29653	29	1	1482686	44480	29	1	3346038	100381	29	1	3346038	100381	29	1	3788486	113654	29	1	1556911	46707	29	1	1639959	49198	29	1	1296802	38904	29	1
31	30	0	4132290	123968	30	1	4132290	123968	30	1	10231152	306934	30	1	1045519	31365	30	1	1568278	47048	30	1	3539197	106175	30	1	3539197	106175	30	1	4007187	120215	30	1	1646788	49403	30	1	1734631	52038	30	1	1371663	41149	30	1
32	31	0	4368421	131052	31.25	1	4368421	131052	31.25	1	10815789	324473	31.25	1	1105263	33157	31.25	1	1657894	49736	31.25	1	3741437	112243	31.25	1	3741437	112243	31.25	1	4236169	127085	31.25	1	1740890	52226	31.25	1	1833753	55012	31.25	1	1450044	43501	31.25	1
33	32	0	4604551	138136	32.5	1	4604551	138136	32.5	1	11400426	342012	32.5	1	1165007	34950	32.5	1	1747510	52425	32.5	1	3943677	118310	32.5	1	3943677	118310	32.5	1	4465151	133954	32.5	1	1834992	55049	32.5	1	1932874	57986	32.5	1	1528425	45852	32.5	1
34	33	0	4840682	145220	33.75	1	4840682	145220	33.75	1	11985064	359551	33.75	1	1224751	36742	33.75	1	1837126	55113	33.75	1	4145917	124377	33.75	1	4145917	124377	33.75	1	4694134	140824	33.75	1	1929094	57872	33.75	1	2031996	60959	33.75	1	1606806	48204	33.75	1
35	34	0	5076813	152304	35	1	5076813	152304	35	1	12569701	377091	35	1	1284495	38534	35	1	1926742	57802	35	1	4348157	130444	35	1	4348157	130444	35	1	4923116	147693	35	1	2023196	60695	35	1	2131118	63933	35	1	1685186	50555	35	1
36	35	0	5312944	159388	36.25	1	5312944	159388	36.25	1	13154338	394630	36.25	1	1344238	40327	36.25	1	2016358	60490	36.25	1	4550397	136511	36.25	1	4550397	136511	36.25	1	5152098	154562	36.25	1	2117298	63518	36.25	1	2230240	66907	36.25	1	1763567	52907	36.25	1
37	36	0	5549075	166472	37.5	1	5549075	166472	37.5	1	13738975	412169	37.5	1	1403982	42119	37.5	1	2105974	63179	37.5	1	4752637	142579	37.5	1	4752637	142579	37.5	1	5381080	161432	37.5	1	2211401	66342	37.5	1	2329362	69880	37.5	1	1841948	55258	37.5	1
38	37	0	5785206	173556	38.75	1	5785206	173556	38.75	1	14323613	429708	38.75	1	1463726	43911	38.75	1	2195590	65867	38.75	1	4954877	148646	38.75	1	4954877	148646	38.75	1	5610062	168301	38.75	1	2305503	69165	38.75	1	2428483	72854	38.75	1	1920329	57609	38.75	1
39	38	0	6021337	180640	40	1	6021337	180640	40	1	14908250	447247	40	1	1523470	45704	40	1	2285206	68556	40	1	5157116	154713	40	1	5157116	154713	40	1	5839044	175171	40	1	2399605	71988	40	1	2527605	75828	40	1	1998709	59961	40	1
40	39	0	6257467	187724	41.25	1	6257467	187724	41.25	1	15492887	464786	41.25	1	1583214	47496	41.25	1	2374822	71244	41.25	1	5359356	160780	41.25	1	5359356	160780	41.25	1	6068026	182040	41.25	1	2493707	74811	41.25	1	2626727	78801	41.25	1	2077090	62312	41.25	1
41	40	0	6493598	194807	42.5	1	6493598	194807	42.5	1	16077524	482325	42.5	1	1642958	49288	42.5	1	2464438	73933	42.5	1	5561596	166847	42.5	1	5561596	166847	42.5	1	6297009	188910	42.5	1	2587809	77634	42.5	1	2725849	81775	42.5	1	2155471	64664	42.5	1
42	41	0	6729729	201891	43.75	1	6729729	201891	43.75	1	16662162	499864	43.75	1	1702702	51081	43.75	1	2554054	76621	43.75	1	5763836	172915	43.75	1	5763836	172915	43.75	1	6525991	195779	43.75	1	2681912	80457	43.75	1	2824970	84749	43.75	1	2233852	67015	43.75	1
43	42	0	6965860	208975	45	1	6965860	208975	45	1	17246799	517403	45	1	1762446	52873	45	1	2643669	79310	45	1	5966076	178982	45	1	5966076	178982	45	1	6754973	202649	45	1	2776014	83280	45	1	2924092	87722	45	1	2312233	69366	45	1
44	43	0	7201991	216059	46.25	1	7201991	216059	46.25	1	17831436	534943	46.25	1	1822190	54665	46.25	1	2733285	81998	46.25	1	6168316	185049	46.25	1	6168316	185049	46.25	1	6983955	209518	46.25	1	2870116	86103	46.25	1	3023214	90696	46.25	1	2390613	71718	46.25	1
45	44	0	7438122	223143	47.5	1	7438122	223143	47.5	1	18416073	552482	47.5	1	1881934	56458	47.5	1	2822901	84687	47.5	1	6370556	191116	47.5	1	6370556	191116	47.5	1	7212937	216388	47.5	1	2964218	88926	47.5	1	3122336	93670	47.5	1	2468994	74069	47.5	1
46	45	0	7674253	230227	48.75	1	7674253	230227	48.75	1	19000711	570021	48.75	1	1941678	58250	48.75	1	2912517	87375	48.75	1	6572796	197183	48.75	1	6572796	197183	48.75	1	7441919	223257	48.75	1	3058320	91749	48.75	1	3221458	96643	48.75	1	2547375	76421	48.75	1
47	46	0	7910384	237311	50	1	7910384	237311	50	1	19585348	587560	50	1	2001422	60042	50	1	3002133	90064	50	1	6775035	203251	50	1	6775035	203251	50	1	7670901	230127	50	1	3152422	94572	50	1	3320579	99617	50	1	2625756	78772	50	1
48	47	0	8146514	244395	51.25	1	8146514	244395	51.25	1	20169985	605099	51.25	1	2061166	61834	51.25	1	3091749	92752	51.25	1	6977275	209318	51.25	1	6977275	209318	51.25	1	7899884	236996	51.25	1	3246525	97395	51.25	1	3419701	102591	51.25	1	2704136	81124	51.25	1
49	48	0	8382645	251479	52.5	1	8382645	251479	52.5	1	20754623	622638	52.5	1	2120910	63627	52.5	1	3181365	95440	52.5	1	7179515	215385	52.5	1	7179515	215385	52.5	1	8128866	243865	52.5	1	3340627	100218	52.5	1	3518823	105564	52.5	1	2782517	83475	52.5	1
50	49	0	8618776	258563	53.75	1	8618776	258563	53.75	1	21339260	640177	53.75	1	2180654	65419	53.75	1	3270981	98129	53.75	1	7381755	221452	53.75	1	7381755	221452	53.75	1	8357848	250735	53.75	1	3434729	103041	53.75	1	3617945	108538	53.75	1	2860898	85826	53.75	1
51	50	0	8854907	265647	55	1	8854907	265647	55	1	21923897	657716	55	1	2240398	67211	55	1	3360597	100817	55	1	7583995	227519	55	1	7583995	227519	55	1	8586830	257604	55	1	3528831	105864	55	1	3717067	111512	55	1	2939279	88178	55	1
52	51	0	9091038	272731	56.25	1	9091038	272731	56.25	1	22508534	675256	56.25	1	2300142	69004	56.25	1	3450213	103506	56.25	1	7786235	233587	56.25	1	7786235	233587	56.25	1	8815812	264474	56.25	1	3622933	108688	56.25	1	3816188	114485	56.25	1	3017660	90529	56.25	1
53	52	0	9327169	279815	57.5	1	9327169	279815	57.5	1	23093172	692795	57.5	1	2359886	70796	57.5	1	3539829	106194	57.5	1	7988475	239654	57.5	1	7988475	239654	57.5	1	9044794	271343	57.5	1	3717036	111511	57.5	1	3915310	117459	57.5	1	3096040	92881	57.5	1
54	53	0	9563300	286899	58.75	1	9563300	286899	58.75	1	23677809	710334	58.75	1	2419630	72588	58.75	1	3629445	108883	58.75	1	8190715	245721	58.75	1	8190715	245721	58.75	1	9273776	278213	58.75	1	3811138	114334	58.75	1	4014432	120432	58.75	1	3174421	95232	58.75	1
55	54	0	9799431	293982	60	1	9799431	293982	60	1	24262446	727873	60	1	2479374	74381	60	1	3719061	111571	60	1	8392954	251788	60	1	8392954	251788	60	1	9502759	285082	60	1	3905240	117157	60	1	4113554	123406	60	1	3252802	97584	60	1
56	55	0	10035561	301066	61.25	1	10035561	301066	61.25	1	24847083	745412	61.25	1	2539118	76173	61.25	1	3808677	114260	61.25	1	8595194	257855	61.25	1	8595194	257855	61.25	1	9731741	291952	61.25	1	3999342	119980	61.25	1	4212675	126380	61.25	1	3331183	99935	61.25	1
57	56	0	10271692	308150	62.5	1	10271692	308150	62.5	1	25431721	762951	62.5	1	2598862	77965	62.5	1	3898293	116948	62.5	1	8797434	263923	62.5	1	8797434	263923	62.5	1	9960723	298821	62.5	1	4093444	122803	62.5	1	4311797	129353	62.5	1	3409563	102286	62.5	1
58	57	0	10507823	315234	63.75	1	10507823	315234	63.75	1	26016358	780490	63.75	1	2658605	79758	63.75	1	3987908	119637	63.75	1	8999674	269990	63.75	1	8999674	269990	63.75	1	10189705	305691	63.75	1	4187546	125626	63.75	1	4410919	132327	63.75	1	3487944	104638	63.75	1
59	58	0	10743954	322318	65	1	10743954	322318	65	1	26600995	798029	65	1	2718349	81550	65	1	4077524	122325	65	1	9201914	276057	65	1	9201914	276057	65	1	10418687	312560	65	1	4281649	128449	65	1	4510041	135301	65	1	3566325	106989	65	1
60	59	0	10980085	329402	66.25	1	10980085	329402	66.25	1	27185633	815568	66.25	1	2778093	83342	66.25	1	4167140	125014	66.25	1	9404154	282124	66.25	1	9404154	282124	66.25	1	10647669	319430	66.25	1	4375751	131272	66.25	1	4609163	138274	66.25	1	3644706	109341	66.25	1
61	60	0	11216216	336486	67.5	1	11216216	336486	67.5	1	27770270	833108	67.5	1	2837837	85135	67.5	1	4256756	127702	67.5	1	9606394	288191	67.5	1	9606394	288191	67.5	1	10876652	326299	67.5	1	4469853	134095	67.5	1	4708284	141248	67.5	1	3723087	111692	67.5	1
62	61	0	11570412	231408	69	1	11570412	231408	69	1	28647226	572944	69	1	2927453	58549	69	1	4391180	87823	69	1	9909754	198195	69	1	9909754	198195	69	1	11220125	224402	69	1	4611006	92220	69	1	4856967	97139	69	1	3840658	76813	69	1
63	62	0	11924608	238492	70.5	1	11924608	238492	70.5	1	29524182	590483	70.5	1	3017069	60341	70.5	1	4525604	90512	70.5	1	10213113	204262	70.5	1	10213113	204262	70.5	1	11563598	231271	70.5	1	4752159	95043	70.5	1	5005650	100113	70.5	1	3958229	79164	70.5	1
64	63	0	12278805	245576	72	1	12278805	245576	72	1	30401137	608022	72	1	3106685	62133	72	1	4660028	93200	72	1	10516473	210329	72	1	10516473	210329	72	1	11907071	238141	72	1	4893313	97866	72	1	5154332	103086	72	1	4075800	81516	72	1
65	64	0	12633001	252660	73.5	1	12633001	252660	73.5	1	31278093	625561	73.5	1	3196301	63926	73.5	1	4794452	95889	73.5	1	10819833	216396	73.5	1	10819833	216396	73.5	1	12250544	245010	73.5	1	5034466	100689	73.5	1	5303015	106060	73.5	1	4193371	83867	73.5	1
66	65	0	12987197	259743	75	1	12987197	259743	75	1	32155049	643100	75	1	3285917	65718	75	1	4928876	98577	75	1	11123193	222463	75	1	11123193	222463	75	1	12594018	251880	75	1	5175619	103512	75	1	5451698	109033	75	1	4310942	86218	75	1
67	66	0	13341394	266827	76.5	1	13341394	266827	76.5	1	33032005	660640	76.5	1	3375533	67510	76.5	1	5063300	101266	76.5	1	11426553	228531	76.5	1	11426553	228531	76.5	1	12937491	258749	76.5	1	5316773	106335	76.5	1	5600380	112007	76.5	1	4428514	88570	76.5	1
68	67	0	13695590	273911	78	1	13695590	273911	78	1	33908961	678179	78	1	3465149	69302	78	1	5197724	103954	78	1	11729912	234598	78	1	11729912	234598	78	1	13280964	265619	78	1	5457926	109158	78	1	5749063	114981	78	1	4546085	90921	78	1
69	68	0	14049786	280995	79.5	1	14049786	280995	79.5	1	34785917	695718	79.5	1	3554765	71095	79.5	1	5332147	106642	79.5	1	12033272	240665	79.5	1	12033272	240665	79.5	1	13624437	272488	79.5	1	5599079	111981	79.5	1	5897746	117954	79.5	1	4663656	93273	79.5	1
70	69	0	14403982	288079	81	1	14403982	288079	81	1	35662873	713257	81	1	3644381	72887	81	1	5466571	109331	81	1	12336632	246732	81	1	12336632	246732	81	1	13967911	279358	81	1	5740232	114804	81	1	6046429	120928	81	1	4781227	95624	81	1
71	70	0	14758179	295163	82.5	1	14758179	295163	82.5	1	36539829	730796	82.5	1	3733997	74679	82.5	1	5600995	112019	82.5	1	12639992	252799	82.5	1	12639992	252799	82.5	1	14311384	286227	82.5	1	5881386	117627	82.5	1	6195111	123902	82.5	1	4898798	97975	82.5	1
72	71	0	15112375	302247	84	1	15112375	302247	84	1	37416785	748335	84	1	3823613	76472	84	1	5735419	114708	84	1	12943352	258867	84	1	12943352	258867	84	1	14654857	293097	84	1	6022539	120450	84	1	6343794	126875	84	1	5016369	100327	84	1
73	72	0	15466571	309331	85.5	1	15466571	309331	85.5	1	38293741	765874	85.5	1	3913229	78264	85.5	1	5869843	117396	85.5	1	13246712	264934	85.5	1	13246712	264934	85.5	1	14998330	299966	85.5	1	6163692	123273	85.5	1	6492477	129849	85.5	1	5133941	102678	85.5	1
74	73	0	15820768	316415	87	1	15820768	316415	87	1	39170697	783413	87	1	4002844	80056	87	1	6004267	120085	87	1	13550071	271001	87	1	13550071	271001	87	1	15341803	306836	87	1	6304845	126096	87	1	6641159	132823	87	1	5251512	105030	87	1
75	74	0	16174964	323499	88.5	1	16174964	323499	88.5	1	40047652	800953	88.5	1	4092460	81849	88.5	1	6138691	122773	88.5	1	13853431	277068	88.5	1	13853431	277068	88.5	1	15685277	313705	88.5	1	6445999	128919	88.5	1	6789842	135796	88.5	1	5369083	107381	88.5	1
76	75	0	16529160	330583	90	1	16529160	330583	90	1	40924608	818492	90	1	4182076	83641	90	1	6273115	125462	90	1	14156791	283135	90	1	14156791	283135	90	1	16028750	320575	90	1	6587152	131743	90	1	6938525	138770	90	1	5486654	109733	90	1
77	76	0	16883357	337667	91.5	1	16883357	337667	91.5	1	41801564	836031	91.5	1	4271692	85433	91.5	1	6407539	128150	91.5	1	14460151	289203	91.5	1	14460151	289203	91.5	1	16372223	327444	91.5	1	6728305	134566	91.5	1	7087207	141744	91.5	1	5604225	112084	91.5	1
78	77	0	17237553	344751	93	1	17237553	344751	93	1	42678520	853570	93	1	4361308	87226	93	1	6541963	130839	93	1	14763511	295270	93	1	14763511	295270	93	1	16715696	334313	93	1	6869458	137389	93	1	7235890	144717	93	1	5721797	114435	93	1
79	78	0	17591749	351834	94.5	1	17591749	351834	94.5	1	43555476	871109	94.5	1	4450924	89018	94.5	1	6676386	133527	94.5	1	15066870	301337	94.5	1	15066870	301337	94.5	1	17059170	341183	94.5	1	7010612	140212	94.5	1	7384573	147691	94.5	1	5839368	116787	94.5	1
80	79	0	17945945	358918	96	1	17945945	358918	96	1	44432432	888648	96	1	4540540	90810	96	1	6810810	136216	96	1	15370230	307404	96	1	15370230	307404	96	1	17402643	348052	96	1	7151765	143035	96	1	7533255	150665	96	1	5956939	119138	96	1
81	80	0	18300142	366002	97.5	1	18300142	366002	97.5	1	45309388	906187	97.5	1	4630156	92603	97.5	1	6945234	138904	97.5	1	15673590	313471	97.5	1	15673590	313471	97.5	1	17746116	354922	97.5	1	7292918	145858	97.5	1	7681938	153638	97.5	1	6074510	121490	97.5	1
82	81	0	18654338	373086	99	1	18654338	373086	99	1	46186344	923726	99	1	4719772	94395	99	1	7079658	141593	99	1	15976950	319539	99	1	15976950	319539	99	1	18089589	361791	99	1	7434072	148681	99	1	7830621	156612	99	1	6192081	123841	99	1
83	82	0	19008534	380170	100.5	1	19008534	380170	100.5	1	47063300	941266	100.5	1	4809388	96187	100.5	1	7214082	144281	100.5	1	16280310	325606	100.5	1	16280310	325606	100.5	1	18433062	368661	100.5	1	7575225	151504	100.5	1	7979303	159586	100.5	1	6309652	126193	100.5	1
84	83	0	19362731	387254	102	1	19362731	387254	102	1	47940256	958805	102	1	4899004	97980	102	1	7348506	146970	102	1	16583670	331673	102	1	16583670	331673	102	1	18776536	375530	102	1	7716378	154327	102	1	8127986	162559	102	1	6427224	128544	102	1
85	84	0	19716927	394338	103.5	1	19716927	394338	103.5	1	48817211	976344	103.5	1	4988620	99772	103.5	1	7482930	149658	103.5	1	16887029	337740	103.5	1	16887029	337740	103.5	1	19120009	382400	103.5	1	7857531	157150	103.5	1	8276669	165533	103.5	1	6544795	130895	103.5	1
86	85	0	20071123	401422	105	1	20071123	401422	105	1	49694167	993883	105	1	5078236	101564	105	1	7617354	152347	105	1	17190389	343807	105	1	17190389	343807	105	1	19463482	389269	105	1	7998685	159973	105	1	8425351	168507	105	1	6662366	133247	105	1
87	86	0	20425320	408506	106.5	1	20425320	408506	106.5	1	50571123	1011422	106.5	1	5167852	103357	106.5	1	7751778	155035	106.5	1	17493749	349874	106.5	1	17493749	349874	106.5	1	19806955	396139	106.5	1	8139838	162796	106.5	1	8574034	171480	106.5	1	6779937	135598	106.5	1
88	87	0	20779516	415590	108	1	20779516	415590	108	1	51448079	1028961	108	1	5257467	105149	108	1	7886201	157724	108	1	17797109	355942	108	1	17797109	355942	108	1	20150428	403008	108	1	8280991	165619	108	1	8722717	174454	108	1	6897508	137950	108	1
89	88	0	21133712	422674	109.5	1	21133712	422674	109.5	1	52325035	1046500	109.5	1	5347083	106941	109.5	1	8020625	160412	109.5	1	18100469	362009	109.5	1	18100469	362009	109.5	1	20493902	409878	109.5	1	8422144	168442	109.5	1	8871399	177427	109.5	1	7015079	140301	109.5	1
90	89	0	21487908	429758	111	1	21487908	429758	111	1	53201991	1064039	111	1	5436699	108733	111	1	8155049	163100	111	1	18403828	368076	111	1	18403828	368076	111	1	20837375	416747	111	1	8563298	171265	111	1	9020082	180401	111	1	7132651	142653	111	1
91	90	0	21842105	436842	112.5	1	21842105	436842	112.5	1	54078947	1081578	112.5	1	5526315	110526	112.5	1	8289473	165789	112.5	1	18707188	374143	112.5	1	18707188	374143	112.5	1	21180848	423616	112.5	1	8704451	174089	112.5	1	9168765	183375	112.5	1	7250222	145004	112.5	1
92	91	0	22196301	443926	114	1	22196301	443926	114	1	54955903	1099118	114	1	5615931	112318	114	1	8423897	168477	114	1	19010548	380210	114	1	19010548	380210	114	1	21524321	430486	114	1	8845604	176912	114	1	9317448	186348	114	1	7367793	147355	114	1
93	92	0	22550497	451009	115.5	1	22550497	451009	115.5	1	55832859	1116657	115.5	1	5705547	114110	115.5	1	8558321	171166	115.5	1	19313908	386278	115.5	1	19313908	386278	115.5	1	21867795	437355	115.5	1	8986757	179735	115.5	1	9466130	189322	115.5	1	7485364	149707	115.5	1
94	93	0	22904694	458093	117	1	22904694	458093	117	1	56709815	1134196	117	1	5795163	115903	117	1	8692745	173854	117	1	19617268	392345	117	1	19617268	392345	117	1	22211268	444225	117	1	9127911	182558	117	1	9614813	192296	117	1	7602935	152058	117	1
95	94	0	23258890	465177	118.5	1	23258890	465177	118.5	1	57586770	1151735	118.5	1	5884779	117695	118.5	1	8827169	176543	118.5	1	19920628	398412	118.5	1	19920628	398412	118.5	1	22554741	451094	118.5	1	9269064	185381	118.5	1	9763496	195269	118.5	1	7720506	154410	118.5	1
96	95	0	23613086	472261	120	1	23613086	472261	120	1	58463726	1169274	120	1	5974395	119487	120	1	8961593	179231	120	1	20223987	404479	120	1	20223987	404479	120	1	22898214	457964	120	1	9410217	188204	120	1	9912178	198243	120	1	7838078	156761	120	1
97	96	0	23967283	479345	121.5	1	23967283	479345	121.5	1	59340682	1186813	121.5	1	6064011	121280	121.5	1	9096017	181920	121.5	1	20527347	410546	121.5	1	20527347	410546	121.5	1	23241687	464833	121.5	1	9551370	191027	121.5	1	10060861	201217	121.5	1	7955649	159112	121.5	1
98	97	0	24321479	486429	123	1	24321479	486429	123	1	60217638	1204352	123	1	6153627	123072	123	1	9230440	184608	123	1	20830707	416614	123	1	20830707	416614	123	1	23585161	471703	123	1	9692524	193850	123	1	10209544	204190	123	1	8073220	161464	123	1
