INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
标识ID的分类ID	分类说明	本行中所有ID的类型(必须填)	本类中的ID数量	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25	ID26	ID27	ID28	ID29	ID30	结尾说明，测试用
28	天龙步法	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29	天南步法+天龙步法+非枯非荣	0	3	171	172	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30	天南步法+天龙步法	0	2	171	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31	奈何心生	0	1	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32	奈何心死	0	1	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33	奈何心生+奈何心死	0	2	183	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
34	诛仙阵	3	1	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
35	抚琴式	0	1	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
36	运笔式	0	1	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37	抚琴式+运笔式	0	2	192	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
38	抚琴式+运笔式+江行初雪	0	3	192	196	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
39	围困	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
40	封穴	1	2	13	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41	昏睡	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42	失明	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43	定身	1	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
44	散功	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45	僵硬	1	3	23	38	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
46	石化	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
47	麻痹	1	2	14	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
48	失明	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49	恐惧	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
50	缠绕	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
51	就擒	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
52	破绽	1	12	24	25	26	27	28	29	30	31	112	113	139	1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
53	虚弱	1	7	32	33	34	35	36	37	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
54	强化	1	21	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	0	0	0	0	0	0	0	0	0		
55	增强	1	21	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	0	0	0	0	0	0	0	0	0		
56	少林攻击技能	3	14	0	281	282	283	291	295	298	4408	4409	4410	4411	4412	4413	4414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
57	丐帮攻击技能	3	9	0	341	342	343	347	351	355	358	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58	武当攻击技能	3	9	0	371	372	373	377	385	388	391	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
59	大理攻击技能	3	13	0	461	462	463	465	467	469	471	475	478	481	487	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
60	控制	1	13	11	12	13	14	15	16	17	18	19	20	21	22	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
61	隐身	0	5	99	176	177	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
62	峨嵋攻击技能	3	7	401	403	404	415	418	421	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
63	漕运免疫（隐身、骑乘）	1	2	99	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
64	漕运禁用技能(乘骑，隐身，回城)	3	5	21	22	248	496	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
65	引爆陷阱类型	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
66	乘骑	1	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
67	门派攻击技能1	3	30	281	283	291	295	298	311	313	321	325	328	341	343	351	355	358	371	373	381	385	388	401	403	411	415	418	431	433	441	445	448		
68	门派攻击技能2	3	28	461	463	471	475	478	491	493	501	505	508	521	523	531	535	538	347	377	404	437	450	507	361	391	421	451	481	511	541	0	0		
69	引导类技能	3	14	53	59	60	61	62	373	378	404	432	437	443	462	700	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
70	普通攻击和连续技	3	16	0	281	311	341	371	401	431	461	491	521	760	3266	3267	3268	3269	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
71	火烧赤壁	3	1	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
72	封印	1	2	136	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
73	蛟龙乱舞	3	1	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
74	蜃龙乱舞	3	1	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
75	开箱免疫	1	15	96	99	131	150	176	177	180	214	276	334	372	373	374	375	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
76	开膛	1	1	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
77	噬血	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
78	兽毒	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
79	失魂	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
80	中毒	1	2	2	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
81	灼烧	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
82	失血	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
83	治疗技能	3	4	245	407	423	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
84	影遁	3	1	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
85	剑舞内功	1	1	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
86	剑舞外功	1	1	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
87	圣火传递乌龟免疫	0	5	634	636	637	638	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
88	嘲讽之外的控制	1	15	11	13	14	15	17	18	19	20	21	22	23	136	269	382	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
89	减血气上限	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
90	嘲讽技能	3	3	287	304	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
91	剑舞(紫)	1	1	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
92	剑舞(红)	1	1	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
93	剑舞(白)	1	1	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
94	剑舞(黄)	1	1	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
95	剑舞(蓝)	1	1	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
96	剑舞(绿)	1	1	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
97	峨眉冲虚养气	3	1	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
98	峨眉冲虚养气+清心	3	3	407	424	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
99	变身集合	1	1	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
100	伤害放大技能	3	3	402	467	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
101	天地明灭+烽火连城	3	2	334	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
102	珍兽连击技能	3	2	726	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
103	珍兽猛击技能	3	11	722	723	1260	1261	1262	1263	1264	1265	1266	1267	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
104	珍兽痛击技能	3	11	728	729	1251	1252	1253	1254	1255	1256	1257	1258	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
105	珍兽属性攻击技能1	3	22	702	703	704	705	1269	1270	1271	1272	1273	1274	1275	1276	1277	1278	1279	1280	1281	1282	1283	1284	1285	1286	0	0	0	0	0	0	0	0		
106	珍兽属性攻击技能2	3	18	1287	1288	1289	1290	1291	1292	1293	1294	1295	1296	1297	1298	1299	1300	1301	1302	1303	1304	0	0	0	0	0	0	0	0	0	0	0	0		
107	灵动	3	2	712	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
108	灵气	3	2	720	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
109	忠心	3	2	718	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
110	反震	3	2	710	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
111	反击	3	2	706	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
112	摔拌	3	2	734	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
113	破绽	3	2	732	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
114	虚弱	3	2	730	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
115	打怒	3	2	716	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
116	吸气	3	2	714	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
117	怒火连斩	3	19	0	242	243	244	274	311	312	313	319	321	325	328	4408	4409	4410	4411	4412	4413	4414	0	0	0	0	0	0	0	0	0	0	0		
118	被动隐身	0	3	176	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
119	引导加血	1	2	1505	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
120	怒火连斩	8	6	121	167	168	169	170	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
121	十大门派的第一本心法第一个技能	3	10	281	311	341	371	401	431	461	491	521	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
122	十大门派的第二本心法第一个技能	3	10	283	313	343	373	403	433	463	493	523	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
123	十大门派的第四本心法第三个技能	3	10	292	322	352	382	412	442	472	502	532	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
124	十大门派的第五本心法第二个技能	3	10	295	325	355	385	415	445	475	505	535	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
125	十大门派的第五本心法第三个技能	3	10	296	326	356	386	416	446	476	506	536	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
126	十大门派的第六本心法第一个技能	3	10	298	328	358	388	418	448	478	508	538	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
127	慕容姿态技能集合	1	1	1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
128	心剑交融BUFF借力	1	1	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
129	蓄云欲雨BUFF集合	1	6	1531	1532	1533	1534	1535	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
130	蓄气（围困）	1	1	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
131	蓄气（封穴）	1	1	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
132	蓄气（昏睡）	1	1	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
133	蓄气（失明）	1	1	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
134	蓄气（定身）	1	1	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
135	蓄气（散功）	1	1	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
136	慕容攻击技能（补集合67和68）	3	7	760	763	771	775	778	777	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
137	第八本心法的控制	1	10	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
138	非敌对目标传送技能（钱庄不能用的位移技能）	3	11	269	270	271	272	273	379	503	515	524	764	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
139	非伤害类负面效果1（综合88、89、137）（涉及到的集合138和334）	1	30	11	13	14	15	17	18	19	20	21	22	23	32	136	233	269	382	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	49	3656	2623	3133		
140	放大伤害的互斥ID	1	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
141	剧情本慕容博萧远山免疫减血上限	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
142	非伤害类负面效果2（综合88、89、137）（涉及到的集合138和334）	1	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
148	所有骑乘buff	1	2	99	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
265	情定三生（男）	3	8	3185	3188	3189	3191	3192	3194	3196	3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
266	情定三生（女）	3	6	3186	3187	3190	3193	3195	3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
267	情定三生（男）	3	8	3199	3200	3203	3205	3207	3209	3210	3212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
268	情定三生（女）	3	6	3201	3202	3204	3206	3208	3211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
269	情定三生（男）	3	8	3213	3215	3216	3217	3220	3221	3223	3225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
270	情定三生（女）	3	6	3214	3218	3219	3222	3224	3226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
271	猜灯谜	1	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
272	秦马车	3	1	3256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
273	少林流派攻击技能	3	7	281	282	283	289	291	295	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
274	丐帮流派1消耗连击段单体	3	2	347	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
275	丐帮流派2AOE技能	3	3	342	361	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
276	隐杀单体伤害技能集合	3	6	491	493	501	505	507	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
277	武当流派2单体伤害技能集合	3	7	371	373	377	381	385	388	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
278	武当流派2群体伤害技能集合	3	2	372	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279	所有门派控制合集	1	10	19	21	1153	14	17	13	15	136	11	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
280	所有暗器控制合集[（去门派重）废弃]	5	4	11	14	638	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
281	所有门派减速合集	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
282	小星星	3	2	3350	3454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
283	洛阳舞狮	3	4	3455	3456	3457	3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
284	神兽4技能合集	3	30	672	673	674	675	676	677	678	679	680	681	682	683	684	685	686	687	688	689	690	691	694	695	696	697	698	699	736	737	738	739		
285	神兽4技能合集	3	8	740	741	742	743	744	745	746	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
286	回城技能	3	3	22	63	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
287	 	3	4	3551	3552	3553	3554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
288	圣兽变身动作	3	4	3555	3556	3557	3558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
289	异兽变身动作	3	4	3559	3560	3561	3562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
290	通用免疫所有减速	1	2	23	4814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
291	通用免疫所有封穴除烽火	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
292	通用免疫所有麻痹	1	2	14	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
293	通用免疫所有散功	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
294	通用免疫所有封印	1	1	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
295	通用免疫所有失明	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
