INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
70600009	1	300	0	450	1120	3000	6750	15000	15000	9	7323	7323	7333	7333	7333	7343	792	792	793	793	793	794	38002524	2	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y荒魂檀箱#W#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R鹿蜀兽魂#WBOSS	set:PetHeader11 image:PetHeader11_2	6
70600010	0	300	0	300	750	2000	4500	10000	10000	10	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002525	1	#Y获得途径：#G#r青丘试炼#W副本掉落		5
70600011	0	300	0	300	750	2000	4500	10000	10000	11	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002526	1	#Y获得途径：#G#r青丘试炼#W副本掉落		4
70600012	0	300	0	300	750	2000	4500	10000	10000	12	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002527	1	#Y获得途径：#G#r青丘试炼#W副本掉落		3
70600013	0	300	0	300	750	2000	4500	10000	10000	13	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002528	1	#Y获得途径：#r#G青丘试炼#W副本掉落#r四象荣誉商店兑换		2
70600014	0	300	0	300	750	2000	4500	10000	10000	14	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002529	1	#Y获得途径：#G#r青丘试炼#W副本掉落		1
70600015	3	300	0	1200	3000	8000	18000	40000	40000	15	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	4	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600016	3	300	0	1200	3000	8000	18000	40000	40000	16	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600017	3	300	0	1200	3000	8000	18000	40000	40000	17	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600018	3	300	0	1200	3000	8000	18000	40000	40000	18	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600019	3	300	0	1200	3000	8000	18000	40000	40000	19	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600020	3	300	0	1200	3000	8000	18000	40000	40000	20	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600021	3	300	0	1200	3000	8000	18000	40000	40000	21	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600022	3	300	0	1200	3000	8000	18000	40000	40000	22	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600023	3	300	0	1200	3000	8000	18000	40000	40000	23	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600024	3	300	0	1200	3000	8000	18000	40000	40000	24	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
70600025	3	300	0	1200	3000	8000	18000	40000	40000	25	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#Y获得途径：#G#r活动获取#W	set:PetHeader11 image:PetHeader11_14	16
