INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
10	3523	3524	3525	3526	3527	3528	165	0	17	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	提高主人的外功攻击%d点	0	19	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	提高主人的内功攻击%d点	赤熊魂附·摧山	set:PetSoulSkill1 image:PetSoulSkill1_5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	3529	3530	3531	3532	3533	3534	165	0	18	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	提高主人的外功防御%d点	0	20	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	提高主人的内功防御%d点	白驹魂附·守心	set:PetSoulSkill1 image:PetSoulSkill1_2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	3535	3536	3537	3538	3539	3540	165	0	34	333	599	932	1331	1797	2329	333	599	932	1331	1797	2329	提高主人的命中%d点	0	33	128	230	357	510	689	893	128	230	357	510	689	893	提高主人的闪避%d点	灵蝉魂附·碎影	set:PetSoulSkill1 image:PetSoulSkill1_13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	3541	3542	3543	3544	3545	3546	165	0	5	1026	2008	3346	4908	6783	9371	1026	2008	3346	4908	6783	9371	提高主人的血上限%d点	0	35	3	6	9	12	18	24	3	6	9	12	18	24	提高主人的会心%d点	苍狼魂附·噬月	set:PetSoulSkill1 image:PetSoulSkill1_4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	3568	3569	3570	3571	3572	3573	165	0	2	15	30	51	74	103	142	15	30	51	74	103	142	提高主人的体力%d点	0	36	3	6	9	12	18	24	3	6	9	12	18	24	提高主人的会心防御%d点	飞羚魂附·灵眷	set:PetSoulSkill1 image:PetSoulSkill1_6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	0	21	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的冰攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	23	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标冰抗%d点	青龙魂附·天罡
17	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	0	30	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的毒攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	32	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标毒抗%d点	玄武魂附·九幽
18	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	0	27	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的玄攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	29	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标玄抗%d点	白虎魂附·永夜
19	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	0	24	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的火攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	26	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标火抗%d点	朱雀魂附·重明
20	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	主人攻击时有2%%几率震慑敌人的魂魄，使之麻痹%s秒	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	提高主人的血上限%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	提高主人对珍兽造成的伤害%d%%	九尾魂附·千秋
21	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	0	21	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的冰攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	23	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标冰抗%d点	青龙魂附·天罡
22	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	0	30	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的毒攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	32	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标毒抗%d点	玄武魂附·九幽
23	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	0	27	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的玄攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	29	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标玄抗%d点	白虎魂附·永夜
24	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	0	24	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的火攻击%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	26	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标火抗%d点	朱雀魂附·重明
25	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	提高主人的血上限%d点	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	提高主人的血上限%d点	穷奇魂附·归墟	set:PetSoulSkill3 image:PetSoulSkill3_1	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	提高主人对珍兽造成的伤害%d%%	九尾魂附·千秋
