INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
16	20250127	20250223	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	20250127	20250223	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	20250127	20250223	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	20250127	20250223	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	20250127	20250223	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	20250224	20250323	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	20250224	20250323	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	20250224	20250323	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	20250224	20250323	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	20250224	20250323	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	20250224	20250323	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	20250224	20250323	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	20250224	20250323	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	20250224	20250323	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	20250224	20250323	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	20250224	20250323	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	20250224	20250323	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	20250224	20250323	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	20250224	20250323	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	20250224	20250323	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	20250224	20250323	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	20250224	20250323	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	20250224	20250323	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	20250224	20250323	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	20250224	20250323	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	20250324	20250420	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	20250324	20250420	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	20250324	20250420	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	20250324	20250420	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	20250324	20250420	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	20250324	20250420	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	20250324	20250420	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	20250324	20250420	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	20250324	20250420	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	20250324	20250420	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	20250324	20250420	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	20250324	20250420	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	20250324	20250420	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	20250324	20250420	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	20250324	20250420	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	20250324	20250420	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	20250324	20250420	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	20250324	20250420	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	20250324	20250420	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	20250324	20250420	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	20250421	20250518	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	20250421	20250518	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	20250421	20250518	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	20250421	20250518	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	20250421	20250518	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	20250421	20250518	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	20250421	20250518	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	20250421	20250518	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	20250421	20250518	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	20250421	20250518	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	20250421	20250518	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	20250421	20250518	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	20250421	20250518	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	20250421	20250518	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	20250421	20250518	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	20250421	20250518	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	20250421	20250518	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	20250421	20250518	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	20250421	20250518	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	20250421	20250518	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	20250519	20250615	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	20250519	20250615	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	20250519	20250615	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	20250519	20250615	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	20250519	20250615	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	20250519	20250615	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
87	20250519	20250615	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	20250519	20250615	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	20250519	20250615	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	20250519	20250615	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	20250519	20250615	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	20250519	20250615	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	20250519	20250615	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	20250519	20250615	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	20250519	20250615	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	20250519	20250615	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	20250519	20250615	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	20250519	20250615	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	20250519	20250615	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	20250519	20250615	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	20250616	20250713	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	20250616	20250713	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	20250616	20250713	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	20250616	20250713	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	20250616	20250713	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	20250616	20250713	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	20250616	20250713	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	20250616	20250713	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	20250616	20250713	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	20250616	20250713	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	20250616	20250713	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	20250616	20250713	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	20250616	20250713	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	20250616	20250713	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	20250616	20250713	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	20250616	20250713	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	20250616	20250713	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	20250616	20250713	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	20250616	20250713	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	20250616	20250713	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	20250714	20250810	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	20250714	20250810	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	20250714	20250810	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	20250714	20250810	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	20250714	20250810	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	20250714	20250810	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	20250714	20250810	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	20250714	20250810	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	20250714	20250810	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	20250714	20250810	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	20250714	20250810	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	20250714	20250810	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	20250714	20250810	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	20250714	20250810	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	20250714	20250810	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	20250714	20250810	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	20250714	20250810	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	20250714	20250810	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	20250714	20250810	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	20250714	20250810	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	20250811	20250907	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	20250811	20250907	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	20250811	20250907	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	20250811	20250907	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	20250811	20250907	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	20250811	20250907	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	20250811	20250907	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	20250811	20250907	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	20250811	20250907	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	20250811	20250907	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
