INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20101008	2	1	1	8	Herbal1_16	黃芩	唇形科植物。味苦，寒，入肺、胆、脾、大肠、小肠经。有清热燥湿，泻火解毒，止血，安胎的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101009	2	1	1	9	Herbal1_9	枸杞	茄科植物。味甘，有滋补肝肾，明目，益面色，长肌肉，坚筋骨的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101010	2	1	1	10	Herbal1_3	沉香	双子叶科植物。味辛、苦，温，入肾、脾、胃经。有行气止痛，温中止呕，纳气平喘的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	4	1375	40	4	250	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101011	2	1	1	11	Herbal1_11	杜仲	杜仲科植物。味甘微辛，温，入肝、肾经。主治腰脊疼痛，足膝酸楚等。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
20101012	2	1	1	12	Herbal1_4	苍术	菊科植物。味辛烈，性温而燥，可升可降。有燥湿健脾，祛风，散寒，明目的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
20101013	2	1	1	13	Herbal2_14	茯苓	菌科植物。味甘、淡、平，入肺、胃、肾经。有益脾、安神、利水渗湿的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	5	1625	50	4	250	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
20101014	2	1	1	14	Herbal1_13	防风	伞形科植物。根味辛、甘，性温。有解表发汗、祛风除湿的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101015	2	1	1	15	Herbal2_3	香薷	唇形科植物。味辛，性微温，入肺、胃经。有解表、理气化湿的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101016	2	1	1	16	Herbal2_9	黄连	毛茛科植物。味苦，寒。入心、脾、胃、肝、胆、大肠经。有泻火解毒，清热燥湿的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	6	1875	60	4	250	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101017	2	1	1	17	Herbal2_6	当归	伞形科植物。味甘、辛，性温，入肝、心、脾经。有补血活血，调经止痛，润肠通便的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101018	2	1	1	18	Herbal1_5	桂心	香木科植物。味苦、辛。有引血化汗化脓，益精明目，消瘀生肌，补劳伤，暖腰膝，续筋骨的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101019	2	1	1	19	Herbal2_1	香附	莎草科植物。味辛、微苦、微甘，平。入肝、脾、三焦经。有行气解郁，调经止痛的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	7	2125	70	4	250	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101020	2	1	1	20	Herbal1_7	藿香	唇形科植物。性微温，味辛，入脾、胃、肺经。有祛暑解表、化湿醒脾、辟秽和中的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101021	2	1	1	21	Herbal2_4	回神草	散发着醉人香气的奇妙植物。有清热解毒、开窍豁疾的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101022	2	1	1	22	Herbal2_7	首乌	蓼科植物。根部块茎苦甘涩微温，入肝，肾经。有益肝肾、益精血、壮筋骨的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	8	2375	80	4	250	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101023	2	1	1	23	Herbal1_15	冬虫夏草	冬虫夏草并不是草而是一种真菌（子囊菌），是虫草属菌寄生在蝙蝠蛾幼虫体内形成的假菌核，也就是菌丝和虫体结合成的混合体，而幼虫的外形不变。这是青藏高原高山雪线以上的特有类群。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	9	2375	90	4	250	-1	-1	1	8	9	-1	-1	高级药材	9	0	2000	-1	0
20101024	2	1	1	24	Herbal1_5	龙葵籽	茄科植物，壳上天生有龙型的花纹。味苦，寒，有微小毒性，有清热解毒，利水消肿的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	9	2625	90	4	250	-1	-1	1	8	9	-1	-1	高级药材	9	0	2000	-1	0
20101025	2	1	1	25	Herbal1_14	象贝	百合科植物。性寒、味苦，主治外感受咳嗽、肺痛等症状。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	高级药材	10	0	2000	-1	0
20101026	2	1	1	26	Herbal2_10	人参	珍贵的中药，第三纪孑遗植物。性味性温，味甘、微苦，有大补元气，复脉固脱，补脾益肺，生津，安神的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	高级药材	10	0	2000	-1	0
20101027	2	1	1	27	Herbal2_11	灵芝	菌科植物。性味甘、平，无毒。有益心气，补中，增智慧的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	高级药材	11	0	2000	-1	0
20101028	2	1	1	28	Herbal1_16	荀草	草叶似兰、果赤、可明目养颜，养血补心。主治头晕目眩，筋骨痿软。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	高级药材	11	0	2000	-1	0
20101029	2	1	1	29	Herbal2_6	莲子	睡莲科植物。味甘、涩，平，入脾、肾、心经。有益气止汗、爽身明目的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	高级药材	12	0	2000	-1	0
20101030	2	1	1	30	Herbal1_16	枯木春	无色无味的药草，放入水中稍煮即完全溶化。有解毒，祛风，起死回生的功效。可用于制药等。#r#W在#G大理（99，128）#R傅当归#W、#G洛阳（136，165）#R张明景#W、#G楼兰（30，186）#R兰斯洛特#W、#G束河古镇（189，146）#R蒋明轩#W处都可以学习#G制药技能#W。玩家的等级达到#G30#W级即可学习。	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	高级药材	12	0	2000	-1	0
20102001	2	1	2	1	Fish_1	草鱼	又名鲩鱼、草鲩、草棒、草青、厚鱼。以其食草为生，故名草鱼，有青、白二色，白者味佳。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	1	38	1	4	250	-1	-1	1	9	1	-1	-1	初级鱼类	1	0	2000	-1	0
20102002	2	1	2	2	Fish_3	鲫鱼	俗称喜头鱼、鲫瓜子，属鲤形目，鲤科，鲫属。耐受力强，食性杂，喜爱群游，常栖息在杂草丛生地。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	2	42	1	4	250	-1	-1	1	9	2	-1	-1	初级鱼类	2	0	2000	-1	0
20102003	2	1	2	3	Fish_9	鲢鱼	又叫白鲢、鲢子，体形侧扁，背部青灰色，两侧及腹部白色头较大，眼睛位置很低。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	3	102	1	4	250	-1	-1	1	9	3	-1	-1	初级鱼类	3	0	2000	-1	0
20102004	2	1	2	4	Fish_8	平鱼	是一种身体扁平的海鱼，刺少肉嫩。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	4	184	1	4	250	-1	-1	1	9	4	-1	-1	中级鱼类	4	0	2000	-1	0
20102005	2	1	2	5	Fish_5	鳝鱼	一种半冬眠的鱼类，当气温过低时，鳝鱼便不吃不动，靠微量呼吸进入冬眠。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	5	282	1	4	250	-1	-1	1	9	5	-1	-1	中级鱼类	5	0	2000	-1	0
20102006	2	1	2	6	Fish_10	黑鱼	也叫黑鱼棒子，属食肉类鱼，是养鱼业的一大害鱼。这种鱼繁殖生长快，性凶猛，只要钓法正确，极易钓取。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	6	402	1	4	250	-1	-1	1	9	6	-1	-1	中级鱼类	6	0	2000	-1	0
20102007	2	1	2	7	Fish_6	斗鱼	身形如梭，体长七八厘米，全身浅绿，有十二条黑色的斑纹，长长的尾鳍和臀鳍像彩色的飘带，背鳍鲜红。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	7	554	1	4	250	-1	-1	1	9	7	-1	-1	高级鱼类	7	0	2000	-1	0
20102008	2	1	2	8	Fish_2	鲳鱼	又名白鲳、鲳板、镜鱼、平鱼、鲳扁鱼，系银鲳属鲳科，栖息于近海的中下层。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	8	702	1	4	250	-1	-1	1	9	8	-1	-1	高级鱼类	8	0	2000	-1	0
20102009	2	1	2	9	Fish_11	银鱼	淡水鱼，长约七至十厘米，体长略圆，细嫩透明，色泽如银，因而得名。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	9	864	1	4	250	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102010	2	1	2	10	Fish_7	鲑鱼	这类鱼中多数是食肉的，它们或者在水中追逐猎物，或者潜伏在水草中，等待鱼和其他动物靠近。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	10	1054	1	4	250	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102011	2	1	2	11	Fish_4	骨舌鱼	骨舌鱼科。是一种下颌具须，体侧扁，腹部有棱突的古老淡水鱼种群，属于鲱形目。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	11	1060	1	4	250	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102012	2	1	2	12	Fish_12	六线鱼	体长侧扁，头大而突，头顶无棘棱眼较小的鱼类。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	12	1176	1	4	250	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102013	2	1	2	13	Fish2_1	青鱼	又名乌青、溪鱼，栖息于水中下层，生长快，肉味鲜美。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	1	38	1	4	250	-1	-1	1	9	1	-1	-1	初级鱼类	1	0	2000	-1	0
20102014	2	1	2	14	Fish2_3	箭鱼	又称青箭鱼。因其上颌向前延伸呈剑状，故名。属鱼纲、鲈形目、箭鱼科的一种飞鱼。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	2	42	1	4	250	-1	-1	1	9	2	-1	-1	初级鱼类	2	0	2000	-1	0
20102015	2	1	2	15	Fish2_9	鲈鱼	鲈鱼肉质坚实洁白，不仅营养价值高，而且口味鲜美。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	3	102	1	4	250	-1	-1	1	9	3	-1	-1	初级鱼类	3	0	2000	-1	0
20102016	2	1	2	16	Fish2_8	扁头鱼	它的头、尾、腹扁平，背呈流线型，银色，栖息于近海的浅层。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	4	184	1	4	250	-1	-1	1	9	4	-1	-1	中级鱼类	4	0	2000	-1	0
20102017	2	1	2	17	Fish2_5	油力鱼	细小，肥嫩，入口鲜美，全身浅色，腹部有深色花纹。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	5	282	1	4	250	-1	-1	1	9	5	-1	-1	中级鱼类	5	0	2000	-1	0
20102018	2	1	2	18	Fish2_10	秋刀鱼	身体扁平，鳞片小，全身银色，味道鲜美，营养价值高。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	6	402	1	4	250	-1	-1	1	9	6	-1	-1	中级鱼类	6	0	2000	-1	0
20102019	2	1	2	19	Fish2_6	梭鱼	头短而宽，鳞片很大。梭鱼的背侧呈青灰色，腹面浅灰色，两侧鳞片有黑色的竖纹。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	7	554	1	4	250	-1	-1	1	9	7	-1	-1	高级鱼类	7	0	2000	-1	0
20102020	2	1	2	20	Fish2_2	光背鱼	臀鳍像窗帘一样，从胸部连到尾部。鳔具有肺的作用，所以常浮出水面呼吸，口能大开。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	8	702	1	4	250	-1	-1	1	9	8	-1	-1	高级鱼类	8	0	2000	-1	0
20102021	2	1	2	21	Fish2_11	钩鱼	在海水和淡水混合的水域，行群居生活，成鱼头部前端有突起。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	9	864	1	4	250	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102022	2	1	2	22	Fish2_7	摆鳍鱼	体长，稍侧扁，呈优美的流线型。躯体青褐色，有灰白色圆斑。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	10	1054	1	4	250	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102023	2	1	2	23	Fish2_4	珍珠鱼	全身包括背鳍、臀鳍在内布满银色珠点。游动时珠光闪烁，美丽无比，故得名珍珠鱼。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	11	1060	1	4	250	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102024	2	1	2	24	Fish2_12	文昌鱼	体形不是很大，全身半透明，头尾两头尖，是高级鱼品，其肉质鲜嫩，味道清津甜美。可用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	12	1176	1	4	250	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102025	2	1	2	25	Fish3_1	花蛤	花蛤颗粒饱满，其肉质鲜美无比，被称为“天下第一鲜”、“百味之冠”，用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	1	38	1	4	250	-1	-1	1	9	1	-1	-1	鱼类伴生	1	0	2000	-1	0
20102026	2	1	2	26	Fish3_12	紫菜	紫菜性味甘咸寒，具有化痰软坚、清热利水、补肾养心的功效，用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	2	42	1	4	250	-1	-1	1	9	2	-1	-1	鱼类伴生	2	0	2000	-1	0
20102027	2	1	2	27	Fish3_5	白虾	白虾，死后体呈白色而得名，肉质鲜美无比，用于烹饪。#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#G烹饪技能#W。玩家的等级为#G1#W级即可学习。	3	102	1	4	250	-1	-1	1	9	3	-1	-1	鱼类伴生	3	0	2000	-1	0
