INT	INT	INT	INT	INT
SkillID	NewSkillID	材料	消耗金钱	技能等级
1524	1525	20310118	10000	2	
1525	1526	20310119	15000	3	
1526	1527	20310120	15000	4	
1527	1528	20310121	20000	5	
1528	-1	-1	-1	6	
1529	1530	20310117	10000	1	
1530	1531	20310118	10000	2	
1531	1532	20310119	15000	3	
1532	1533	20310120	15000	4	
1533	1534	20310121	20000	5	
1534	-1	-1	-1	6	
1535	1536	20310117	10000	1	
1536	1537	20310118	10000	2	
1537	1538	20310119	15000	3	
1538	1539	20310120	15000	4	
1539	1540	20310121	20000	5	
1540	-1	-1	-1	6	
1541	1542	20310117	10000	1	
1542	1543	20310118	10000	2	
1543	1544	20310119	15000	3	
1544	1545	20310120	15000	4	
1545	1546	20310121	20000	5	
1546	-1	-1	-1	6	
1547	1548	20310117	10000	1	
1548	1549	20310118	10000	2	
1549	1550	20310119	15000	3	
1550	1551	20310120	15000	4	
1551	1552	20310121	20000	5	
1552	-1	-1	-1	6	
1553	1554	20310117	10000	1	
1554	1555	20310118	10000	2	
1555	1556	20310119	15000	3	
1556	1557	20310120	15000	4	
1557	1558	20310121	20000	5	
1558	-1	-1	-1	6	
1559	1560	20310117	10000	1	
1560	1561	20310118	10000	2	
1561	1562	20310119	15000	3	
1562	1563	20310120	15000	4	
1563	1564	20310121	20000	5	
1564	-1	-1	-1	6	
1565	1566	20310117	10000	1	
1566	1567	20310118	10000	2	
1567	1568	20310119	15000	3	
1568	1569	20310120	15000	4	
1569	1570	20310121	20000	5	
1570	-1	-1	-1	6	
1571	1572	20310117	10000	1	
1572	1573	20310118	10000	2	
1573	1574	20310119	15000	3	
1574	1575	20310120	15000	4	
1575	1576	20310121	20000	5	
1576	-1	-1	-1	6	
1577	1578	20310117	10000	1	
1578	1579	20310118	10000	2	
1579	1580	20310119	15000	3	
1580	1581	20310120	15000	4	
1581	1582	20310121	20000	5	
1582	-1	-1	-1	6	
1583	1584	20310117	10000	1	
1584	1585	20310118	10000	2	
1585	1586	20310119	15000	3	
1586	1587	20310120	15000	4	
1587	1588	20310121	20000	5	
1588	-1	-1	-1	6	
1589	1590	20310117	10000	1	
1590	1591	20310118	10000	2	
1591	1592	20310119	15000	3	
1592	1593	20310120	15000	4	
1593	1594	20310121	20000	5	
1594	-1	-1	-1	6	
1595	1596	20310117	10000	1	
1596	1597	20310118	10000	2	
1597	1598	20310119	15000	3	
1598	1599	20310120	15000	4	
1599	1600	20310121	20000	5	
1600	-1	-1	-1	6	
1601	1602	20310117	10000	1	
1602	1603	20310118	10000	2	
1603	1604	20310119	15000	3	
1604	1605	20310120	15000	4	
1605	1606	20310121	20000	5	
1606	-1	-1	-1	6	
1607	1608	20310117	10000	1	
1608	1609	20310118	10000	2	
1609	1610	20310119	15000	3	
1610	1611	20310120	15000	4	
1611	1612	20310121	20000	5	
1612	-1	-1	-1	6	
1613	1614	20310117	10000	1	
1614	1615	20310118	10000	2	
1615	1616	20310119	15000	3	
1616	1617	20310120	15000	4	
1617	1618	20310121	20000	5	
1618	-1	-1	-1	6	
1619	1620	20310117	10000	1	
1620	1621	20310118	10000	2	
1621	1622	20310119	15000	3	
1622	1623	20310120	15000	4	
1623	1624	20310121	20000	5	
1624	-1	-1	-1	6	
3669	3670	20310117	10000	1	
3670	3671	20310118	10000	2	
3671	3672	20310119	15000	3	
3672	3673	20310120	15000	4	
3673	3674	20310121	20000	5	
3674	-1	-1	-1	6	
