INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
13	落鸿套装·八荒	10115063	10114063	10112149	10121065	10122208	10122212	10122216	10122220	10123208	10123212	10123216	10123220	37	18	46	42	0	2850
14	封渊套装·五易	10115016	10114016	10112102	10121018	10122017	10122021	10122025	10122029	10123017	10123021	10123025	10123029	37	6	46	20	0	1360
15	封渊套装·六度	10115020	10114020	10112106	10121022	10122033	10122037	10122041	10122045	10123033	10123037	10123041	10123045	37	10	46	27	0	1700
16	封渊套装·七辰	10115024	10114024	10112110	10121026	10122049	10122053	10122057	10122061	10123049	10123053	10123057	10123061	37	13	46	34	0	2040
17	封渊套装·八荒	10115028	10114028	10112114	10121030	10122065	10122069	10122073	10122077	10123065	10123069	10123073	10123077	36	323	47	17	0	3400
18	封渊套装·八荒	10115032	10114032	10112118	10121034	10122081	10122085	10122089	10122093	10123081	10123085	10123089	10123093	35	989	46	47	0	3400
19	封渊套装·八荒	10115036	10114036	10112122	10121038	10122097	10122101	10122105	10122109	10123097	10123101	10123105	10123109	35	989	36	323	0	3400
20	封渊套装·八荒	10115040	10114040	10112126	10121042	10122113	10122117	10122121	10122125	10123113	10123117	10123121	10123125	35	989	45	81	0	3400
21	封渊套装·八荒	10115044	10114044	10112130	10121046	10122129	10122133	10122137	10122141	10123129	10123133	10123137	10123141	45	81	47	17	0	3400
22	封渊套装·八荒	10115048	10114048	10112134	10121050	10122145	10122149	10122153	10122157	10123145	10123149	10123153	10123157	35	989	46	47	0	3400
23	封渊套装·八荒	10115052	10114052	10112138	10121054	10122161	10122165	10122169	10122173	10123161	10123165	10123169	10123173	37	20	46	47	0	3400
24	封渊套装·八荒	10115056	10114056	10112142	10121058	10122177	10122181	10122185	10122189	10123177	10123181	10123185	10123189	37	20	46	47	0	3400
25	封渊套装·八荒	10115060	10114060	10112146	10121062	10122193	10122197	10122201	10122205	10123193	10123197	10123201	10123205	37	20	35	989	0	3400
26	封渊套装·八荒	10115064	10114064	10112150	10121066	10122209	10122213	10122217	10122221	10123209	10123213	10123217	10123221	37	20	46	47	0	3400
27	斩霄套装·五易	10115017	10114017	10112103	10121019	10122018	10122022	10122026	10122030	10123018	10123022	10123026	10123030	37	8	46	24	0	1600
28	斩霄套装·六度	10115021	10114021	10112107	10121023	10122034	10122038	10122042	10122046	10123034	10123038	10123042	10123046	37	12	46	32	0	2000
29	斩霄套装·七辰	10115025	10114025	10112111	10121027	10122050	10122054	10122058	10122062	10123050	10123054	10123058	10123062	37	16	46	40	0	2400
30	斩霄套装·八荒	10115029	10114029	10112115	10121031	10122066	10122070	10122074	10122078	10123066	10123070	10123074	10123078	36	380	47	20	0	4000
31	斩霄套装·八荒	10115033	10114033	10112119	10121035	10122082	10122086	10122090	10122094	10123082	10123086	10123090	10123094	35	1164	46	56	0	4000
32	斩霄套装·八荒	10115037	10114037	10112123	10121039	10122098	10122102	10122106	10122110	10123098	10123102	10123106	10123110	35	1164	36	380	0	4000
33	斩霄套装·八荒	10115041	10114041	10112127	10121043	10122114	10122118	10122122	10122126	10123114	10123118	10123122	10123126	35	1164	45	96	0	4000
34	斩霄套装·八荒	10115045	10114045	10112131	10121047	10122130	10122134	10122138	10122142	10123130	10123134	10123138	10123142	45	96	47	20	0	4000
35	斩霄套装·八荒	10115049	10114049	10112135	10121051	10122146	10122150	10122154	10122158	10123146	10123150	10123154	10123158	35	1164	46	56	0	4000
36	斩霄套装·八荒	10115053	10114053	10112139	10121055	10122162	10122166	10122170	10122174	10123162	10123166	10123170	10123174	37	24	46	56	0	4000
37	斩霄套装·八荒	10115057	10114057	10112143	10121059	10122178	10122182	10122186	10122190	10123178	10123182	10123186	10123190	37	24	46	56	0	4000
38	斩霄套装·八荒	10115061	10114061	10112147	10121063	10122194	10122198	10122202	10122206	10123194	10123198	10123202	10123206	37	24	35	1164	0	4000
39	斩霄套装·八荒	10115065	10114065	10112151	10121067	10122210	10122214	10122218	10122222	10123210	10123214	10123218	10123222	37	24	46	56	0	4000
40	青帝归思套装·五易	10115018	10114018	10112104	10121020	10122019	10122023	10122027	10122031	10123019	10123023	10123027	10123031	37	10	46	30	0	2000
41	青帝归思套装·六度	10115022	10114022	10112108	10121024	10122035	10122039	10122043	10122047	10123035	10123039	10123043	10123047	37	15	46	40	0	2500
42	青帝归思套装·七辰	10115026	10114026	10112112	10121028	10122051	10122055	10122059	10122063	10123051	10123055	10123059	10123063	37	20	46	50	0	3000
43	青帝归思套装·八荒	10115030	10114030	10112116	10121032	10122067	10122071	10122075	10122079	10123067	10123071	10123075	10123079	36	475	47	25	0	5000
44	青帝归思套装·八荒	10115034	10114034	10112120	10121036	10122083	10122087	10122091	10122095	10123083	10123087	10123091	10123095	35	1455	46	70	0	5000
45	青帝归思套装·八荒	10115038	10114038	10112124	10121040	10122099	10122103	10122107	10122111	10123099	10123103	10123107	10123111	35	1455	36	475	0	5000
46	青帝归思套装·八荒	10115042	10114042	10112128	10121044	10122115	10122119	10122123	10122127	10123115	10123119	10123123	10123127	35	1455	45	120	0	5000
47	青帝归思套装·八荒	10115046	10114046	10112132	10121048	10122131	10122135	10122139	10122143	10123131	10123135	10123139	10123143	45	120	47	25	0	5000
48	青帝归思套装·八荒	10115050	10114050	10112136	10121052	10122147	10122151	10122155	10122159	10123147	10123151	10123155	10123159	35	1455	46	70	0	5000
49	青帝归思套装·八荒	10115054	10114054	10112140	10121056	10122163	10122167	10122171	10122175	10123163	10123167	10123171	10123175	37	30	46	70	0	5000
50	青帝归思套装·八荒	10115058	10114058	10112144	10121060	10122179	10122183	10122187	10122191	10123179	10123183	10123187	10123191	37	30	46	70	0	5000
51	青帝归思套装·八荒	10115062	10114062	10112148	10121064	10122195	10122199	10122203	10122207	10123195	10123199	10123203	10123207	37	30	35	1455	0	5000
52	青帝归思套装·八荒	10115066	10114066	10112152	10121068	10122211	10122215	10122219	10122223	10123211	10123215	10123219	10123223	37	30	46	70	0	5000
