INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
10158016	3	353	354	4435	0	5	1000	5	0	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#c009933切换效果：切换时标记玩家目标，每击中3次标记后的目标时，均可将目标向自身方向拉拽7米	8608	47304	1.65	9	0.28
10158017	4	353	354	4435	0	5	1000	5	0	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#c009933切换效果：释放所有的攻击技能均需进行运气，同时运气1秒的技能造成的伤害提高100%	8602	47305	1.3	6.3	0.28
10158018	5	353	354	4435	0	5	1000	5	0	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#c009933切换效果：每次攻击均有25%概率发出一扇刀气，刀气可造成自身15%伤害并额外使目标失明0.5秒	8606	47306	0.95	5.4	0.28
10158019	6	353	354	4435	0	5	1000	5	0	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#c009933切换效果：对目标造成会心一击时额外使目标眩晕1秒	8604	47307	0.63	5.4	0.28
10158020	7	353	354	4435	0	5	1000	5	0	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#c009933切换效果：瞬移到10米内的玩家目标位置，并立即进入3秒的隐身状态，隐身时移动速度降低65%，同时获得自身闪避率增加15%，造成伤害降低15%的身如轻羽状态，持续3秒	8605	47308	0.6	3.8	0.28
10158021	1	353	354	4435	0	6	2000	6	1	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#c009933切换效果：每次攻击目标会使目标中1层轻烟印，每层轻烟印每0.5秒可造成人物最高属性攻击*5%层数的伤害,最高可叠加5层，持续5秒	8607	47302	0.6	4.4	0.28
10158022	2	353	354	4435	0	6	2000	6	1	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#c009933切换效果：攻击5米内的目标时，造成的伤害减少8%，攻击5至10米的目标时，造成的伤害不变，攻击10米以上的目标时，造成的伤害增加8%	8603	47303	1.16	6.4	0.28
10158023	3	353	354	4435	0	6	2000	6	1	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#c009933切换效果：切换时标记玩家目标，每击中3次标记后的目标时，均可将目标向自身方向拉拽7米	8608	47304	1.65	9	0.28
10158024	4	353	354	4435	0	6	2000	6	1	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#c009933切换效果：释放所有的攻击技能均需进行运气，同时运气1秒的技能造成的伤害提高100%	8602	47305	1.3	6.3	0.28
10158025	5	353	354	4435	0	6	2000	6	1	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#c009933切换效果：每次攻击均有25%概率发出一扇刀气，刀气可造成自身15%伤害并额外使目标失明0.5秒	8606	47306	0.95	5.4	0.28
10158026	6	353	354	4435	0	6	2000	6	1	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#c009933切换效果：对目标造成会心一击时额外使目标眩晕1秒	8604	47307	0.63	5.4	0.28
10158027	7	353	354	4435	0	6	2000	6	1	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#c009933切换效果：瞬移到10米内的玩家目标位置，并立即进入3秒的隐身状态，隐身时移动速度降低65%，同时获得自身闪避率增加15%，造成伤害降低15%的身如轻羽状态，持续3秒	8605	47308	0.6	3.8	0.28
