INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
15	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	664	-1	35	860	-1	43	34	-1	100	32484	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（1星套装效果）
16	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	1328	-1	35	1718	-1	43	66	-1	100	32485	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（2星套装效果）
17	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	1992	-1	35	2576	-1	43	98	-1	100	32486	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（3星套装效果）
18	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	2654	-1	35	3434	-1	43	132	-1	100	32487	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（4星套装效果）
19	黄雀戏水·怯	5	-1	-1	-1	-1	-1	26	3318	-1	35	4292	-1	43	164	-1	100	32488	烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（5星套装效果）
20	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	860	-1	0	1218	-1	43	34	-1	100	32538	增加摔绊技能对目标的生效几率（1星套装效果）
21	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	1718	-1	0	2434	-1	43	66	-1	100	32539	增加摔绊技能对目标的生效几率（2星套装效果）
22	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	2576	-1	0	3650	-1	43	98	-1	100	32540	增加摔绊技能对目标的生效几率（3星套装效果）
23	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	3434	-1	0	4868	-1	43	132	-1	100	32541	增加摔绊技能对目标的生效几率（4星套装效果）
24	黄雀戏水·狡	5	-1	-1	-1	-1	-1	35	4292	-1	0	6084	-1	43	164	-1	100	32542	增加摔绊技能对目标的生效几率（5星套装效果）
25	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	860	-1	0	1218	-1	43	34	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
26	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	1718	-1	0	2434	-1	43	66	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
27	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	2576	-1	0	3650	-1	43	98	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
28	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	3434	-1	0	4868	-1	43	132	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
29	黄雀戏水·慎	5	-1	-1	-1	-1	-1	35	4292	-1	0	6084	-1	43	164	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
30	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	656	-1	29	656	-1	0	1218	-1	100	32493	增加灵动技能对珍兽自己的生效几率（1星套装效果）
31	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	1312	-1	29	1312	-1	0	2434	-1	100	32494	增加灵动技能对珍兽自己的生效几率（2星套装效果）
32	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	1966	-1	29	1966	-1	0	3650	-1	100	32495	增加灵动技能对珍兽自己的生效几率（3星套装效果）
33	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	2622	-1	29	2622	-1	0	4868	-1	100	32496	增加灵动技能对珍兽自己的生效几率（4星套装效果）
34	乌豚望日·忠	5	-1	-1	-1	-1	-1	22	3276	-1	29	3276	-1	0	6084	-1	100	32497	增加灵动技能对珍兽自己的生效几率（5星套装效果）
35	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	34	-1	35	860	-1	0	1218	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
36	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	66	-1	35	1718	-1	0	2434	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
37	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	98	-1	35	2576	-1	0	3650	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
38	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	132	-1	35	3434	-1	0	4868	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
39	乌豚望日·慎	5	-1	-1	-1	-1	-1	46	164	-1	35	4292	-1	0	6084	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
40	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	860	-1	46	34	-1	0	1218	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
41	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	1718	-1	46	66	-1	0	2434	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
42	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	2576	-1	46	98	-1	0	3650	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
43	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	3434	-1	46	132	-1	0	4868	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
44	白兔隐林·慎	5	-1	-1	-1	-1	-1	35	4292	-1	46	164	-1	0	6084	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
45	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	748	-1	35	966	-1	42	38	-1	100	32439	增加猛击技能的释放几率（1星套装效果）
46	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	1496	-1	35	1930	-1	42	74	-1	100	32440	增加猛击技能的释放几率（2星套装效果）
47	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	2244	-1	35	2894	-1	42	110	-1	100	32441	增加猛击技能的释放几率（3星套装效果）
48	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	2990	-1	35	3858	-1	42	148	-1	100	32442	增加猛击技能的释放几率（4星套装效果）
49	猛虎撼山·勇	5	-1	-1	-1	-1	-1	19	3738	-1	35	4822	-1	42	184	-1	100	32443	增加猛击技能的释放几率（5星套装效果）
50	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	966	-1	0	1374	-1	42	38	-1	100	32520	增加反震技能对目标的生效几率（1星套装效果）
51	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	1930	-1	0	2746	-1	42	74	-1	100	32521	增加反震技能对目标的生效几率（2星套装效果）
52	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	2894	-1	0	4118	-1	42	110	-1	100	32522	增加反震技能对目标的生效几率（3星套装效果）
53	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	3858	-1	0	5490	-1	42	148	-1	100	32523	增加反震技能对目标的生效几率（4星套装效果）
54	猛虎撼山·狡	5	-1	-1	-1	-1	-1	35	4822	-1	0	6862	-1	42	184	-1	100	32524	增加反震技能对目标的生效几率（5星套装效果）
55	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	966	-1	0	1374	-1	42	38	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
56	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	1930	-1	0	2746	-1	42	74	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
57	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	2894	-1	0	4118	-1	42	110	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
58	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	3858	-1	0	5490	-1	42	148	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
59	猛虎撼山·慎	5	-1	-1	-1	-1	-1	35	4822	-1	0	6862	-1	42	184	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
60	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	748	-1	35	966	-1	43	38	-1	100	32475	痛击技能释放时额外增加内功攻击（1星套装效果）
61	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	1496	-1	35	1930	-1	43	74	-1	100	32476	痛击技能释放时额外增加内功攻击（2星套装效果）
62	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	2244	-1	35	2894	-1	43	110	-1	100	32477	痛击技能释放时额外增加内功攻击（3星套装效果）
63	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	2990	-1	35	3858	-1	43	148	-1	100	32478	痛击技能释放时额外增加内功攻击（4星套装效果）
64	飞鹰翔空·怯	5	-1	-1	-1	-1	-1	26	3738	-1	35	4822	-1	43	184	-1	100	32479	痛击技能释放时额外增加内功攻击（5星套装效果）
65	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	966	-1	0	1374	-1	43	38	-1	100	32520	增加反震技能对目标的生效几率（1星套装效果）
66	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	1930	-1	0	2746	-1	43	74	-1	100	32521	增加反震技能对目标的生效几率（2星套装效果）
67	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	2894	-1	0	4118	-1	43	110	-1	100	32522	增加反震技能对目标的生效几率（3星套装效果）
68	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	3858	-1	0	5490	-1	43	148	-1	100	32523	增加反震技能对目标的生效几率（4星套装效果）
69	飞鹰翔空·狡	5	-1	-1	-1	-1	-1	35	4822	-1	0	6862	-1	43	184	-1	100	32524	增加反震技能对目标的生效几率（5星套装效果）
70	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	966	-1	0	1374	-1	43	38	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
71	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	1930	-1	0	2746	-1	43	74	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
72	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	2894	-1	0	4118	-1	43	110	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
73	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	3858	-1	0	5490	-1	43	148	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
74	飞鹰翔空·慎	5	-1	-1	-1	-1	-1	35	4822	-1	0	6862	-1	43	184	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
75	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	738	-1	29	738	-1	0	1374	-1	100	32511	增加忠心技能对玩家的生效几率（1星套装效果）
76	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	1476	-1	29	1476	-1	0	2746	-1	100	32512	增加忠心技能对玩家的生效几率（2星套装效果）
77	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	2214	-1	29	2214	-1	0	4118	-1	100	32513	增加忠心技能对玩家的生效几率（3星套装效果）
78	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	2952	-1	29	2952	-1	0	5490	-1	100	32514	增加忠心技能对玩家的生效几率（4星套装效果）
79	巨熊哮路·忠	5	-1	-1	-1	-1	-1	22	3690	-1	29	3690	-1	0	6862	-1	100	32515	增加忠心技能对玩家的生效几率（5星套装效果）
80	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	38	-1	35	966	-1	0	1374	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
81	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	74	-1	35	1930	-1	0	2746	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
82	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	110	-1	35	2894	-1	0	4118	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
83	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	148	-1	35	3858	-1	0	5490	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
84	巨熊哮路·慎	5	-1	-1	-1	-1	-1	46	184	-1	35	4822	-1	0	6862	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
85	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	966	-1	46	38	-1	0	1374	-1	100	32574	增加吸气技能对目标的生效几率（1星套装效果）
86	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	1930	-1	46	74	-1	0	2746	-1	100	32575	增加吸气技能对目标的生效几率（2星套装效果）
87	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	2894	-1	46	110	-1	0	4118	-1	100	32576	增加吸气技能对目标的生效几率（3星套装效果）
88	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	3858	-1	46	148	-1	0	5490	-1	100	32577	增加吸气技能对目标的生效几率（4星套装效果）
89	奔马逐风·慎	5	-1	-1	-1	-1	-1	35	4822	-1	46	184	-1	0	6862	-1	100	32578	增加吸气技能对目标的生效几率（5星套装效果）
90	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	832	-1	35	1072	-1	42	42	-1	100	32430	增加连击技能的释放几率（1星套装效果）
91	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	1664	-1	35	2142	-1	42	82	-1	100	32431	增加连击技能的释放几率（2星套装效果）
92	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	2496	-1	35	3212	-1	42	122	-1	100	32432	增加连击技能的释放几率（3星套装效果）
93	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	3326	-1	35	4282	-1	42	164	-1	100	32433	增加连击技能的释放几率（4星套装效果）
94	雄狮逆鳞·勇	5	-1	-1	-1	-1	-1	19	4158	-1	35	5352	-1	42	204	-1	100	32434	增加连击技能的释放几率（5星套装效果）
95	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	1072	-1	0	1528	-1	42	42	-1	100	32529	增加反击技能对目标的生效几率（1星套装效果）
96	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	2142	-1	0	3056	-1	42	82	-1	100	32530	增加反击技能对目标的生效几率（2星套装效果）
97	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	3212	-1	0	4584	-1	42	122	-1	100	32531	增加反击技能对目标的生效几率（3星套装效果）
98	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	4282	-1	0	6112	-1	42	164	-1	100	32532	增加反击技能对目标的生效几率（4星套装效果）
99	雄狮逆鳞·狡	5	-1	-1	-1	-1	-1	35	5352	-1	0	7640	-1	42	204	-1	100	32533	增加反击技能对目标的生效几率（5星套装效果）
100	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	1072	-1	0	1528	-1	42	42	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
101	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	2142	-1	0	3056	-1	42	82	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
102	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	3212	-1	0	4584	-1	42	122	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
103	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	4282	-1	0	6112	-1	42	164	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
104	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	5352	-1	0	7640	-1	42	204	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
105	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	832	-1	35	1072	-1	43	42	-1	100	32466	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（1星套装效果）
106	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	1664	-1	35	2142	-1	43	82	-1	100	32467	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（2星套装效果）
107	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	2496	-1	35	3212	-1	43	122	-1	100	32468	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（3星套装效果）
108	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	3326	-1	35	4282	-1	43	164	-1	100	32469	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（4星套装效果）
109	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	4158	-1	35	5352	-1	43	204	-1	100	32470	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（5星套装效果）
110	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	1072	-1	0	1528	-1	43	42	-1	100	32529	增加反击技能对目标的生效几率（1星套装效果）
111	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	2142	-1	0	3056	-1	43	82	-1	100	32530	增加反击技能对目标的生效几率（2星套装效果）
112	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	3212	-1	0	4584	-1	43	122	-1	100	32531	增加反击技能对目标的生效几率（3星套装效果）
113	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	4282	-1	0	6112	-1	43	164	-1	100	32532	增加反击技能对目标的生效几率（4星套装效果）
114	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	5352	-1	0	7640	-1	43	204	-1	100	32533	增加反击技能对目标的生效几率（5星套装效果）
115	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	1072	-1	0	1528	-1	43	42	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
116	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	2142	-1	0	3056	-1	43	82	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
117	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	3212	-1	0	4584	-1	43	122	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
118	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	4282	-1	0	6112	-1	43	164	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
119	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	5352	-1	0	7640	-1	43	204	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
120	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	822	-1	29	822	-1	0	1528	-1	100	32502	增加灵气技能对玩家的生效几率（1星套装效果）
121	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	1642	-1	29	1642	-1	0	3056	-1	100	32503	增加灵气技能对玩家的生效几率（2星套装效果）
122	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	2464	-1	29	2464	-1	0	4584	-1	100	32504	增加灵气技能对玩家的生效几率（3星套装效果）
123	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	3284	-1	29	3284	-1	0	6112	-1	100	32505	增加灵气技能对玩家的生效几率（4星套装效果）
124	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	4106	-1	29	4106	-1	0	7640	-1	100	32506	增加灵气技能对玩家的生效几率（5星套装效果）
125	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	42	-1	35	1072	-1	0	1528	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
126	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	82	-1	35	2142	-1	0	3056	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
127	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	122	-1	35	3212	-1	0	4584	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
128	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	164	-1	35	4282	-1	0	6112	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
129	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	204	-1	35	5352	-1	0	7640	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
130	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	1072	-1	46	42	-1	0	1528	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
131	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	2142	-1	46	82	-1	0	3056	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
132	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	3212	-1	46	122	-1	0	4584	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
133	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	4282	-1	46	164	-1	0	6112	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
134	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	5352	-1	46	204	-1	0	7640	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
