INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
19	9	20900001	47	940000	1754	0	0	1068	0	0	24	9	0	24	9	0	24	9	0	24	9	0	0	280	0	0	280	0	0	0	280	0	0	280	0	0	0	0	0	312	104	4	0	0	0	0	24	24	24	24	15	4	6	0	0	0	0	0	9	9	9	9	0	0	0	0	0	0	38	38
20	10	20900001	50	1000000	1815	0	0	1105	0	0	25	9	0	25	9	0	25	9	0	25	9	0	0	290	0	0	290	0	0	0	290	0	0	290	0	0	0	0	0	323	108	5	0	0	0	0	25	25	25	25	15	5	6	0	0	0	0	0	9	9	9	9	0	0	0	0	0	0	39	39
21	10	20900001	54	1080000	1936	0	0	1178	0	0	26	10	0	26	10	0	26	10	0	26	10	0	0	309	0	0	309	0	0	0	309	0	0	309	0	0	0	0	0	345	115	5	0	0	0	0	27	27	27	27	16	5	6	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	42	42
22	10	20900001	58	1160000	2057	0	0	1252	0	0	28	10	0	28	10	0	28	10	0	28	10	0	0	329	0	0	329	0	0	0	329	0	0	329	0	0	0	0	0	366	122	5	0	0	0	0	29	29	29	29	17	5	7	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	44	44
23	10	20900001	62	1240000	2178	0	0	1326	0	0	30	11	0	30	11	0	30	11	0	30	11	0	0	348	0	0	348	0	0	0	348	0	0	348	0	0	0	0	0	388	129	6	0	0	0	0	31	31	31	31	18	6	7	0	0	0	0	0	11	11	11	11	0	0	0	0	0	0	47	47
24	10	20900001	66	1320000	2299	0	0	1400	0	0	32	12	0	32	12	0	32	12	0	32	12	0	0	368	0	0	368	0	0	0	368	0	0	368	0	0	0	0	0	410	136	6	0	0	0	0	33	33	33	33	20	6	8	0	0	0	0	0	12	12	12	12	0	0	0	0	0	0	50	50
25	12	20900001	70	1400000	2420	0	0	1473	0	0	33	12	0	33	12	0	33	12	0	33	12	0	0	387	0	0	387	0	0	0	387	0	0	387	0	0	0	0	0	431	144	6	0	0	0	0	35	35	35	35	21	6	8	0	0	0	0	0	12	12	12	12	0	0	0	0	0	0	52	52
26	12	20900001	74	1480000	2541	0	0	1547	0	0	35	13	0	35	13	0	35	13	0	35	13	0	0	406	0	0	406	0	0	0	406	0	0	406	0	0	0	0	0	453	151	7	0	0	0	0	37	37	37	37	22	7	8	0	0	0	0	0	13	13	13	13	0	0	0	0	0	0	55	55
27	12	20900001	78	1560000	2662	0	0	1621	0	0	37	13	0	37	13	0	37	13	0	37	13	0	0	426	0	0	426	0	0	0	426	0	0	426	0	0	0	0	0	474	158	7	0	0	0	0	39	39	39	39	23	7	9	0	0	0	0	0	13	13	13	13	0	0	0	0	0	0	57	57
28	12	20900001	82	1640000	2783	0	0	1694	0	0	38	14	0	38	14	0	38	14	0	38	14	0	0	445	0	0	445	0	0	0	445	0	0	445	0	0	0	0	0	496	165	7	0	0	0	0	41	41	41	41	24	7	9	0	0	0	0	0	14	14	14	14	0	0	0	0	0	0	60	60
29	12	20900001	86	1720000	2904	0	0	1768	0	0	40	15	0	40	15	0	40	15	0	40	15	0	0	464	0	0	464	0	0	0	464	0	0	464	0	0	0	0	0	517	172	8	0	0	0	0	43	43	43	43	25	8	10	0	0	0	0	0	15	15	15	15	0	0	0	0	0	0	63	63
30	15	20900001	90	1800000	3025	0	0	1842	0	0	42	15	0	42	15	0	42	15	0	42	15	0	0	484	0	0	484	0	0	0	484	0	0	484	0	0	0	0	0	539	180	8	0	0	0	0	45	45	45	45	26	8	10	0	0	0	0	0	15	15	15	15	0	0	0	0	0	0	65	65
31	15	20900001	96	1920000	3146	0	0	1915	0	0	43	16	0	43	16	0	43	16	0	43	16	0	0	503	0	0	503	0	0	0	503	0	0	503	0	0	0	0	0	561	187	8	0	0	0	0	47	47	47	47	27	8	10	0	0	0	0	0	16	16	16	16	0	0	0	0	0	0	68	68
32	15	20900001	102	2040000	3267	0	0	1989	0	0	45	17	0	45	17	0	45	17	0	45	17	0	0	522	0	0	522	0	0	0	522	0	0	522	0	0	0	0	0	582	194	9	0	0	0	0	49	49	49	49	28	9	11	0	0	0	0	0	17	17	17	17	0	0	0	0	0	0	71	71
33	15	20900001	108	2160000	3388	0	0	2063	0	0	47	17	0	47	17	0	47	17	0	47	17	0	0	542	0	0	542	0	0	0	542	0	0	542	0	0	0	0	0	604	201	9	0	0	0	0	51	51	51	51	29	9	11	0	0	0	0	0	17	17	17	17	0	0	0	0	0	0	73	73
34	15	20900001	114	2280000	3509	0	0	2136	0	0	48	18	0	48	18	0	48	18	0	48	18	0	0	561	0	0	561	0	0	0	561	0	0	561	0	0	0	0	0	625	208	9	0	0	0	0	53	53	53	53	30	9	12	0	0	0	0	0	18	18	18	18	0	0	0	0	0	0	76	76
35	15	20900001	120	2400000	3630	0	0	2210	0	0	50	18	0	50	18	0	50	18	0	50	18	0	0	581	0	0	581	0	0	0	581	0	0	581	0	0	0	0	0	647	216	10	0	0	0	0	55	55	55	55	31	10	12	0	0	0	0	0	18	18	18	18	0	0	0	0	0	0	78	78
36	15	20900001	126	2520000	3751	0	0	2284	0	0	52	19	0	52	19	0	52	19	0	52	19	0	0	600	0	0	600	0	0	0	600	0	0	600	0	0	0	0	0	668	223	10	0	0	0	0	57	57	57	57	32	10	13	0	0	0	0	0	19	19	19	19	0	0	0	0	0	0	81	81
37	15	20900001	132	2640000	3872	0	0	2357	0	0	53	20	0	53	20	0	53	20	0	53	20	0	0	619	0	0	619	0	0	0	619	0	0	619	0	0	0	0	0	690	230	10	0	0	0	0	59	59	59	59	33	10	13	0	0	0	0	0	20	20	20	20	0	0	0	0	0	0	84	84
38	15	20900001	138	2760000	3993	0	0	2431	0	0	55	20	0	55	20	0	55	20	0	55	20	0	0	639	0	0	639	0	0	0	639	0	0	639	0	0	0	0	0	712	237	11	0	0	0	0	61	61	61	61	34	11	13	0	0	0	0	0	20	20	20	20	0	0	0	0	0	0	86	86
39	15	20900001	144	2880000	4114	0	0	2505	0	0	57	21	0	57	21	0	57	21	0	57	21	0	0	658	0	0	658	0	0	0	658	0	0	658	0	0	0	0	0	733	244	11	0	0	0	0	63	63	63	63	35	11	14	0	0	0	0	0	21	21	21	21	0	0	0	0	0	0	89	89
40	15	20900001	150	3000000	4235	0	0	2578	0	0	58	22	0	58	22	0	58	22	0	58	22	0	0	677	0	0	677	0	0	0	677	0	0	677	0	0	0	0	0	755	252	11	0	0	0	0	65	65	65	65	36	11	14	0	0	0	0	0	22	22	22	22	0	0	0	0	0	0	92	92
41	15	20900001	158	3160000	4356	0	0	2652	0	0	60	22	0	60	22	0	60	22	0	60	22	0	0	697	0	0	697	0	0	0	697	0	0	697	0	0	0	0	0	776	259	12	0	0	0	0	68	68	68	68	37	12	15	0	0	0	0	0	22	22	22	22	0	0	0	0	0	0	94	94
42	15	20900001	166	3320000	4477	0	0	2726	0	0	62	23	0	62	23	0	62	23	0	62	23	0	0	716	0	0	716	0	0	0	716	0	0	716	0	0	0	0	0	798	266	12	0	0	0	0	71	71	71	71	38	12	15	0	0	0	0	0	23	23	23	23	0	0	0	0	0	0	97	97
43	15	20900001	174	3480000	4598	0	0	2800	0	0	64	24	0	64	24	0	64	24	0	64	24	0	0	736	0	0	736	0	0	0	736	0	0	736	0	0	0	0	0	820	273	12	0	0	0	0	74	74	74	74	40	12	16	0	0	0	0	0	24	24	24	24	0	0	0	0	0	0	100	100
44	15	20900001	182	3640000	4719	0	0	2873	0	0	65	24	0	65	24	0	65	24	0	65	24	0	0	755	0	0	755	0	0	0	755	0	0	755	0	0	0	0	0	841	280	13	0	0	0	0	77	77	77	77	41	13	16	0	0	0	0	0	24	24	24	24	0	0	0	0	0	0	102	102
45	15	20900001	190	3800000	4840	0	0	2947	0	0	67	25	0	67	25	0	67	25	0	67	25	0	0	774	0	0	774	0	0	0	774	0	0	774	0	0	0	0	0	863	288	13	0	0	0	0	80	80	80	80	42	13	16	0	0	0	0	0	25	25	25	25	0	0	0	0	0	0	105	105
46	15	20900001	198	3960000	5021	0	0	3057	0	0	69	26	0	69	26	0	69	26	0	69	26	0	0	803	0	0	803	0	0	0	803	0	0	803	0	0	0	0	0	895	298	13	0	0	0	0	83	83	83	83	43	13	17	0	0	0	0	0	26	26	26	26	0	0	0	0	0	0	109	109
47	15	20900001	206	4120000	5203	0	0	3168	0	0	72	27	0	72	27	0	72	27	0	72	27	0	0	832	0	0	832	0	0	0	832	0	0	832	0	0	0	0	0	927	309	14	0	0	0	0	86	86	86	86	45	14	18	0	0	0	0	0	27	27	27	27	0	0	0	0	0	0	113	113
48	15	20900001	214	4280000	5384	0	0	3278	0	0	74	28	0	74	28	0	74	28	0	74	28	0	0	861	0	0	861	0	0	0	861	0	0	861	0	0	0	0	0	960	320	14	0	0	0	0	89	89	89	89	46	14	18	0	0	0	0	0	28	28	28	28	0	0	0	0	0	0	117	117
49	15	20900001	222	4440000	5566	0	0	3389	0	0	77	29	0	77	29	0	77	29	0	77	29	0	0	890	0	0	890	0	0	0	890	0	0	890	0	0	0	0	0	992	331	15	0	0	0	0	92	92	92	92	48	15	19	0	0	0	0	0	29	29	29	29	0	0	0	0	0	0	121	121
50	15	-1	0	0	5748	0	0	3500	0	0	80	30	0	80	30	0	80	30	0	80	30	0	0	920	0	0	920	0	0	0	920	0	0	920	0	0	0	0	0	1025	342	16	0	0	0	0	95	95	95	95	50	16	20	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	125	125
