INT	INT	STRING	STRING	INT
108	395	漯河	河南	1
109	377	南阳	河南	1
110	375	平顶山	河南	1
111	393	濮阳	河南	1
112	398	三门峡	河南	1
113	370	商丘	河南	1
114	373	新乡	河南	1
115	376	信阳	河南	1
116	374	许昌	河南	1
117	394	周口	河南	1
118	396	驻马店	河南	1
119	451	哈尔滨	黑龙江	1
120	459	大庆	黑龙江	1
121	468	鹤岗	黑龙江	1
122	456	黑河	黑龙江	1
123	467	鸡西	黑龙江	1
124	454	佳木斯	黑龙江	1
125	453	牡丹江	黑龙江	1
126	464	七台河	黑龙江	1
127	452	齐齐哈尔	黑龙江	1
128	469	双鸭山	黑龙江	1
129	455	绥化	黑龙江	1
130	458	伊春	黑龙江	1
131	27	武汉	湖北	1
132	711	鄂州	湖北	1
133	718	恩施	湖北	1
134	713	黄冈	湖北	1
135	714	黄石	湖北	1
136	724	荆门	湖北	1
137	716	荆州	湖北	1
138	719	十堰	湖北	1
139	722	随州	湖北	1
140	715	咸宁	湖北	1
141	710	襄樊	湖北	1
142	712	孝感	湖北	1
143	717	宜昌	湖北	1
144	731	长沙	湖南	1
145	736	常德	湖南	1
146	735	郴州	湖南	1
147	734	衡阳	湖南	1
148	745	怀化	湖南	1
149	738	娄底	湖南	1
150	739	邵阳	湖南	1
151	732	湘潭	湖南	1
152	743	湘西	湖南	1
153	737	益阳	湖南	1
154	746	永州	湖南	1
155	730	岳阳	湖南	1
156	744	张家界	湖南	1
157	733	株洲	湖南	1
158	431	长春	吉林	1
159	436	白城	吉林	1
160	440	珲春	吉林	1
161	439	浑江	吉林	1
162	432	吉林	吉林	1
163	437	辽源	吉林	1
164	434	四平	吉林	1
165	438	松原	吉林	1
166	435	通化	吉林	1
167	433	延边	吉林	1
168	25	南京	江苏	1
169	519	常州	江苏	1
170	517	淮安	江苏	1
171	518	连云港	江苏	1
172	513	南通	江苏	1
173	512	苏州	江苏	1
174	527	宿迁	江苏	1
175	523	泰州	江苏	1
176	510	无锡	江苏	1
177	516	徐州	江苏	1
178	515	盐城	江苏	1
179	514	扬州	江苏	1
180	511	镇江	江苏	1
181	791	南昌	江西	1
182	794	抚州	江西	1
183	797	赣州	江西	1
184	796	吉安	江西	1
185	798	景德镇	江西	1
186	792	九江	江西	1
187	799	萍乡	江西	1
188	793	上饶	江西	1
189	790	新余	江西	1
190	795	宜春	江西	1
191	701	鹰潭	江西	1
192	24	沈阳	辽宁	1
193	412	鞍山	辽宁	1
194	414	本溪	辽宁	1
195	421	朝阳	辽宁	1
196	411	大连	辽宁	1
197	415	丹东	辽宁	1
198	413	抚顺	辽宁	1
199	418	阜新	辽宁	1
200	429	葫芦岛	辽宁	1
201	416	锦州	辽宁	1
202	419	辽阳	辽宁	1
203	427	盘锦	辽宁	1
204	410	铁岭	辽宁	1
205	417	营口	辽宁	1
206	471	呼和浩特	内蒙古	1
207	483	阿拉善	内蒙古	1
208	478	巴彦淖尔	内蒙古	1
209	472	包头	内蒙古	1
210	476	赤峰	内蒙古	1
211	477	鄂尔多斯	内蒙古	1
212	470	呼伦贝尔	内蒙古	1
213	475	通辽	内蒙古	1
214	473	乌海	内蒙古	1
215	474	乌兰察布	内蒙古	1
216	479	锡林郭勒	内蒙古	1
217	482	兴安	内蒙古	1
218	951	银川	宁夏	1
219	954	固原	宁夏	1
220	952	石嘴山	宁夏	1
221	953	吴忠	宁夏	1
222	971	西宁	青海	1
223	975	果洛	青海	1
224	970	海北	青海	1
225	972	海东	青海	1
226	974	海南	青海	1
227	977	海西	青海	1
228	973	黄南	青海	1
229	976	玉树	青海	1
230	531	济南	山东	1
231	543	滨州	山东	1
232	534	德州	山东	1
233	546	东营	山东	1
234	530	菏泽	山东	1
235	537	济宁	山东	1
236	634	莱芜	山东	1
237	635	聊城	山东	1
238	539	临沂	山东	1
239	532	青岛	山东	1
240	633	日照	山东	1
241	538	泰安	山东	1
242	631	威海	山东	1
243	536	潍坊	山东	1
244	535	烟台	山东	1
245	632	枣庄	山东	1
246	533	淄博	山东	1
247	351	太原	山西	1
248	355	长治	山西	1
249	352	大同	山西	1
250	356	晋城	山西	1
251	354	晋中	山西	1
252	357	临汾	山西	1
253	358	吕梁	山西	1
254	1352	朔州	山西	1
255	350	忻州	山西	1
256	353	阳泉	山西	1
257	359	运城	山西	1
258	29	西安	陕西	1
259	915	安康	陕西	1
260	917	宝鸡	陕西	1
261	916	汉中	陕西	1
262	914	商洛	陕西	1
263	919	铜川	陕西	1
264	913	渭南	陕西	1
265	910	咸阳	陕西	1
266	911	延安	陕西	1
267	912	榆林	陕西	1
268	28	成都	四川	1
269	837	阿坝	四川	1
270	827	巴中	四川	1
271	818	达州	四川	1
272	838	德阳	四川	1
273	836	甘孜	四川	1
274	826	广安	四川	1
275	839	广元	四川	1
276	833	乐山	四川	1
277	834	凉山	四川	1
278	830	泸州	四川	1
279	2833	眉山	四川	1
280	816	绵阳	四川	1
281	1832	内江	四川	1
282	817	南充	四川	1
283	812	攀枝花	四川	1
284	825	遂宁	四川	1
285	835	雅安	四川	1
286	831	宜宾	四川	1
287	832	资阳	四川	1
288	813	自贡	四川	1
289	891	拉萨	西藏	1
290	897	阿里	西藏	1
291	895	昌都	西藏	1
292	894	林芝	西藏	1
293	896	那曲	西藏	1
294	892	日喀则	西藏	1
295	893	山南	西藏	1
296	991	乌鲁木齐	新疆	1
297	997	阿克苏	新疆	1
298	906	阿勒泰	新疆	1
299	996	巴音郭楞	新疆	1
300	909	博尔塔拉	新疆	1
301	994	昌吉	新疆	1
302	902	哈密	新疆	1
303	903	和田	新疆	1
304	998	喀什	新疆	1
305	990	克拉玛依	新疆	1
306	908	克孜勒苏	新疆	1
307	901	塔城	新疆	1
308	995	吐鲁番	新疆	1
309	999	伊犁	新疆	1
310	871	昆明	云南	1
311	875	保山	云南	1
312	878	楚雄	云南	1
313	872	大理	云南	1
314	692	德宏	云南	1
315	887	迪庆	云南	1
316	873	红河	云南	1
317	888	丽江	云南	1
318	883	临沧	云南	1
319	886	怒江	云南	1
320	874	曲靖	云南	1
321	879	思茅	云南	1
322	876	文山	云南	1
323	691	西双版纳	云南	1
324	877	玉溪	云南	1
325	870	昭通	云南	1
326	571	杭州	浙江	1
327	572	湖州	浙江	1
328	573	嘉兴	浙江	1
329	579	金华	浙江	1
330	578	丽水	浙江	1
331	574	宁波	浙江	1
332	570	衢州	浙江	1
333	575	绍兴	浙江	1
334	576	台州	浙江	1
335	577	温州	浙江	1
336	580	舟山	浙江	1
337	8886	台湾	台湾	0
338	8852	香港	香港	0
339	8853	澳门	澳门	0
340	1	火星	火星	0
