INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
神器ID	MatKind	神兵符	数量	辅助材料1	辅助材料数量	辅助材料2	辅助材料数量	少林	明教	丐帮	武当	峨眉	星宿	天龙	天山	逍遥	无门派	曼陀	CostMoney
10301111	1	30505908	5	-1	-1	-1	-1	10301108	10301111	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	10301105	50000	
10301198	1	30505816	5	-1	-1	-1	-1	10301198	10301198	10301198	10301198	10301198	10301198	10301198	10301198	10301198	10301198	10301198	50000	
10301199	1	30505817	5	-1	-1	-1	-1	10301199	10301199	10301199	10301199	10301199	10301199	10301199	10301199	10301199	10301199	10301199	50000	
10301200	1	30505908	5	-1	-1	-1	-1	10301203	10301206	10301209	10301203	10301203	10301203	10301203	10301203	10301203	10301203	10301203	50000	
10301201	1	30505908	5	-1	-1	-1	-1	10301204	10301207	10301210	10301204	10301204	10301204	10301204	10301204	10301204	10301204	10301204	50000	
10301202	1	30505908	5	-1	-1	-1	-1	10301205	10301208	10301211	10301205	10301205	10301205	10301205	10301205	10301205	10301205	10301205	50000	
10301203	1	30505908	5	-1	-1	-1	-1	10301203	10301206	10301209	10301203	10301203	10301203	10301203	10301203	10301203	10301203	10301203	50000	
10301204	1	30505908	5	-1	-1	-1	-1	10301204	10301207	10301210	10301204	10301204	10301204	10301204	10301204	10301204	10301204	10301204	50000	
10301205	1	30505908	5	-1	-1	-1	-1	10301205	10301208	10301211	10301205	10301205	10301205	10301205	10301205	10301205	10301205	10301205	50000	
10301206	1	30505908	5	-1	-1	-1	-1	10301203	10301206	10301209	10301203	10301203	10301203	10301203	10301203	10301203	10301203	10301203	50000	
10301207	1	30505908	5	-1	-1	-1	-1	10301204	10301207	10301210	10301204	10301204	10301204	10301204	10301204	10301204	10301204	10301204	50000	
10301208	1	30505908	5	-1	-1	-1	-1	10301205	10301208	10301211	10301205	10301205	10301205	10301205	10301205	10301205	10301205	10301205	50000	
10301209	1	30505908	5	-1	-1	-1	-1	10301203	10301206	10301209	10301203	10301203	10301203	10301203	10301203	10301203	10301203	10301203	50000	
10301210	1	30505908	5	-1	-1	-1	-1	10301204	10301207	10301210	10301204	10301204	10301204	10301204	10301204	10301204	10301204	10301204	50000	
10301211	1	30505908	5	-1	-1	-1	-1	10301205	10301208	10301211	10301205	10301205	10301205	10301205	10301205	10301205	10301205	10301205	50000	
10302004	1	30505816	5	-1	-1	-1	-1	10302006	10302006	10302006	10302008	10302006	10303000	10302006	10302006	10302006	10302006	10302006	50000	
10302005	1	30505817	5	-1	-1	-1	-1	10302007	10302007	10302007	10302009	10302007	10303001	10302007	10302007	10302007	10302007	10302007	50000	
10302006	1	30505816	5	-1	-1	-1	-1	10302006	10302006	10302006	10302006	10302006	10302006	10302006	10302006	10302006	10302006	10302006	50000	
10302007	1	30505817	5	-1	-1	-1	-1	10302007	10302007	10302007	10302007	10302007	10302007	10302007	10302007	10302007	10302007	10302007	50000	
10302008	1	30505816	5	-1	-1	-1	-1	10302008	10302008	10302008	10302008	10302008	10302008	10302008	10302008	10302008	10302008	10302008	50000	
10302009	1	30505817	5	-1	-1	-1	-1	10302009	10302009	10302009	10302009	10302009	10302009	10302009	10302009	10302009	10302009	10302009	50000	
10302010	1	30505816	5	-1	-1	-1	-1	10302010	10302010	10302010	10302010	10302010	10302010	10302010	10302010	10302010	10302010	10302010	50000	
10302011	1	30505817	5	-1	-1	-1	-1	10302011	10302011	10302011	10302011	10302011	10302011	10302011	10302011	10302011	10302011	10302011	50000	
10302100	1	30505908	5	-1	-1	-1	-1	10302103	10302103	10302103	10302103	10302106	10302109	10302103	10302103	10302103	10302103	10302103	50000	
10302101	1	30505908	5	-1	-1	-1	-1	10302104	10302104	10302104	10302104	10302107	10302110	10302104	10302104	10302104	10302104	10302104	50000	
10302102	1	30505908	5	-1	-1	-1	-1	10302105	10302105	10302105	10302105	10302108	10302111	10302105	10302105	10302105	10302105	10302105	50000	
10302103	1	30505908	5	-1	-1	-1	-1	10302103	10302103	10302103	10302103	10302106	10302109	10302103	10302103	10302103	10302103	10302103	50000	
10302104	1	30505908	5	-1	-1	-1	-1	10302104	10302104	10302104	10302104	10302107	10302110	10302104	10302104	10302104	10302104	10302104	50000	
10302105	1	30505908	5	-1	-1	-1	-1	10302105	10302105	10302105	10302105	10302108	10302111	10302105	10302105	10302105	10302105	10302105	50000	
10302106	1	30505908	5	-1	-1	-1	-1	10302103	10302103	10302103	10302103	10302106	10302109	10302103	10302103	10302103	10302103	10302103	50000	
10302107	1	30505908	5	-1	-1	-1	-1	10302104	10302104	10302104	10302104	10302107	10302110	10302104	10302104	10302104	10302104	10302104	50000	
10302108	1	30505908	5	-1	-1	-1	-1	10302105	10302105	10302105	10302105	10302108	10302111	10302105	10302105	10302105	10302105	10302105	50000	
10302109	1	30505908	5	-1	-1	-1	-1	10302103	10302103	10302103	10302103	10302106	10302109	10302103	10302103	10302103	10302103	10302103	50000	
10302110	1	30505908	5	-1	-1	-1	-1	10302104	10302104	10302104	10302104	10302107	10302110	10302104	10302104	10302104	10302104	10302104	50000	
10302111	1	30505908	5	-1	-1	-1	-1	10302105	10302105	10302105	10302105	10302108	10302111	10302105	10302105	10302105	10302105	10302105	50000	
10302200	1	30505908	5	-1	-1	-1	-1	10302203	10302203	10302203	10302206	10302206	10302209	10302203	10302203	10302203	10302203	10302203	50000	
10302201	1	30505908	5	-1	-1	-1	-1	10302204	10302204	10302204	10302207	10302207	10302210	10302204	10302204	10302204	10302204	10302204	50000	
10302202	1	30505908	5	-1	-1	-1	-1	10302205	10302205	10302205	10302208	10302208	10302211	10302205	10302205	10302205	10302205	10302205	50000	
10302203	1	30505908	5	-1	-1	-1	-1	10302203	10302203	10302203	10302206	10302206	10302209	10302203	10302203	10302203	10302203	10302203	50000	
10302204	1	30505908	5	-1	-1	-1	-1	10302204	10302204	10302204	10302207	10302207	10302210	10302204	10302204	10302204	10302204	10302204	50000	
10302205	1	30505908	5	-1	-1	-1	-1	10302205	10302205	10302205	10302208	10302208	10302211	10302205	10302205	10302205	10302205	10302205	50000	
10302206	1	30505908	5	-1	-1	-1	-1	10302203	10302203	10302203	10302206	10302206	10302209	10302203	10302203	10302203	10302203	10302203	50000	
10302207	1	30505908	5	-1	-1	-1	-1	10302204	10302204	10302204	10302207	10302207	10302210	10302204	10302204	10302204	10302204	10302204	50000	
10302208	1	30505908	5	-1	-1	-1	-1	10302205	10302205	10302205	10302208	10302208	10302211	10302205	10302205	10302205	10302205	10302205	50000	
10302209	1	30505908	5	-1	-1	-1	-1	10302203	10302203	10302203	10302206	10302206	10302209	10302203	10302203	10302203	10302203	10302203	50000	
10302210	1	30505908	5	-1	-1	-1	-1	10302204	10302204	10302204	10302207	10302207	10302210	10302204	10302204	10302204	10302204	10302204	50000	
10302211	1	30505908	5	-1	-1	-1	-1	10302205	10302205	10302205	10302208	10302208	10302211	10302205	10302205	10302205	10302205	10302205	50000	
10303000	1	30505816	5	-1	-1	-1	-1	10303000	10303000	10303000	10303000	10303000	10303000	10303000	10303000	10303000	10303000	10303000	50000	
10303001	1	30505817	5	-1	-1	-1	-1	10303001	10303001	10303001	10303001	10303001	10303001	10303001	10303001	10303001	10303001	10303001	50000	
10303100	1	30505908	5	-1	-1	-1	-1	10303103	10303103	10303103	10303103	10303106	10303109	10303103	10303103	10303103	10303103	10303103	50000	
10303101	1	30505908	5	-1	-1	-1	-1	10303104	10303104	10303104	10303104	10303107	10303110	10303104	10303104	10303104	10303104	10303104	50000	
10303102	1	30505908	5	-1	-1	-1	-1	10303105	10303105	10303105	10303105	10303108	10303111	10303105	10303105	10303105	10303105	10303105	50000	
10303103	1	30505908	5	-1	-1	-1	-1	10303103	10303103	10303103	10303103	10303106	10303109	10303103	10303103	10303103	10303103	10303103	50000	
10303104	1	30505908	5	-1	-1	-1	-1	10303104	10303104	10303104	10303104	10303107	10303110	10303104	10303104	10303104	10303104	10303104	50000	
10303105	1	30505908	5	-1	-1	-1	-1	10303105	10303105	10303105	10303105	10303108	10303111	10303105	10303105	10303105	10303105	10303105	50000	
10303106	1	30505908	5	-1	-1	-1	-1	10303103	10303103	10303103	10303103	10303106	10303109	10303103	10303103	10303103	10303103	10303103	50000	
10303107	1	30505908	5	-1	-1	-1	-1	10303104	10303104	10303104	10303104	10303107	10303110	10303104	10303104	10303104	10303104	10303104	50000	
10303108	1	30505908	5	-1	-1	-1	-1	10303105	10303105	10303105	10303105	10303108	10303111	10303105	10303105	10303105	10303105	10303105	50000	
10303109	1	30505908	5	-1	-1	-1	-1	10303103	10303103	10303103	10303103	10303106	10303109	10303103	10303103	10303103	10303103	10303103	50000	
10303110	1	30505908	5	-1	-1	-1	-1	10303104	10303104	10303104	10303104	10303107	10303110	10303104	10303104	10303104	10303104	10303104	50000	
10303111	1	30505908	5	-1	-1	-1	-1	10303105	10303105	10303105	10303105	10303108	10303111	10303105	10303105	10303105	10303105	10303105	50000	
10303200	1	30505908	5	-1	-1	-1	-1	10303203	10303203	10303203	10303206	10303209	10303203	10303203	10303203	10303203	10303203	10303203	50000	
10303201	1	30505908	5	-1	-1	-1	-1	10303204	10303204	10303204	10303207	10303210	10303204	10303204	10303204	10303204	10303204	10303204	50000	
10303202	1	30505908	5	-1	-1	-1	-1	10303205	10303205	10303205	10303208	10303211	10303205	10303205	10303205	10303205	10303205	10303205	50000	
10303203	1	30505908	5	-1	-1	-1	-1	10303203	10303203	10303203	10303206	10303209	10303203	10303203	10303203	10303203	10303203	10303203	50000	
10303204	1	30505908	5	-1	-1	-1	-1	10303204	10303204	10303204	10303207	10303210	10303204	10303204	10303204	10303204	10303204	10303204	50000	
10303205	1	30505908	5	-1	-1	-1	-1	10303205	10303205	10303205	10303208	10303211	10303205	10303205	10303205	10303205	10303205	10303205	50000	
10303206	1	30505908	5	-1	-1	-1	-1	10303203	10303203	10303203	10303206	10303209	10303203	10303203	10303203	10303203	10303203	10303203	50000	
10303207	1	30505908	5	-1	-1	-1	-1	10303204	10303204	10303204	10303207	10303210	10303204	10303204	10303204	10303204	10303204	10303204	50000	
10303208	1	30505908	5	-1	-1	-1	-1	10303205	10303205	10303205	10303208	10303211	10303205	10303205	10303205	10303205	10303205	10303205	50000	
10303209	1	30505908	5	-1	-1	-1	-1	10303203	10303203	10303203	10303206	10303209	10303203	10303203	10303203	10303203	10303203	10303203	50000	
10303210	1	30505908	5	-1	-1	-1	-1	10303204	10303204	10303204	10303207	10303210	10303204	10303204	10303204	10303204	10303204	10303204	50000	
10303211	1	30505908	5	-1	-1	-1	-1	10303205	10303205	10303205	10303208	10303211	10303205	10303205	10303205	10303205	10303205	10303205	50000	
10304004	1	30505816	5	-1	-1	-1	-1	10304006	10304006	10304006	10304006	10304006	10304006	10304008	10304006	10304006	10304006	10304006	50000	
10304005	1	30505817	5	-1	-1	-1	-1	10304007	10304007	10304007	10304007	10304007	10304007	10304009	10304007	10304007	10304007	10304007	50000	
10304006	1	30505816	5	-1	-1	-1	-1	10304006	10304006	10304006	10304006	10304006	10304006	10304006	10304006	10304006	10304006	10304006	50000	
10304007	1	30505817	5	-1	-1	-1	-1	10304007	10304007	10304007	10304007	10304007	10304007	10304007	10304007	10304007	10304007	10304007	50000	
10304008	1	30505816	5	-1	-1	-1	-1	10304008	10304008	10304008	10304008	10304008	10304008	10304008	10304008	10304008	10304008	10304008	50000	
10304009	1	30505817	5	-1	-1	-1	-1	10304009	10304009	10304009	10304009	10304009	10304009	10304009	10304009	10304009	10304009	10304009	50000	
10304100	1	30505908	5	-1	-1	-1	-1	10304103	10304103	10304103	10304103	10304103	10304103	10304106	10304109	10304103	10304103	10304103	50000	
10304101	1	30505908	5	-1	-1	-1	-1	10304104	10304104	10304104	10304104	10304104	10304104	10304107	10304110	10304104	10304104	10304104	50000	
10304102	1	30505908	5	-1	-1	-1	-1	10304105	10304105	10304105	10304105	10304105	10304105	10304108	10304111	10304105	10304105	10304105	50000	
10304103	1	30505908	5	-1	-1	-1	-1	10304103	10304103	10304103	10304103	10304103	10304103	10304106	10304109	10304103	10304103	10304103	50000	
10304104	1	30505908	5	-1	-1	-1	-1	10304104	10304104	10304104	10304104	10304104	10304104	10304107	10304110	10304104	10304104	10304104	50000	
10304105	1	30505908	5	-1	-1	-1	-1	10304105	10304105	10304105	10304105	10304105	10304105	10304108	10304111	10304105	10304105	10304105	50000	
10304106	1	30505908	5	-1	-1	-1	-1	10304103	10304103	10304103	10304103	10304103	10304103	10304106	10304109	10304103	10304103	10304103	50000	
10304107	1	30505908	5	-1	-1	-1	-1	10304104	10304104	10304104	10304104	10304104	10304104	10304107	10304110	10304104	10304104	10304104	50000	
10304108	1	30505908	5	-1	-1	-1	-1	10304105	10304105	10304105	10304105	10304105	10304105	10304108	10304111	10304105	10304105	10304105	50000	
10304109	1	30505908	5	-1	-1	-1	-1	10304103	10304103	10304103	10304103	10304103	10304103	10304106	10304109	10304103	10304103	10304103	50000	
10304110	1	30505908	5	-1	-1	-1	-1	10304104	10304104	10304104	10304104	10304104	10304104	10304107	10304110	10304104	10304104	10304104	50000	
10304111	1	30505908	5	-1	-1	-1	-1	10304105	10304105	10304105	10304105	10304105	10304105	10304108	10304111	10304105	10304105	10304105	50000	
10305004	1	30505816	5	-1	-1	-1	-1	10305006	10305006	10305006	10305006	10305006	10305006	10305008	10305006	10305006	10305006	10305006	50000	
10305005	1	30505817	5	-1	-1	-1	-1	10305007	10305007	10305007	10305007	10305007	10305007	10305009	10305007	10305007	10305007	10305007	50000	
10305006	1	30505816	5	-1	-1	-1	-1	10305006	10305006	10305006	10305006	10305006	10305006	10305006	10305006	10305006	10305006	10305006	50000	
10305007	1	30505817	5	-1	-1	-1	-1	10305007	10305007	10305007	10305007	10305007	10305007	10305007	10305007	10305007	10305007	10305007	50000	
10305008	1	30505816	5	-1	-1	-1	-1	10305008	10305008	10305008	10305008	10305008	10305008	10305008	10305008	10305008	10305008	10305008	50000	
10305009	1	30505817	5	-1	-1	-1	-1	10305009	10305009	10305009	10305009	10305009	10305009	10305009	10305009	10305009	10305009	10305009	50000	
10305100	1	30505908	5	-1	-1	-1	-1	10305103	10305103	10305103	10305103	10305103	10305103	10305103	10305106	10305109	10305103	10305103	50000	
10305101	1	30505908	5	-1	-1	-1	-1	10305104	10305104	10305104	10305104	10305104	10305104	10305104	10305107	10305110	10305104	10305104	50000	
10305102	1	30505908	5	-1	-1	-1	-1	10305105	10305105	10305105	10305105	10305105	10305105	10305105	10305108	10305111	10305105	10305105	50000	
10305103	1	30505908	5	-1	-1	-1	-1	10305103	10305103	10305103	10305103	10305103	10305103	10305103	10305106	10305109	10305103	10305103	50000	
10305104	1	30505908	5	-1	-1	-1	-1	10305104	10305104	10305104	10305104	10305104	10305104	10305104	10305107	10305110	10305104	10305104	50000	
10305105	1	30505908	5	-1	-1	-1	-1	10305105	10305105	10305105	10305105	10305105	10305105	10305105	10305108	10305111	10305105	10305105	50000	
10305106	1	30505908	5	-1	-1	-1	-1	10305103	10305103	10305103	10305103	10305103	10305103	10305103	10305106	10305109	10305103	10305103	50000	
10305107	1	30505908	5	-1	-1	-1	-1	10305104	10305104	10305104	10305104	10305104	10305104	10305104	10305107	10305110	10305104	10305104	50000	
10305108	1	30505908	5	-1	-1	-1	-1	10305105	10305105	10305105	10305105	10305105	10305105	10305105	10305108	10305111	10305105	10305105	50000	
10305109	1	30505908	5	-1	-1	-1	-1	10305103	10305103	10305103	10305103	10305103	10305103	10305103	10305106	10305109	10305103	10305103	50000	
10305110	1	30505908	5	-1	-1	-1	-1	10305104	10305104	10305104	10305104	10305104	10305104	10305104	10305107	10305110	10305104	10305104	50000	
10305111	1	30505908	5	-1	-1	-1	-1	10305105	10305105	10305105	10305105	10305105	10305105	10305105	10305108	10305111	10305105	10305105	50000	
10305200	1	30505908	5	-1	-1	-1	-1	10305203	10305203	10305203	10305203	10305203	10305203	10305206	10305203	10305209	10305203	10305203	50000	
10305201	1	30505908	5	-1	-1	-1	-1	10305204	10305204	10305204	10305204	10305204	10305204	10305207	10305204	10305210	10305204	10305204	50000	
10305202	1	30505908	5	-1	-1	-1	-1	10305205	10305205	10305205	10305205	10305205	10305205	10305208	10305205	10305211	10305205	10305205	50000	
10305203	1	30505908	5	-1	-1	-1	-1	10305203	10305203	10305203	10305203	10305203	10305203	10305206	10305203	10305209	10305203	10305203	50000	
10305204	1	30505908	5	-1	-1	-1	-1	10305204	10305204	10305204	10305204	10305204	10305204	10305207	10305204	10305210	10305204	10305204	50000	
10305205	1	30505908	5	-1	-1	-1	-1	10305205	10305205	10305205	10305205	10305205	10305205	10305208	10305205	10305211	10305205	10305205	50000	
10305206	1	30505908	5	-1	-1	-1	-1	10305203	10305203	10305203	10305203	10305203	10305203	10305206	10305203	10305209	10305203	10305203	50000	
10305207	1	30505908	5	-1	-1	-1	-1	10305204	10305204	10305204	10305204	10305204	10305204	10305207	10305204	10305210	10305204	10305204	50000	
10305208	1	30505908	5	-1	-1	-1	-1	10305205	10305205	10305205	10305205	10305205	10305205	10305208	10305205	10305211	10305205	10305205	50000	
10305209	1	30505908	5	-1	-1	-1	-1	10305203	10305203	10305203	10305203	10305203	10305203	10305206	10305203	10305209	10305203	10305203	50000	
10305210	1	30505908	5	-1	-1	-1	-1	10305204	10305204	10305204	10305204	10305204	10305204	10305207	10305204	10305210	10305204	10305204	50000	
10305211	1	30505908	5	-1	-1	-1	-1	10305205	10305205	10305205	10305205	10305205	10305205	10305208	10305205	10305211	10305205	10305205	50000	
10306004	1	30505816	5	-1	-1	-1	-1	10306006	10306006	10306006	10306006	10306006	10306006	10306008	10306006	10306006	10306006	10306006	50000	
10306005	1	30505817	5	-1	-1	-1	-1	10306007	10306007	10306007	10306007	10306007	10306007	10306009	10306007	10306007	10306007	10306007	50000	
10306006	1	30505816	5	-1	-1	-1	-1	10306006	10306006	10306006	10306006	10306006	10306006	10306006	10306006	10306006	10306006	10306006	50000	
10306007	1	30505817	5	-1	-1	-1	-1	10306007	10306007	10306007	10306007	10306007	10306007	10306007	10306007	10306007	10306007	10306007	50000	
10306008	1	30505816	5	-1	-1	-1	-1	10306008	10306008	10306008	10306008	10306008	10306008	10306008	10306008	10306008	10306008	10306008	50000	
10306009	1	30505817	5	-1	-1	-1	-1	10306009	10306009	10306009	10306009	10306009	10306009	10306009	10306009	10306009	10306009	10306009	50000	
10306100	1	30505908	5	-1	-1	-1	-1	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306109	50000	
10306101	1	30505908	5	-1	-1	-1	-1	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306110	50000	
10306102	1	30505908	5	-1	-1	-1	-1	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306111	50000	
10306103	1	30505908	5	-1	-1	-1	-1	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306109	50000	
10306104	1	30505908	5	-1	-1	-1	-1	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306110	50000	
10306105	1	30505908	5	-1	-1	-1	-1	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306111	50000	
10306106	1	30505908	5	-1	-1	-1	-1	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306109	50000	
10306107	1	30505908	5	-1	-1	-1	-1	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306110	50000	
10306108	1	30505908	5	-1	-1	-1	-1	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306111	50000	
10306109	1	30505908	5	-1	-1	-1	-1	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306103	10306109	50000	
10306110	1	30505908	5	-1	-1	-1	-1	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306104	10306110	50000	
10306111	1	30505908	5	-1	-1	-1	-1	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306105	10306111	50000	
