INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
10112146	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112147	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112148	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112149	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112150	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112151	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112152	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114015	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114016	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114017	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114018	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114019	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114020	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114021	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114022	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114023	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114024	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114025	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114026	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114027	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114028	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114029	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114030	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114031	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114032	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114033	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114034	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114035	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114036	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114037	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114038	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114039	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114040	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114041	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114042	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114043	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114044	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114045	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114046	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114047	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114048	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114049	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114050	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114051	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114052	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114053	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114054	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114055	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114056	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114057	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114058	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114059	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114060	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114061	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114062	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114063	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114064	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114065	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10114066	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115015	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115016	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115017	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115018	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115019	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115020	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115021	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115022	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115023	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115024	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115025	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115026	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115027	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115028	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115029	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115030	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115031	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115032	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115033	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115034	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115035	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115036	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115037	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115038	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115039	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115040	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115041	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115042	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115043	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115044	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115045	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115046	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115047	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115048	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115049	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115050	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115051	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115052	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115053	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115054	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115055	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115056	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115057	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115058	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115059	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115060	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115061	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115062	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115063	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115064	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115065	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10115066	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121017	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121018	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121019	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121020	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121021	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121022	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121023	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121024	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121025	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121026	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121027	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121028	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121029	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121030	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121031	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121032	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121033	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121034	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121035	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121036	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121037	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121038	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121039	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121040	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121041	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121042	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121043	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121044	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121045	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121046	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121047	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121048	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121049	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121050	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121051	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121052	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121053	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121054	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121055	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121056	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121057	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121058	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121059	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121060	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121061	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121062	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121063	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121064	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121065	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121066	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121067	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10121068	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122016	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122017	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122018	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122019	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122020	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122021	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122022	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122023	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122024	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122025	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122026	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122027	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122028	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122029	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122030	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122031	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122032	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122033	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122034	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122035	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122036	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122037	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122038	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122039	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122040	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122041	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122042	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122043	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122044	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122045	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122046	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122047	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122048	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122049	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122050	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122051	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122052	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122053	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122054	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122055	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122056	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122057	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122058	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122059	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122060	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122061	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122062	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122063	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122064	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122065	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122066	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122067	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122068	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122069	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122070	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122071	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122072	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122073	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122074	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122075	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122076	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122077	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122078	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122079	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122080	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122081	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122082	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122083	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122084	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122085	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122086	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122087	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122088	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122089	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122090	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122091	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122092	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122093	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122094	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122095	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122096	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122097	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122098	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122099	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122100	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122101	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122102	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122103	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122104	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122105	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122106	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122107	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122108	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122109	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122110	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122111	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122112	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122113	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122114	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122115	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122116	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122117	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122118	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122119	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122120	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122121	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122122	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122123	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122124	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122125	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122126	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122127	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122128	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122129	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122130	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122131	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122132	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122133	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122134	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122135	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122136	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122137	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122138	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122139	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122140	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122141	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122142	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122143	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122144	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122145	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122146	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122147	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122148	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122149	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122150	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122151	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122152	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122153	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122154	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122155	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122156	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122157	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122158	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122159	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122160	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122161	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122162	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122163	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122164	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122165	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122166	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122167	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122168	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122169	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122170	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122171	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122172	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122173	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122174	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122175	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122176	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122177	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122178	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122179	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122180	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122181	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122182	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122183	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122184	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122185	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122186	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122187	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122188	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122189	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122190	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122191	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122192	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122193	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122194	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122195	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122196	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122197	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122198	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122199	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122200	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122201	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122202	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122203	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122204	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122205	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122206	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122207	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122208	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122209	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122210	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122211	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122212	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122213	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122214	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122215	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122216	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122217	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122218	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122219	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10122220	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
