INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$	特殊坐骑效果	置顶显示	预留	预留
44	44	1000	Buff1_12							0	0	0	1	0		强化：防御	-1	0	1	1	
45	45	1000	Buff1_13							0	0	0	1	0		强化：攻防	-1	0	1	1	
46	46	1000	Buff1_14							0	0	0	1	0		强化：抗性	-1	0	1	1	
47	47	1000	Buff1_15							0	0	0	1	0		强化：冰防御	-1	0	1	1	
48	48	1000	Buff1_16							0	0	0	1	0		强化：火防御	-1	0	1	1	
49	49	1000	Buff2_1							0	0	0	1	0		强化：毒防御	-1	0	1	1	
50	50	1000	Buff2_2							0	0	0	1	0		强化：玄防御	-1	0	1	1	
51	51	1000	Buff2_3	cw_jieli		头顶状态点				0	0	0	1	0		强化：力量	-1	0	1	1	
52	52	1000	Buff2_4	cw_ningshen		头顶状态点				0	0	0	1	0		强化：灵气	-1	0	1	1	
53	53	1000	Buff2_5	cw_qiangshen		头顶状态点				0	0	0	1	0		强化：体力	-1	0	1	1	
54	54	1000	Buff2_6	cw_yihun		头顶状态点				0	0	0	1	0		强化：定力	-1	0	1	1	
55	55	1000	Buff2_7	cw_jiasu		头顶状态点				0	0	0	1	0		强化：身法	-1	0	1	1	
56	56	1000	Buff2_8							0	0	0	1	0		强化：命中	-1	0	1	1	
57	57	1000	Buff2_9							0	0	0	1	0		强化：闪避	-1	0	1	1	
58	58	1000	Buff2_10							0	0	0	1	0		强化：会心	-1	0	1	1	
59	59	1000	Buff2_11							0	0	0	1	0		强化：血上限	-1	0	1	1	
60	60	1000	Buff2_12							0	0	0	1	0		增强：外功攻击	-1	0	1	1	
61	61	1000	Buff2_13							0	0	0	1	0		增强：内功攻击	-1	0	1	1	
62	62	1000	Buff2_14							0	0	0	1	0		增强：外攻防御	-1	0	1	1	
63	63	1000	Buff2_15							0	0	0	1	0		增强：内功防御	-1	0	1	1	
64	64	1000	Buff2_16							0	0	0	1	0		增强：冰攻击	-1	0	1	1	
65	65	1000	Buff3_1							0	0	0	1	0		增强：火攻击	-1	0	1	1	
66	66	1000	Buff3_2							0	0	0	1	0		增强：毒攻击	-1	0	1	1	
67	67	1000	Buff3_3							0	0	0	1	0		增强：玄攻击	-1	0	1	1	
68	68	1000	Buff3_4							0	0	0	1	0		增强：冰防御	-1	0	1	1	
69	69	1000	Buff3_5							0	0	0	1	0		增强：火防御	-1	0	1	1	
70	70	1000	Buff3_6							0	0	0	1	0		增强：毒防御	-1	0	1	1	
71	71	1000	Buff3_7							0	0	0	1	0		增强：玄防御	-1	0	1	1	
72	72	1000	Buff3_8							0	0	0	1	0		增强：力量	-1	0	1	1	
73	73	1000	Buff3_9							0	0	0	1	0		增强：灵气	-1	0	1	1	
74	74	1000	Buff3_10							0	0	0	1	0		增强：体力	-1	0	1	1	
75	75	1000	Buff3_11							0	0	0	1	0		增强：定力	-1	0	1	1	
76	76	1000	Buff3_12							0	0	0	1	0		增强：身法	-1	0	1	1	
77	77	1000	Buff3_13							0	0	0	1	0		增强：命中	-1	0	1	1	
78	78	1000	Buff3_14							0	0	0	1	0		增强：闪避	-1	0	1	1	
79	79	1000	Buff3_15							0	0	0	1	0		增强：会心	-1	0	1	1	
80	80	1000	Buff3_16							0	0	0	1	0		增强：血上限	-1	0	1	1	
81	81	1000	Buff4_1							0	0	0	1	0		抵抗：开膛	-1	0	1	1	
82	82	1000	Buff4_2							0	0	0	1	0		抵抗：石化	-1	0	1	1	
83	83	1000	Buff4_3							0	0	0	1	0		抵抗：麻痹	-1	0	1	1	
84	84	1000	Buff4_4							0	0	0	1	0		抵抗：恐惧	-1	0	1	1	
85	85	1000	Buff4_5							0	0	0	1	0		抵抗：缠绕	-1	0	1	1	
86	86	1000	Buff4_6							0	0	0	1	0		抵抗：噬血	-1	0	1	1	
87	87	1000	Buff4_7							0	0	0	1	0		抵抗：兽毒	-1	0	1	1	
88	88	1000	Buff4_8							0	0	0	1	0		抵抗：失魂	-1	0	1	1	
89	89	1000	Buff4_9							0	0	0	1	0		抵抗：就擒	-1	0	1	1	
90	90	1000	Buff4_10							0	0	0	1	0		抵抗：散功	-1	0	1	1	
91	91	1000	Buff4_11							0	0	0	1	0		抵抗：围困	-1	0	1	1	
92	92	1000	Buff4_12							0	0	0	1	0		抵抗：昏睡	-1	0	1	1	
93	93	1000	Buff4_13							0	0	0	1	0		抵抗：封穴	-1	0	1	1	
94	94	1000	Buff4_14							0	0	0	1	0		抵抗：失明	-1	0	1	1	
95	95	1000	Buff4_15							0	0	0	1	0		抵抗：定身	-1	0	1	1	
96	96	1000	Buff4_16							0	0	0	1	0		无敌	-1	0	1	1	
97	15	1000	FightSkillMingJiao_9				buff_hunmi_01		头顶状态点	0	0	0	1	0		地狱火：昏睡，移动不能，操作不能，可被攻击，可被打醒	-1	0	1	1	
98	98	1000	FightSkillEMei1_14							0	1	1	0	0		僵硬：技能冷却时间延长	-1	0	1	1	
99	99	1000	Buff5_1							0	0	0	1	0		初级隐身	-1	0	1	1	
100	100	1000	FightSkillShaoLin1_4				g01_buff10		脚下光圈点	0	0	0	1	0		一苇渡江：增加移动速度	-1	0	1	1	
101	21	1000	FightSkillShaoLin1_5	g01_sl_zdo_nianhuazhi_01	Skills\Sl\Sl_拈花指_散功.wav	身体受击点	buff_sangong_01		脚下光圈点	0	1	1	0	0		拈花指：散功，可以移动，但无法使用任何技能	-1	0	1	1	
102	102	1000	FightSkillShaoLin1_6		Skills\Sl\Sl_罗汉阵_效果.wav					0	0	0	1	0		罗汉阵：增加外功防御	-1	0	1	1	
103	103	8500	FightSkillShaoLin1_9				g01_buff5		身体中心点	0	0	0	1	0		礼敬如来：反射伤害	-1	0	1	1	
104	104	1000	FightSkillShaoLin1_15							0	0	0	1	0		般若掌：强化外功防御	-1	0	1	1	
105	105	1000	FightSkillShaoLin1_12							1	0	0	1	0		铁布衫：提高怒气转换和抗性	-1	0	1	1	
106	106	7500	FightSkillShaoLin1_13				g01_buff109		身体中心点	0	0	0	1	0		百无禁忌：对不良效果免疫。高于自己心法等级的不良效果无法免疫。	-1	0	1	1	
107	23	1000	FightSkillShaoLin1_15				g01_buff100		脚下光圈点	0	1	1	0	0		一拍两散：僵硬，移动速度减慢	-1	0	1	1	
108	105	1000	FightSkillShaoLin1_16							1	0	0	1	0		韦陀杵：攻击伤害放大	-1	0	1	1	
109	109	1000	FightSkillShaoLin2_1							0	0	0	1	0		气贯长虹：增加会心	-1	0	1	1	
110	110	7500	FightSkillShaoLin2_3	g01_sl_zdo_mingjingtai_01		身体受击点				0	0	0	1	0		明镜台：免疫失明	-1	0	1	1	
111	111	8500	FightSkillShaoLin2_4				g01_buff7		身体中心点	0	0	0	1	0		金刚不坏体：伤害减免	-1	0	1	1	
112	100	1000	FightSkillMingJiao_4				g01_buff45_01		脚下光圈点	0	0	0	1	0		葵花逐日：增加移动速度	-1	0	1	1	
113	13	1000	FightSkillMingJiao_5	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		葵花点穴手：封穴，移动不能，操作不能，可被攻击，无法被打醒	-1	0	1	1	
114	114	1000	FightSkillMingJiao_6							0	0	0	1	0		葵花向阳：增加外功攻击	-1	0	1	1	
115	115	8000	FightSkillMingJiao_7				g01_buff8		脚下光圈点	0	0	0	1	0		怒发冲冠：狂暴状态，牺牲防御加强外功攻击	-1	0	1	1	
116	116	8000	FightSkillMingJiao_8	g01_mj_zdo_huiguangfanzhao		头顶状态点				0	0	0	1	0		李代桃僵：死后能够复活	-1	0	1	1	
117	117	1000	FightSkillMingJiao_12							1	0	0	1	0		水神下凡：防御状态，提高怒气转换率，此状态下有几率使目标进入破绽状态	-1	0	1	1	
118	117	1000	FightSkillMingJiao_16							1	0	0	1	0		火神下凡：攻击状态，提高命中和会心	-1	0	1	1	
119	119	7500	FightSkillMingJiao1_3				g01_buff18		身体受击点	0	0	0	1	0		坐地求全：免疫散功	-1	0	1	1	
120	120	1000	FightSkillMingJiao_15							0	0	0	1	0		月夜斩：外功攻击增加	-1	0	1	1	
121	121	8500	FightSkillMingJiao1_4				g01_mj_无中生		身体中心点	0	0	0	1	0		无中生有：攻击无视对方防御	-1	0	1	1	
122	100	1000	FightSkillGaiBang1_4				g01_buff10		脚下光圈点	0	0	0	1	0		八步赶蟾：增加移动速度	-1	0	1	1	
123	21	1000	FightSkillGaiBang1_5	g01_gb_zdo_qianlongwuyong		身体受击点	buff_sangong_01		脚下光圈点	0	1	1	0	0		雪泥鸿爪：散功，可以移动，但无法使用任何技能	-1	0	1	1	
124	124	1000	FightSkillGaiBang1_6	g01_gb_buff113_01		脚下光圈点				0	0	0	1	0		粘衣十八跌：增加闪避	-1	0	1	1	
125	17	1000	FightSkillGaiBang1_8				g01_gb_buff101		头顶状态点	0	1	1	0	0		潜龙勿用：失明状态下不可以做任何操作，但会在一定区域内随机移动，可被攻击	-1	0	1	1	
126	126	1000	FightSkillGaiBang1_12							1	0	0	1	0		擒龙式：防御状态，获得怒气速度增加，此状态下攻击有几率虚弱目标的命中	-1	0	1	1	
127	126	1000	FightSkillGaiBang1_16							1	0	0	1	0		控鹤式：攻击状态，获得三段连击的能力，技能暴击有几率获得两个连击段	-1	0	1	1	
128	128	8500	FightSkillGaiBang_1				g01_gb_zhanlongjue_2		身体受击点	0	0	0	1	0		履霜冰至：攻击所造成的效果加倍	-1	0	1	1	
129	129	1000	FightSkillGaiBang1_9							0	0	0	1	0		见龙在田：上毒状态，使攻击目标中毒	-1	0	1	1	
130	130	7500	FightSkillGaiBang_3							0	0	0	1	0		神龙摆尾：免疫昏睡、定身	-1	0	1	1	
131	131	8500	FightSkillGaiBang_4				g01_gb_buff114_01		身体中心点	0	0	0	1	0		龙战于野：增加闪避	-1	0	1	1	
132	23	1000	FightSkillWuDang1_4	g01_yanggetianjun		身体受击点	g01_buff116		脚下光圈点	0	1	1	0	0		三环套月：僵硬，降低移动速度	-1	0	1	1	
133	15	1000	FightSkillWuDang1_5				buff_hunmi_01		头顶状态点	0	1	1	0	0		揽雀尾：昏睡，移动不能，操作不能，可被攻击，可被打醒	-1	0	1	1	
134	134	1000	FightSkillWuDang1_6							0	0	0	1	0		天罡北斗阵：加气上限	-1	0	1	1	
135	135	1000	FightSkillWuDang1_3				g01_wd_zhenwuqijiezhen_01		身体受击点	0	0	1	0	1	左武器绑定点	两仪剑：持续攻击	-1	0	1	1	
136	136	8500	FightSkillWuDang1_8				g01_wd_zhinanzhen_01		身体受击点	0	0	1	0	1	左武器绑定点	如封似闭：封印，无法移动，无法施放门派技能	-1	0	1	1	
137	137	1000	FightSkillWuDang1_12							1	0	0	1	0		挑帘式：防御状态，提高怒气转换率，此状态下攻击有几率恢复自己的气	-1	0	1	1	
138	138	8500	FightSkillWuDang1_13				g01_buff118		身体中心点	0	0	0	1	0		流星赶月：该状态下能用自身的气抵消部分血伤害	-1	0	1	1	
139	19	1000	FightSkillWuDang1_15				g01_buff38		头顶状态点	0	1	1	0	0		玉女穿梭：定身，移动不能	-1	0	1	1	
140	137	1000	FightSkillWuDang1_16							1	0	0	1	0		斜飞式：攻击状态，增加会心	-1	0	1	1	
141	141	8000	FightSkillWuDang2_1				g01_buff119		头顶状态点	0	0	0	1	0		白鹤亮翅：扩大技能的消耗和伤害	-1	0	1	1	
142	142	7500	FightSkillWuDang2_3				g01_buff5_01		身体受击点	0	0	0	0	0		无懈可击：免疫封穴	-1	0	1	1	
143	143	1000	FightSkillEMei1_4	all_em_bj00000		身体受击点	g01_em_piaoxuechuanyun_lx		身体受击点	0	0	1	0	1	左武器绑定点	金顶绵掌：使目标持续受到伤害	-1	0	1	1	
144	17	1000	FightSkillEMei1_5				g01_em_buff38		头顶状态点	0	0	0	1	0		月落西山：失明，无法控制，随机移动	-1	0	1	1	
145	145	1000	FightSkillEMei1_9				g01_em_jq_zdo_菩提护体		身体中心点	0	0	0	1	0		延年益寿：护体，吸收所受伤害	-1	0	1	1	
146	146	1000	FightSkillEMei1_11	g01_em_sf_zdo_回心诀		身体受击点				0	0	0	1	0		回天术：持续回复血	-1	0	1	1	
147	147	1000	FightSkillEMei1_12							1	0	0	1	0		绝剑式：防御状态，怒气转换率增强，此状态下冲虚养气的施法时间减少一半	-1	0	1	1	
148	147	1000	FightSkillEMei1_16							1	0	0	1	0		灭剑式：攻击状态，此状态下攻击有几率降低目标的血、气上限	-1	0	1	1	
149	149	7500	FightSkillEMei2_3							0	0	0	1	0		行尸走肉：免疫围困、定身	-1	0	1	1	
150	150	7600	FightSkillEMei2_4				g01_buff118_01		身体受击点	0	0	0	1	0		呆若木鸡：状态，无敌，但是无法使用门派技能	-1	0	1	1	
151	151	8500	FightSkillEMei2_1							0	0	0	1	0		斩情诀：状态，减少聚气时间	-1	0	1	1	
152	23	1000	FightSkillXinXiu1_4	g01_xx_sf_zdo_蝎尾针		身体受击点	g01_xx_sf_zt_蝎尾针		脚下光圈点	0	1	1	0	0		蝎尾针：僵硬，移动速度减慢	-1	0	1	1	
153	17	1000	FightSkillXinXiu1_5				buff_shiming_01		头顶状态点	0	1	1	0	0		毒蟾功：失明，无法控制，随机移动	-1	0	1	1	
154	154	1000	FightSkillXinXiu1_6	g01_xx_buff_wugongzhen		身体受击点				0	0	0	1	0		蜈蚣阵：增加内功防御	-1	0	1	1	
155	155	1000	FightSkillXinXiu1_7				g01_xx_lx_shixueyixiao		身体受击点	0	0	1	0	1	左武器绑定点	笑里藏刀：吸血	-1	0	1	1	
156	116	8000	FightSkillXinXiu1_9	g01_xx_hanxiaojiuquan		身体受击点				0	0	0	1	0		含笑九泉：死后复活	-1	0	1	1	
157	37	1000	FightSkillXinXiu1_8				g01_buff100		身体受击点	0	1	1	0	0		笑里藏刀：虚弱所有属性	-1	0	1	1	
158	158	1000	FightSkillXinXiu1_8							0	0	0	1	0		谈笑自若：引导不被打断	-1	0	1	1	
159	159	1000	FightSkillXinXiu1_12							1	0	0	1	0		木遁：防御状态，怒气转换率增强，HP上限增加	-1	0	1	1	
160	160	1000	FightSkillXinXiu1_13				g01_xx_yd_huachenwuxing_01		身体受击点	0	0	1	0	1	左武器绑定点	指鹿为马：持续吸怒	-1	0	1	1	
161	161	1000	FightSkillXinXiu1_16							1	0	0	1	0		水遁：攻击状态，诅咒被攻击者	-1	0	1	1	
162	33	8600	FightSkillXinXiu2_2							0	1	1	0	0		化血绵掌：虚弱血上限	-1	0	1	1	
163	163	7500	FightSkillXinXiu2_3							0	0	0	1	0		金石俱焚：免疫围困、昏睡	-1	0	1	1	
164	100	1000	FightSkillDaLi_4				g01_buff10		脚下光圈点	0	0	0	1	0		衔枚疾走：增加移动速度	-1	0	1	1	
165	136	8000	FightSkillDaLi_5	g01_dl_zdo_bamenjinsuo		身体受击点	buff_dingshen		身体受击点	0	0	1	0	0		八门金锁：封印，无法移动，无法施放门派技能	-1	0	1	1	
166	166	1000	FightSkillDaLi_6				g01_dl_zdo_shaoyangjian		身体受击点	0	0	0	1	0		以逸待劳：增加命中	-1	0	1	1	
167	167	8800	FightSkillDaLi_7	g01_dl_zdo_zhidianjiangshan		头顶状态点	g01_buff40		头顶状态点	0	0	1	0	0		指点江山：标记，被标记者受伤害增加	-1	0	1	1	
168	168	1000	FightSkillDaLi_8							0	0	0	1	0		天罡正气：增加所有抗性	-1	0	1	1	
169	21	1000	FightSkillDaLi_11				buff_sangong_01		脚下光圈点	0	0	1	0	0		欲擒故纵：散功，无法释放门派技能	-1	0	1	1	
170	13	1000	FightSkillDaLi_15				buff_fengxue_01		身体受击点	0	0	1	0	0		雪拥蓝关：封穴，移动不能，操作不能	-1	0	1	1	
171	171	1000	FightSkillDaLi_12							1	0	0	1	0		截拳式：防御状态，怒气转换率增强，防御增加	-1	0	1	1	
172	172	1000	FightSkillDaLi_16							1	0	0	1	0		破剑式：攻击状态，一定几率使目标出现破绽，发功持续时间降低	-1	0	1	1	
173	173	8500	FightSkillDaLi1_1							0	0	0	1	0		金玉满堂：增加会心	-1	0	1	1	
174	100	1000	FightSkillTianShan_4				g01_buff10_01		脚下光圈点	0	0	0	1	0		白驹过隙：移动速度增加	-1	0	1	1	
175	19	1000	FightSkillTianShan_5	g01_buff42_01		身体受击点				0	1	1	0	0		铁锁横江：定身，移动不能	-1	0	1	1	
176	99	1000	FightSkillTianShan_6							0	0	0	1	0		十面埋伏：隐身	-1	0	1	1	
177	99	1000	FightSkillTianShan_7							0	0	0	1	0		金蝉脱壳：隐身	-1	0	1	1	
178	178	8500	FightSkillTianShan_8							0	0	0	1	0		移花接木：在此状态下攻击携带范围伤害效果	-1	0	1	1	
179	179	1000	FightSkillTianShan_11							0	0	0	1	0		雪花六出：增加会心	-1	0	1	1	
180	99	1000	FightSkillTianShan_13							0	0	0	1	0		踏雪无痕：隐身	-1	0	1	1	
181	23	1000	FightSkillTianShan_15				g01_buff100		脚下光圈点	0	0	1	0	0		梅花三弄：僵硬，移动速度减慢	-1	0	1	1	
182	182	8500	FightSkillTianShan1_4				g01_ts_buff_yangguansandie		身体受击点	0	0	0	1	0		阳关三叠：增加会心	-1	0	1	1	
183	183	1000	FightSkillTianShan_16							1	0	0	1	0		折梅式：攻击姿态，增加命中	-1	0	1	1	
184	13	1000	FightSkillTianShan_9	g01_ts_zdo_renwowuxiang		身体受击点	g01_buff38		头顶状态点	0	1	1	0	0		兰花点穴手：封穴，移动不能，操作不能，可被攻击，无法被打醒	-1	0	1	1	
185	185	1000	FightSkillTianShan_12							1	0	0	1	0		融雪式：防御状态，怒气转换率增强，闪避增加	-1	0	1	1	
186	186	1000	FightSkillXiaoYao_2							1	0	0	0	0		放置陷阱	-1	0	1	1	
187	100	1000	FightSkillXiaoYao_4				g01_buff10		脚下光圈点	0	0	0	1	0		凌波微步：增加移动速度	-1	0	1	1	
188	11	1000	FightSkillXiaoYao_5		Skills\Xy\Xy_画地为牢_击中.wav		g01_xy_sf_zdo_画地为牢		脚下光圈点	0	1	1	0	0		画地为牢：围困，移动不能，操作不能，无敌状态，不可被攻击	-1	0	1	1	
189	189	1000	FightSkillXiaoYao_6	g01_xy_jq_zdo_黄金甲		身体受击点				0	0	0	1	0		云体风身：增加会心	-1	0	1	1	
190	190	1000	FightSkillXiaoYao_8							0	0	0	1	0		火眼金睛：加强侦测陷阱的能力	-1	0	1	1	
191	191	7500	FightSkillTianShan1_3							0	1	0	1	0		阳春白雪：免疫失明	-1	0	1	1	
192	192	1000	FightSkillXiaoYao_16							1	0	0	1	0		洛神图：攻击状态，陷阱附加灼烧效果	-1	0	1	1	
193	193	1000	FightSkillXiaoYao1_1				g01_xy_sf_zt_江行初雪		脚下光圈点	0	0	0	1	0		江行初雪：减少摆放诛仙阵陷阱的聚气时间	-1	0	1	1	
194	194	7500	FightSkillXiaoYao1_3							0	0	0	1	0		波澜不惊：免疫散功	-1	0	1	1	
195	21	8500	FightSkillXiaoYao1_4	g01_xy_sf_zdo_排山倒海		身体受击点	buff_sangong_01		脚下光圈点	0	0	0	1	0		惊涛骇浪：散功，无法使用门派技能	-1	0	1	1	
196	192	1000	FightSkillXiaoYao_12							1	0	0	1	0		大风歌：防御状态，怒气转换率增强，有几率使攻击目标进入僵硬状态，移动速度降低	-1	0	1	1	
197	197	7500	FightSkillDaLi1_3							0	0	0	1	0		非枯非荣：免疫散功、封穴	-1	0	1	1	
198	198	8500	FightSkillDaLi1_4				g01_buff115		头顶状态点	0	0	0	1	0		百步穿杨：技能必中	-1	0	1	1	
199	199	8700	FightSkillEMei1_2	g01_em_zd_jiuyingshehun		身体受击点	g01_em_buff40		头顶状态点	0	0	0	0	0		昭君出塞：标记，使目标被峨嵋派技能攻击所受伤害放大	-1	0	1	1	
200	200	1000	Buff5_2	g01_lidaitaojiang		身体受击点				0	0	0	1	0		心心相印：增加体力	-1	0	1	1	
201	201	1000	Buff5_3	g01_lidaitaojiang		身体受击点				0	0	0	1	0		不离不弃：增加攻击	-1	0	1	1	
202	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加外功防御	-1	0	1	1	
203	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加外功攻击	-1	0	1	1	
204	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加闪避	-1	0	1	1	
205	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加内功攻击	-1	0	1	1	
206	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加血上限	-1	0	1	1	
207	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加内功防御	-1	0	1	1	
208	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加命中	-1	0	1	1	
209	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加抗性	-1	0	1	1	
210	202	1000	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加会心	-1	0	1	1	
211	211	7500	Buff5_5							0	0	0	0	0		和平：无法攻击且对攻击免疫	-1	0	1	1	
212	212	1000	OtherTools2_14				g01_buff38		头顶状态点	0	0	0	0	0		困惑：无法攻击，无法移动，受到攻击不会苏醒	-1	0	1	1	
213	213	1000	FightSkillDaLi_5		Character\Npc\chess_boss_1.wav		g01_buff38		头顶状态点	0	0	0	0	0		封印：无法操作，可以被打醒	-1	0	1	1	
214	99	1000	MenpaiLiveSkill2_10							0	0	0	1	0		柳暗花明：隐身，移动速度减少20%，受到伤害或使用技能即会现身	-1	0	1	1	
215	1500	1000	Huodong_14							0	0	0	0	0		参加愚人节活动：增加体力、力量、灵气、定力、身法各5点。	-1	0	1	1	
