INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	类型(策划分类用)	名称$1$	描述$1$	逻辑类型(程序用)	等级	时间	注释	阅历值	称号来源	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	预留
121	7	商业巨头	商业龙头，富甲一方。	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
122	7	武林第N大帮	您的门派是武林第N大帮。	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
123	7	模范夫妻	知心爱人，夫妻典范！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
124	8	漕运商	初级漕运商人，漕运伊始，继续努力。	6	1	-1	漕运	1	漕运1次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
125	8	漕运走卒	二级漕运商人，漕运熟手，继续努力。	6	2	-1	漕运	1	漕运100次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
126	8	漕运押解官	三级漕运商人，漕运能手，再接再厉。	6	3	-1	漕运	1	漕运1000次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
127	8	漕运统领	四级漕运商人，漕运高手，再接再厉。	6	4	-1	漕运	1	漕运3000次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
128	8	漕运调度副使	五级漕运商人，漕运名人，再接再厉。	6	5	-1	漕运	1	漕运7500次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
129	8	漕运调度使	六级漕运商人，漕运权威，业界典范。	6	6	-1	漕运	1	漕运20000次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
130	8	漕运总提调	七级漕运商人，漕运神话，不朽传奇。	6	7	-1	漕运	1	漕运50000次获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
131	9	平贼士兵	杀贼勇猛，冲锋在前！	17	1	-1	贼兵入侵	1	杀反贼积分100分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	19	31	26	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
132	9	平贼队长	杀贼高手，无往不利！	17	2	-1	贼兵入侵	1	杀反贼积分500分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	19	64	26	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
133	9	平贼统领	杀贼精英，贼兵克星！	17	3	-1	贼兵入侵	1	杀反贼积分5000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	19	124	26	124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
134	9	荡寇将军	大将之才，荡平群贼！	17	4	-1	贼兵入侵	1	杀反贼积分30000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	19	183	26	183	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
135	9	荡寇元帅	元帅之才，荡平群贼！	17	5	-1	贼兵入侵	1	杀反贼积分65000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	19	369	26	369	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
136	10	比武大会状元	武艺超群，傲视天下。	18	3	168	比武大会	1	比武大会取得第一名。	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
137	10	比武大会榜眼	武功卓绝，天下第二。	18	2	168	比武大会	1	比武大会取得第二名。	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
138	10	比武大会探花	武林高手，天下第三。	18	1	168	比武大会	1	比武大会取得第三名。	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
139	11	科举状元	学识渊博，在科举考试中力压群儒！	5	3	168	科举	0	科举取得第一名。	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
140	11	科举榜眼	学识过人，在科举考试中获得第二！	5	2	168	科举	0	科举取得第二名。	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
141	11	科举探花	学识过人，在科举考试中获得第三！	5	1	168	科举	0	科举取得第三名。	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
142	12	少林侠士	少林初级男弟子。	21	1	-1	师门贡献	1	少林男弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
143	12	灰衣护法	少林中级男弟子。	21	2	-1	师门贡献	1	少林男弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
144	12	金身罗汉	少林高级男弟子。	21	3	-1	师门贡献	1	少林男弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
145	12	地藏菩萨	少林资深男弟子。	21	4	-1	师门贡献	1	少林男弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
146	12	少林侠女	少林初级女弟子。	21	1	-1	师门贡献	1	少林女弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
147	12	白衣侍者	少林中级女弟子。	21	2	-1	师门贡献	1	少林女弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
148	12	渡世观音	少林高级女弟子。	21	3	-1	师门贡献	1	少林女弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
149	12	迦蓝菩萨	少林资深女弟子。	21	4	-1	师门贡献	1	少林女弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
150	12	明教侠士	明教初级男弟子。	21	1	-1	师门贡献	1	明教男弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
151	12	侍火侠士	明教中级男弟子。	21	2	-1	师门贡献	1	明教男弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
152	12	护教法王	明教高级男弟子。	21	3	-1	师门贡献	1	明教男弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
153	12	光明神使	明教资深男弟子。	21	4	-1	师门贡献	1	明教男弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
154	12	明教侠女	明教初级女弟子。	21	1	-1	师门贡献	1	明教女弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
155	12	侍火侠女	明教中级女弟子。	21	2	-1	师门贡献	1	明教女弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
156	12	护教散人	明教高级女弟子。	21	3	-1	师门贡献	1	明教女弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
157	12	光明圣女	明教资深女弟子。	21	4	-1	师门贡献	1	明教女弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
158	12	丐帮侠士	丐帮初级男弟子。	21	1	-1	师门贡献	1	丐帮男弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
159	12	青莲弟子	丐帮中级男弟子。	21	2	-1	师门贡献	1	丐帮男弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
160	12	玄武长老	丐帮高级男弟子。	21	3	-1	师门贡献	1	丐帮男弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
161	12	掌棒龙头	丐帮资深男弟子。	21	4	-1	师门贡献	1	丐帮男弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
162	12	丐帮侠女	丐帮初级女弟子。	21	1	-1	师门贡献	1	丐帮女弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
163	12	白莲弟子	丐帮中级女弟子。	21	2	-1	师门贡献	1	丐帮女弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
164	12	朱雀长老	丐帮高级女弟子。	21	3	-1	师门贡献	1	丐帮女弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
165	12	掌钵龙女	丐帮资深女弟子。	21	4	-1	师门贡献	1	丐帮女弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
166	12	武当侠士	武当初级男弟子。	21	1	-1	师门贡献	1	武当男弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
167	12	青冥居士	武当中级男弟子。	21	2	-1	师门贡献	1	武当男弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
168	12	无为真人	武当高级男弟子。	21	3	-1	师门贡献	1	武当男弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
169	12	武当天尊	武当资深男弟子。	21	4	-1	师门贡献	1	武当男弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
170	12	武当侠女	武当初级女弟子。	21	1	-1	师门贡献	1	武当女弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
171	12	白云居士	武当中级女弟子。	21	2	-1	师门贡献	1	武当女弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
172	12	清静散人	武当高级女弟子。	21	3	-1	师门贡献	1	武当女弟子的师门贡献度达到2500给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
173	12	武当仙子	武当资深女弟子。	21	4	-1	师门贡献	1	武当女弟子的师门贡献度达到5000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
174	12	峨嵋侠士	峨嵋初级男弟子。	21	1	-1	师门贡献	1	峨嵋男弟子默认给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
175	12	清风居士	峨嵋中级男弟子。	21	2	-1	师门贡献	1	峨嵋男弟子的师门贡献度达到1000给予的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	
