INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	DataID	最高资质值范围	最高资质值范围	灵性加成1	灵性加成2	灵性加成3	灵性加成4	灵性加成5	灵性加成6	灵性加成7	灵性加成8	灵性加成9	灵性加成10	灵性等级0提升概率	灵性等级1提升概率	灵性等级2提升概率	灵性等级3提升概率	灵性等级4提升概率	灵性等级5提升概率	灵性等级6提升概率	灵性等级7提升概率	灵性等级8提升概率	灵性等级9提升概率
15	3021	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
16	3029	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
17	3029	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
18	3029	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
19	3031	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
20	3031	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
21	3031	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
22	3039	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
23	3039	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
24	3039	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
25	3041	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
26	3041	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
27	3041	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
28	3049	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
29	3049	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
30	3049	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
31	3051	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
32	3051	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
33	3051	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
34	3059	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
35	3059	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
36	3059	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
37	3061	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
38	3061	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
39	3061	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
40	3062	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
41	3062	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
42	3062	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
43	3069	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
44	3069	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
45	3069	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
46	3071	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
47	3071	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
48	3071	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
49	3072	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
50	3072	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
51	3072	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
52	3079	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
53	3079	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
54	3079	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
55	3081	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
56	3081	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
57	3081	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
58	3082	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
59	3082	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
60	3082	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
61	3089	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
62	3089	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
63	3089	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
64	3091	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
65	3091	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
66	3091	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
67	3092	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
68	3092	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
69	3092	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
70	3099	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
71	3099	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
72	3099	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
73	3101	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
74	3101	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
75	3101	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
76	3102	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
77	3102	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
78	3102	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
79	3109	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
80	3109	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
81	3109	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
82	3111	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
83	3111	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
84	3111	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
85	3112	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
86	3112	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
87	3112	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
88	3119	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
89	3119	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
90	3119	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
91	3121	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
92	3121	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
93	3121	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
94	3122	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
95	3122	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
96	3122	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
97	3129	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
98	3129	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
99	3129	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
100	3131	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
101	3131	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
102	3131	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
103	3132	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
104	3132	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
105	3132	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
106	3133	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
107	3133	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
108	3133	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
109	3139	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
110	3139	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
111	3139	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
112	3141	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
113	3141	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
114	3141	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
115	3142	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
116	3142	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
117	3142	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
118	3143	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
119	3143	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
120	3143	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
121	3149	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
122	3149	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
123	3149	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
124	3151	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
125	3151	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
126	3151	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
127	3152	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
128	3152	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
129	3152	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
130	3153	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
131	3153	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
132	3153	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
133	3159	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
134	3159	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
135	3159	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
136	3161	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
137	3161	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
138	3161	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
139	3162	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
140	3162	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
141	3162	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
142	3163	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
143	3163	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
144	3163	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
145	3169	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
146	3169	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
147	3169	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
148	3171	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
149	3171	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
150	3171	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
151	3172	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
152	3172	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
153	3172	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
154	3173	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
155	3173	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
156	3173	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
157	3174	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
158	3174	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
159	3174	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
160	3179	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
161	3179	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
162	3179	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
163	3181	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
164	3181	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
165	3181	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
166	3182	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
167	3182	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
168	3182	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
169	3183	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
170	3183	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
171	3183	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
172	3184	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
173	3184	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
174	3184	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
175	3189	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
176	3189	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
177	3189	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
178	3191	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
179	3191	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
180	3191	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
181	3192	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
182	3192	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
183	3192	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
184	3193	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
185	3193	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
186	3193	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
187	3194	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
188	3194	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
189	3194	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
190	3199	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
191	3199	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
192	3199	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
193	3201	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
194	3201	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
195	3201	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
196	3202	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
197	3202	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
198	3202	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
199	3203	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
200	3203	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
201	3203	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
202	3204	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
203	3204	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
204	3204	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
205	3209	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
206	3209	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
207	3209	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
208	3211	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
209	3211	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
210	3211	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
211	3212	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
212	3212	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
213	3212	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
214	3213	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
215	3213	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
216	3213	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
217	3214	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
218	3214	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
219	3214	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
220	3215	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
221	3215	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
222	3215	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
223	3219	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
224	3219	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
225	3219	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
226	3221	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
227	3221	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
228	3221	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
229	3222	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
230	3222	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
231	3222	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
232	3223	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
233	3223	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
234	3223	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
235	3224	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
236	3224	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
237	3224	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
238	3225	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
239	3225	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
240	3225	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
241	3229	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
242	3229	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
243	3229	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
244	3231	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
245	3231	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
246	3231	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
247	3232	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
248	3232	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
249	3232	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
250	3233	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
251	3233	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
252	3233	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
253	3234	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
254	3234	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
255	3234	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
256	3235	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
257	3235	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
258	3235	2200	9999	10	20	50	70	110	140	180	220	260	310	100	60	36	20	12	8	5	3	2	1	
259	3239	1	1800	10	20	30	40	50	60	70	80	90	100	100	60	36	20	12	8	5	3	2	1	
260	3239	1800	2200	10	20	40	60	90	100	130	160	190	230	100	60	36	20	12	8	5	3	2	1	
