INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
22	70500027	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500028	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G灵气+132#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
23	70500028	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500029	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G灵气+164#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
24	70500030	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500031	0	升级后整套的套装效果将提升为：#G外功防御+1312#W；#G内功防御+1312#W；#G血上限+2434#W；#G增加灵动技能对珍兽自己的生效几率（2星套装效果）#W。
25	70500031	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500032	1	升级后整套的套装效果将提升为：#G外功防御+1966#W；#G内功防御+1966#W；#G血上限+3650#W；#G增加灵动技能对珍兽自己的生效几率（3星套装效果）#W。
26	70500032	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500033	1	升级后整套的套装效果将提升为：#G外功防御+2622#W；#G内功防御+2622#W；#G血上限+4868#W；#G增加灵动技能对珍兽自己的生效几率（4星套装效果）#W。
27	70500033	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500034	1	升级后整套的套装效果将提升为：#G外功防御+3276#W；#G内功防御+3276#W；#G血上限+6084#W；#G增加灵动技能对珍兽自己的生效几率（5星套装效果）#W。
28	70500035	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500036	0	升级后整套的套装效果将提升为：#G身法+66#W；#G命中+1718#W；#G血上限+2434#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
29	70500036	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500037	1	升级后整套的套装效果将提升为：#G身法+98#W；#G命中+2576#W；#G血上限+3650#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
30	70500037	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500038	1	升级后整套的套装效果将提升为：#G身法+132#W；#G命中+3434#W；#G血上限+4868#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
31	70500038	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500039	1	升级后整套的套装效果将提升为：#G身法+164#W；#G命中+4292#W；#G血上限+6084#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
32	70500040	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500041	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G身法+66#W；#G血上限+2434#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
33	70500041	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500042	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G身法+98#W；#G血上限+3650#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
34	70500042	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500043	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G身法+132#W；#G血上限+4868#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
35	70500043	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500044	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G身法+164#W；#G血上限+6084#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
36	70500045	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500046	0	升级后整套的套装效果将提升为：#G外功攻击+1496#W；#G命中+1930#W；#G力量+74#W；#G增加猛击技能的释放几率（2星套装效果）#W。
37	70500046	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500047	1	升级后整套的套装效果将提升为：#G外功攻击+2244#W；#G命中+2894#W；#G力量+110#W；#G增加猛击技能的释放几率（3星套装效果）#W。
38	70500047	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500048	1	升级后整套的套装效果将提升为：#G外功攻击+2990#W；#G命中+3858#W；#G力量+148#W；#G增加猛击技能的释放几率（4星套装效果）#W。
39	70500048	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500049	1	升级后整套的套装效果将提升为：#G外功攻击+3738#W；#G命中+4822#W；#G力量+184#W；#G增加猛击技能的释放几率（5星套装效果）#W。
40	70500050	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500051	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G力量+74#W；#G增加反震技能对目标的生效几率（2星套装效果）#W。
41	70500051	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500052	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G力量+110#W；#G增加反震技能对目标的生效几率（3星套装效果）#W。
42	70500052	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500053	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G力量+148#W；#G增加反震技能对目标的生效几率（4星套装效果）#W。
43	70500053	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500054	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G力量+184#W；#G增加反震技能对目标的生效几率（5星套装效果）#W。
44	70500055	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500056	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G力量+74#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
45	70500056	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500057	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G力量+110#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
46	70500057	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500058	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G力量+148#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
47	70500058	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500059	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G力量+184#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
48	70500060	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500061	0	升级后整套的套装效果将提升为：#G内功攻击+1496#W；#G命中+1930#W；#G灵气+74#W；#G痛击技能释放时额外增加内功攻击（2星套装效果）#W。
49	70500061	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500062	1	升级后整套的套装效果将提升为：#G内功攻击+2244#W；#G命中+2894#W；#G灵气+110#W；#G痛击技能释放时额外增加内功攻击（3星套装效果）#W。
50	70500062	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500063	1	升级后整套的套装效果将提升为：#G内功攻击+2990#W；#G命中+3858#W；#G灵气+148#W；#G痛击技能释放时额外增加内功攻击（4星套装效果）#W。
51	70500063	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500064	1	升级后整套的套装效果将提升为：#G内功攻击+3738#W；#G命中+4822#W；#G灵气+184#W；#G痛击技能释放时额外增加内功攻击（5星套装效果）#W。
52	70500065	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500066	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G灵气+74#W；#G增加反震技能对目标的生效几率（2星套装效果）#W。
53	70500066	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500067	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G灵气+110#W；#G增加反震技能对目标的生效几率（3星套装效果）#W。
54	70500067	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500068	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G灵气+148#W；#G增加反震技能对目标的生效几率（4星套装效果）#W。
55	70500068	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500069	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G灵气+184#W；#G增加反震技能对目标的生效几率（5星套装效果）#W。
56	70500070	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500071	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G灵气+74#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
57	70500071	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500072	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G灵气+110#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
58	70500072	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500073	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G灵气+148#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
59	70500073	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500074	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G灵气+184#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
60	70500075	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500076	0	升级后整套的套装效果将提升为：#G外功防御+1476#W；#G内功防御+1476#W；#G血上限+2746#W；#G增加忠心技能对玩家的生效几率（2星套装效果）#W。
61	70500076	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500077	1	升级后整套的套装效果将提升为：#G外功防御+2214#W；#G内功防御+2214#W；#G血上限+4118#W；#G增加忠心技能对玩家的生效几率（3星套装效果）#W。
62	70500077	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500078	1	升级后整套的套装效果将提升为：#G外功防御+2952#W；#G内功防御+2952#W；#G血上限+5490#W；#G增加忠心技能对玩家的生效几率（4星套装效果）#W。
63	70500078	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500079	1	升级后整套的套装效果将提升为：#G外功防御+3690#W；#G内功防御+3690#W；#G血上限+6862#W；#G增加忠心技能对玩家的生效几率（5星套装效果）#W。
64	70500080	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500081	0	升级后整套的套装效果将提升为：#G身法+74#W；#G命中+1930#W；#G血上限+2746#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
65	70500081	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500082	1	升级后整套的套装效果将提升为：#G身法+110#W；#G命中+2894#W；#G血上限+4118#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
66	70500082	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500083	1	升级后整套的套装效果将提升为：#G身法+148#W；#G命中+3858#W；#G血上限+5490#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
67	70500083	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500084	1	升级后整套的套装效果将提升为：#G身法+184#W；#G命中+4822#W；#G血上限+6862#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
68	70500085	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500086	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G身法+74#W；#G血上限+2746#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
69	70500086	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500087	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G身法+110#W；#G血上限+4118#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
70	70500087	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500088	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G身法+148#W；#G血上限+5490#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
71	70500088	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500089	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G身法+184#W；#G血上限+6862#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
72	70500090	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500091	0	升级后整套的套装效果将提升为：#G外功攻击+1664#W；#G命中+2142#W；#G力量+82#W；#G增加连击技能的释放几率（2星套装效果）#W。
73	70500091	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500092	1	升级后整套的套装效果将提升为：#G外功攻击+2496#W；#G命中+3212#W；#G力量+122#W；#G增加连击技能的释放几率（3星套装效果）#W。
74	70500092	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500093	1	升级后整套的套装效果将提升为：#G外功攻击+3326#W；#G命中+4282#W；#G力量+164#W；#G增加连击技能的释放几率（4星套装效果）#W。
75	70500093	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500094	1	升级后整套的套装效果将提升为：#G外功攻击+4158#W；#G命中+5352#W；#G力量+204#W；#G增加连击技能的释放几率（5星套装效果）#W。
76	70500095	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500096	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G力量+82#W；#G增加反击技能对目标的生效几率（2星套装效果）#W。
77	70500096	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500097	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G力量+122#W；#G增加反击技能对目标的生效几率（3星套装效果）#W。
78	70500097	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500098	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G力量+164#W；#G增加反击技能对目标的生效几率（4星套装效果）#W。
79	70500098	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500099	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G力量+204#W；#G增加反击技能对目标的生效几率（5星套装效果）#W。
80	70500100	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500101	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G力量+82#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
81	70500101	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500102	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G力量+122#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
82	70500102	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500103	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G力量+164#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
83	70500103	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500104	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G力量+204#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
84	70500105	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500106	0	升级后整套的套装效果将提升为：#G内功攻击+1664#W；#G命中+2142#W；#G灵气+82#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（2星套装效果）#W。
85	70500106	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500107	1	升级后整套的套装效果将提升为：#G内功攻击+2496#W；#G命中+3212#W；#G灵气+122#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（3星套装效果）#W。
86	70500107	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500108	1	升级后整套的套装效果将提升为：#G内功攻击+3326#W；#G命中+4282#W；#G灵气+164#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（4星套装效果）#W。
87	70500108	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500109	1	升级后整套的套装效果将提升为：#G内功攻击+4158#W；#G命中+5352#W；#G灵气+204#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（5星套装效果）#W。
88	70500110	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500111	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G灵气+82#W；#G增加反击技能对目标的生效几率（2星套装效果）#W。
89	70500111	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500112	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G灵气+122#W；#G增加反击技能对目标的生效几率（3星套装效果）#W。
90	70500112	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500113	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G灵气+164#W；#G增加反击技能对目标的生效几率（4星套装效果）#W。
91	70500113	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500114	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G灵气+204#W；#G增加反击技能对目标的生效几率（5星套装效果）#W。
92	70500115	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500116	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G灵气+82#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
93	70500116	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500117	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G灵气+122#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
94	70500117	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500118	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G灵气+164#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
95	70500118	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500119	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G灵气+204#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
96	70500120	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500121	0	升级后整套的套装效果将提升为：#G外功防御+1642#W；#G内功防御+1642#W；#G血上限+3056#W；#G增加灵气技能对玩家的生效几率（2星套装效果）#W。
97	70500121	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500122	1	升级后整套的套装效果将提升为：#G外功防御+2464#W；#G内功防御+2464#W；#G血上限+4584#W；#G增加灵气技能对玩家的生效几率（3星套装效果）#W。
98	70500122	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500123	1	升级后整套的套装效果将提升为：#G外功防御+3284#W；#G内功防御+3284#W；#G血上限+6112#W；#G增加灵气技能对玩家的生效几率（4星套装效果）#W。
99	70500123	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500124	1	升级后整套的套装效果将提升为：#G外功防御+4106#W；#G内功防御+4106#W；#G血上限+7640#W；#G增加灵气技能对玩家的生效几率（5星套装效果）#W。
100	70500125	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500126	0	升级后整套的套装效果将提升为：#G身法+82#W；#G命中+2142#W；#G血上限+3056#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
