INT	INT	INT	INT	INT
nIndex	旧外观ID	幻化外观	金币	预留数据
3242	3242	-1	700000	0	
3243	3243	-1	700000	0	
3244	3244	-1	700000	0	
3245	3245	-1	700000	0	
3249	3249	-1	700000	0	
3251	3251	-1	800000	0	
3252	3252	-1	800000	0	
3253	3253	-1	800000	0	
3254	3254	-1	800000	0	
3255	3255	-1	800000	0	
3256	3256	-1	800000	0	
3259	3259	-1	800000	0	
3261	3261	-1	800000	0	
3262	3262	-1	800000	0	
3263	3263	-1	800000	0	
3264	3264	-1	800000	0	
3265	3265	-1	800000	0	
3266	3266	-1	800000	0	
3269	3269	-1	800000	0	
3271	3271	-1	800000	0	
3272	3272	-1	800000	0	
3273	3273	-1	800000	0	
3274	3274	-1	800000	0	
3275	3275	-1	800000	0	
3276	3276	-1	800000	0	
3279	3279	-1	800000	0	
3281	3281	-1	800000	0	
3282	3282	-1	800000	0	
3283	3283	-1	800000	0	
3284	3284	-1	800000	0	
3285	3285	-1	800000	0	
3286	3286	-1	800000	0	
3289	3289	-1	800000	0	
3291	3291	25001	990000	0	
3292	3292	25001	990000	0	
3293	3293	25001	990000	0	
3294	3294	25001	990000	0	
3295	3295	25001	990000	0	
3296	3296	25001	990000	0	
3297	3297	25001	990000	0	
3299	3299	25001	990000	0	
3301	3301	25011	990000	0	
3302	3302	25011	990000	0	
3303	3303	25011	990000	0	
3304	3304	25011	990000	0	
3305	3305	25011	990000	0	
3306	3306	25011	990000	0	
3307	3307	25011	990000	0	
3309	3309	25011	990000	0	
3311	3311	25021	990000	0	
3312	3312	25021	990000	0	
3313	3313	25021	990000	0	
3314	3314	25021	990000	0	
3315	3315	25021	990000	0	
3316	3316	25021	990000	0	
3317	3317	25021	990000	0	
3319	3319	25021	990000	0	
3321	3321	25031	990000	0	
3322	3322	25031	990000	0	
3323	3323	25031	990000	0	
3324	3324	25031	990000	0	
3325	3325	25031	990000	0	
3326	3326	25031	990000	0	
3327	3327	25031	990000	0	
3329	3329	25031	990000	0	
3331	3331	25351	990000	0	
3332	3332	25351	990000	0	
3333	3333	25351	990000	0	
3334	3334	25351	990000	0	
3335	3335	25351	990000	0	
3336	3336	25351	990000	0	
3337	3337	25351	990000	0	
3338	3338	25351	990000	0	
3339	3339	25351	990000	0	
3341	3341	25361	990000	0	
3342	3342	25361	990000	0	
3343	3343	25361	990000	0	
3344	3344	25361	990000	0	
3345	3345	25361	990000	0	
3346	3346	25361	990000	0	
3347	3347	25361	990000	0	
3348	3348	25361	990000	0	
3349	3349	25361	990000	0	
3351	3351	-1	300000	0	
3352	3352	-1	300000	0	
3359	3359	-1	300000	0	
3361	3361	-1	100000	0	
3362	3362	-1	100000	0	
3369	3369	-1	100000	0	
3371	3371	-1	100000	0	
3372	3372	-1	100000	0	
3379	3379	-1	100000	0	
3381	3381	-1	100000	0	
3382	3382	-1	100000	0	
3389	3389	-1	100000	0	
3391	3391	-1	100000	0	
3392	3392	-1	100000	0	
3399	3399	-1	100000	0	
3401	3401	-1	100000	0	
3402	3402	-1	100000	0	
3409	3409	-1	100000	0	
3411	3411	-1	100000	0	
3412	3412	-1	100000	0	
3419	3419	-1	100000	0	
3421	3421	-1	100000	0	
3422	3422	-1	100000	0	
3429	3429	-1	100000	0	
3431	3431	-1	800000	0	
3432	3432	-1	800000	0	
3433	3433	-1	800000	0	
3434	3434	-1	800000	0	
3435	3435	-1	800000	0	
3436	3436	-1	800000	0	
3439	3439	-1	800000	0	
3441	3441	-1	100000	0	
3442	3442	-1	100000	0	
3449	3449	-1	100000	0	
3451	3451	-1	100000	0	
3459	3459	-1	100000	0	
3461	3461	-1	100000	0	
3469	3469	-1	100000	0	
3471	3471	-1	800000	0	
3472	3472	-1	800000	0	
3473	3473	-1	800000	0	
3474	3474	-1	800000	0	
3475	3475	-1	800000	0	
3476	3476	-1	800000	0	
3479	3479	-1	800000	0	
3481	3481	-1	100000	0	
3489	3489	-1	100000	0	
3491	3491	-1	100000	0	
3492	3492	-1	100000	0	
3499	3499	-1	100000	0	
4216	4216	-1	400000	0	
6001	6001	-1	700000	0	
6002	6002	-1	700000	0	
6003	6003	-1	700000	0	
6004	6004	-1	700000	0	
6005	6005	-1	700000	0	
6009	6009	-1	700000	0	
6011	6011	-1	100000	0	
6012	6012	-1	100000	0	
6019	6019	-1	100000	0	
6021	6021	-1	500000	0	
6022	6022	-1	500000	0	
6023	6023	-1	500000	0	
6029	6029	-1	500000	0	
6031	6031	-1	600000	0	
6032	6032	-1	600000	0	
6033	6033	-1	600000	0	
6034	6034	-1	600000	0	
6039	6039	-1	600000	0	
6041	6041	-1	700000	0	
6042	6042	-1	700000	0	
6043	6043	-1	700000	0	
6044	6044	-1	700000	0	
6045	6045	-1	700000	0	
6049	6049	-1	700000	0	
6051	6051	-1	800000	0	
6052	6052	-1	800000	0	
6053	6053	-1	800000	0	
6054	6054	-1	800000	0	
6055	6055	-1	800000	0	
6056	6056	-1	800000	0	
6059	6059	-1	800000	0	
6061	6061	-1	100000	0	
6062	6062	-1	100000	0	
6069	6069	-1	100000	0	
6071	6071	-1	500000	0	
6072	6072	-1	500000	0	
6073	6073	-1	500000	0	
6079	6079	-1	500000	0	
6081	6081	-1	600000	0	
6082	6082	-1	600000	0	
6083	6083	-1	600000	0	
6084	6084	-1	600000	0	
6089	6089	-1	600000	0	
6091	6091	-1	700000	0	
6092	6092	-1	700000	0	
6093	6093	-1	700000	0	
6094	6094	-1	700000	0	
6095	6095	-1	700000	0	
6099	6099	-1	700000	0	
6101	6101	-1	800000	0	
6102	6102	-1	800000	0	
6103	6103	-1	800000	0	
6104	6104	-1	800000	0	
6105	6105	-1	800000	0	
6106	6106	-1	800000	0	
6109	6109	-1	800000	0	
6111	6111	-1	100000	0	
6112	6112	-1	100000	0	
6119	6119	-1	100000	0	
6121	6121	-1	500000	0	
6122	6122	-1	500000	0	
6123	6123	-1	500000	0	
6129	6129	-1	500000	0	
6131	6131	-1	600000	0	
6132	6132	-1	600000	0	
6133	6133	-1	600000	0	
6134	6134	-1	600000	0	
6139	6139	-1	600000	0	
6141	6141	-1	700000	0	
6142	6142	-1	700000	0	
6143	6143	-1	700000	0	
6144	6144	-1	700000	0	
6145	6145	-1	700000	0	
6149	6149	-1	700000	0	
6151	6151	-1	800000	0	
6152	6152	-1	800000	0	
6153	6153	-1	800000	0	
6154	6154	-1	800000	0	
6155	6155	-1	800000	0	
6156	6156	-1	800000	0	
6159	6159	-1	800000	0	
6161	6161	-1	100000	0	
6162	6162	-1	100000	0	
6169	6169	-1	100000	0	
6171	6171	-1	500000	0	
6172	6172	-1	500000	0	
6173	6173	-1	500000	0	
6179	6179	-1	500000	0	
6181	6181	-1	600000	0	
6182	6182	-1	600000	0	
6183	6183	-1	600000	0	
6184	6184	-1	600000	0	
6189	6189	-1	600000	0	
6191	6191	-1	700000	0	
6192	6192	-1	700000	0	
6193	6193	-1	700000	0	
6194	6194	-1	700000	0	
6195	6195	-1	700000	0	
6199	6199	-1	700000	0	
6201	6201	-1	800000	0	
6202	6202	-1	800000	0	
6203	6203	-1	800000	0	
6204	6204	-1	800000	0	
6205	6205	-1	800000	0	
6206	6206	-1	800000	0	
6209	6209	-1	800000	0	
6211	6211	-1	100000	0	
6212	6212	-1	100000	0	
6219	6219	-1	100000	0	
6221	6221	-1	500000	0	
6222	6222	-1	500000	0	
6223	6223	-1	500000	0	
6229	6229	-1	500000	0	
6231	6231	-1	600000	0	
6232	6232	-1	600000	0	
6233	6233	-1	600000	0	
6234	6234	-1	600000	0	
6239	6239	-1	600000	0	
6241	6241	-1	700000	0	
6242	6242	-1	700000	0	
6243	6243	-1	700000	0	
6244	6244	-1	700000	0	
6245	6245	-1	700000	0	
6249	6249	-1	700000	0	
6251	6251	-1	800000	0	
6252	6252	-1	800000	0	
6253	6253	-1	800000	0	
6254	6254	-1	800000	0	
6255	6255	-1	800000	0	
6256	6256	-1	800000	0	
6259	6259	-1	800000	0	
6261	6261	-1	100000	0	
6262	6262	-1	100000	0	
6269	6269	-1	100000	0	
6271	6271	-1	500000	0	
6272	6272	-1	500000	0	
6273	6273	-1	500000	0	
6279	6279	-1	500000	0	
6281	6281	-1	600000	0	
6282	6282	-1	600000	0	
6283	6283	-1	600000	0	
6284	6284	-1	600000	0	
6289	6289	-1	600000	0	
6291	6291	-1	700000	0	
6292	6292	-1	700000	0	
6293	6293	-1	700000	0	
6294	6294	-1	700000	0	
6295	6295	-1	700000	0	
6299	6299	-1	700000	0	
6301	6301	-1	800000	0	
6302	6302	-1	800000	0	
6303	6303	-1	800000	0	
6304	6304	-1	800000	0	
6305	6305	-1	800000	0	
6306	6306	-1	800000	0	
6309	6309	-1	800000	0	
6311	6311	-1	100000	0	
6312	6312	-1	100000	0	
6319	6319	-1	100000	0	
6321	6321	-1	500000	0	
6322	6322	-1	500000	0	
6323	6323	-1	500000	0	
6329	6329	-1	500000	0	
6331	6331	-1	600000	0	
6332	6332	-1	600000	0	
6333	6333	-1	600000	0	
6334	6334	-1	600000	0	
6339	6339	-1	600000	0	
6341	6341	-1	700000	0	
6342	6342	-1	700000	0	
6343	6343	-1	700000	0	
6344	6344	-1	700000	0	
6345	6345	-1	700000	0	
6349	6349	-1	700000	0	
6351	6351	-1	800000	0	
6352	6352	-1	800000	0	
6353	6353	-1	800000	0	
6354	6354	-1	800000	0	
6355	6355	-1	800000	0	
6356	6356	-1	800000	0	
6359	6359	-1	800000	0	
6361	6361	-1	100000	0	
6362	6362	-1	100000	0	
6369	6369	-1	100000	0	
6371	6371	-1	500000	0	
6372	6372	-1	500000	0	
6373	6373	-1	500000	0	
6379	6379	-1	500000	0	
6381	6381	-1	600000	0	
6382	6382	-1	600000	0	
6383	6383	-1	600000	0	
6384	6384	-1	600000	0	
6389	6389	-1	600000	0	
6391	6391	-1	700000	0	
6392	6392	-1	700000	0	
6393	6393	-1	700000	0	
6394	6394	-1	700000	0	
6395	6395	-1	700000	0	
6399	6399	-1	700000	0	
6401	6401	-1	800000	0	
6402	6402	-1	800000	0	
6403	6403	-1	800000	0	
6404	6404	-1	800000	0	
6405	6405	-1	800000	0	
6406	6406	-1	800000	0	
6409	6409	-1	800000	0	
6411	6411	-1	100000	0	
6412	6412	-1	100000	0	
6419	6419	-1	100000	0	
6421	6421	-1	500000	0	
6422	6422	-1	500000	0	
6423	6423	-1	500000	0	
6429	6429	-1	500000	0	
6431	6431	-1	600000	0	
6432	6432	-1	600000	0	
6433	6433	-1	600000	0	
6434	6434	-1	600000	0	
6439	6439	-1	600000	0	
6441	6441	-1	700000	0	
6442	6442	-1	700000	0	
6443	6443	-1	700000	0	
6444	6444	-1	700000	0	
6445	6445	-1	700000	0	
6449	6449	-1	700000	0	
6451	6451	-1	800000	0	
6452	6452	-1	800000	0	
6453	6453	-1	800000	0	
6454	6454	-1	800000	0	
6455	6455	-1	800000	0	
6456	6456	-1	800000	0	
6459	6459	-1	800000	0	
6461	6461	-1	100000	0	
6462	6462	-1	100000	0	
6469	6469	-1	100000	0	
6471	6471	-1	500000	0	
6472	6472	-1	500000	0	
6473	6473	-1	500000	0	
6479	6479	-1	500000	0	
6481	6481	-1	600000	0	
6482	6482	-1	600000	0	
6483	6483	-1	600000	0	
6484	6484	-1	600000	0	
6489	6489	-1	600000	0	
6491	6491	-1	700000	0	
6492	6492	-1	700000	0	
6493	6493	-1	700000	0	
6494	6494	-1	700000	0	
6495	6495	-1	700000	0	
6499	6499	-1	700000	0	
6501	6501	-1	800000	0	
6502	6502	-1	800000	0	
6503	6503	-1	800000	0	
6504	6504	-1	800000	0	
6505	6505	-1	800000	0	
6506	6506	-1	800000	0	
6509	6509	-1	800000	0	
6511	6511	-1	100000	0	
6512	6512	-1	100000	0	
6519	6519	-1	100000	0	
6521	6521	-1	500000	0	
6522	6522	-1	500000	0	
6523	6523	-1	500000	0	
6529	6529	-1	500000	0	
6531	6531	-1	600000	0	
6532	6532	-1	600000	0	
6533	6533	-1	600000	0	
6534	6534	-1	600000	0	
6539	6539	-1	600000	0	
6541	6541	-1	700000	0	
6542	6542	-1	700000	0	
6543	6543	-1	700000	0	
6544	6544	-1	700000	0	
6545	6545	-1	700000	0	
6549	6549	-1	700000	0	
6551	6551	-1	800000	0	
6552	6552	-1	800000	0	
6553	6553	-1	800000	0	
6554	6554	-1	800000	0	
6555	6555	-1	800000	0	
6556	6556	-1	800000	0	
6559	6559	-1	800000	0	
6561	6561	-1	700000	0	
6562	6562	-1	700000	0	
6563	6563	-1	700000	0	
6564	6564	-1	700000	0	
6565	6565	-1	700000	0	
6569	6569	-1	700000	0	
6571	6571	-1	500000	0	
6572	6572	-1	500000	0	
6573	6573	-1	500000	0	
6579	6579	-1	500000	0	
6581	6581	-1	600000	0	
6582	6582	-1	600000	0	
6583	6583	-1	600000	0	
6584	6584	-1	600000	0	
6589	6589	-1	600000	0	
6591	6591	-1	700000	0	
6592	6592	-1	700000	0	
6593	6593	-1	700000	0	
6594	6594	-1	700000	0	
6595	6595	-1	700000	0	
6599	6599	-1	700000	0	
6601	6601	-1	600000	0	
6602	6602	-1	600000	0	
6603	6603	-1	600000	0	
6604	6604	-1	600000	0	
6609	6609	-1	600000	0	
6611	6611	-1	800000	0	
6612	6612	-1	800000	0	
6613	6613	-1	800000	0	
6614	6614	-1	800000	0	
6615	6615	-1	800000	0	
6616	6616	-1	800000	0	
6619	6619	-1	800000	0	
6621	6621	-1	700000	0	
6622	6622	-1	700000	0	
6623	6623	-1	700000	0	
6624	6624	-1	700000	0	
6625	6625	-1	700000	0	
6629	6629	-1	700000	0	
6631	6631	-1	800000	0	
6632	6632	-1	800000	0	
6633	6633	-1	800000	0	
6634	6634	-1	800000	0	
6635	6635	-1	800000	0	
6636	6636	-1	800000	0	
6639	6639	-1	800000	0	
6641	6641	-1	100000	0	
6642	6642	-1	100000	0	
6649	6649	-1	100000	0	
6651	6651	-1	500000	0	
6652	6652	-1	500000	0	
6653	6653	-1	500000	0	
6659	6659	-1	500000	0	
6661	6661	-1	600000	0	
6662	6662	-1	600000	0	
6663	6663	-1	600000	0	
6664	6664	-1	600000	0	
6669	6669	-1	600000	0	
6671	6671	-1	700000	0	
6672	6672	-1	700000	0	
6673	6673	-1	700000	0	
6674	6674	-1	700000	0	
6675	6675	-1	700000	0	
6679	6679	-1	700000	0	
6681	6681	-1	500000	0	
6682	6682	-1	500000	0	
6683	6683	-1	500000	0	
6689	6689	-1	500000	0	
6691	6691	-1	600000	0	
6692	6692	-1	600000	0	
6693	6693	-1	600000	0	
6694	6694	-1	600000	0	
6699	6699	-1	600000	0	
6701	6701	-1	700000	0	
6702	6702	-1	700000	0	
6703	6703	-1	700000	0	
6704	6704	-1	700000	0	
6705	6705	-1	700000	0	
6709	6709	-1	700000	0	
6711	6711	-1	800000	0	
6712	6712	-1	800000	0	
6713	6713	-1	800000	0	
6714	6714	-1	800000	0	
6715	6715	-1	800000	0	
6716	6716	-1	800000	0	
6719	6719	-1	800000	0	
6721	6721	-1	500000	0	
6722	6722	-1	500000	0	
6723	6723	-1	500000	0	
6729	6729	-1	500000	0	
6731	6731	-1	100000	0	
6732	6732	-1	100000	0	
6739	6739	-1	100000	0	
6741	6741	-1	500000	0	
6742	6742	-1	500000	0	
6743	6743	-1	500000	0	
6749	6749	-1	500000	0	
6751	6751	-1	600000	0	
6752	6752	-1	600000	0	
6753	6753	-1	600000	0	
6754	6754	-1	600000	0	
6759	6759	-1	600000	0	
6761	6761	-1	700000	0	
6762	6762	-1	700000	0	
6763	6763	-1	700000	0	
6764	6764	-1	700000	0	
6765	6765	-1	700000	0	
6769	6769	-1	700000	0	
6771	6771	-1	800000	0	
6772	6772	-1	800000	0	
6773	6773	-1	800000	0	
6774	6774	-1	800000	0	
6775	6775	-1	800000	0	
6776	6776	-1	800000	0	
6779	6779	-1	800000	0	
6781	6781	31411	990000	0	
6782	6782	31411	990000	0	
6783	6783	31411	990000	0	
6784	6784	31411	990000	0	
6785	6785	31411	990000	0	
6786	6786	31411	990000	0	
6787	6787	31411	990000	0	
6789	6789	31411	990000	0	
6791	6791	31441	990000	0	
6792	6792	31441	990000	0	
6793	6793	31441	990000	0	
6794	6794	31441	990000	0	
6795	6795	31441	990000	0	
6796	6796	31441	990000	0	
6797	6797	31441	990000	0	
6798	6798	31441	990000	0	
6799	6799	31441	990000	0	
7501	7501	-1	100000	0	
7502	7502	-1	100000	0	
7509	7509	-1	100000	0	
7511	7511	-1	500000	0	
7512	7512	-1	500000	0	
7513	7513	-1	500000	0	
7519	7519	-1	500000	0	
7521	7521	-1	600000	0	
7522	7522	-1	600000	0	
7523	7523	-1	600000	0	
7524	7524	-1	600000	0	
7529	7529	-1	600000	0	
7531	7531	-1	700000	0	
7532	7532	-1	700000	0	
7533	7533	-1	700000	0	
7534	7534	-1	700000	0	
7535	7535	-1	700000	0	
7539	7539	-1	700000	0	
7541	7541	-1	800000	0	
7542	7542	-1	800000	0	
7543	7543	-1	800000	0	
7544	7544	-1	800000	0	
7545	7545	-1	800000	0	
7546	7546	-1	800000	0	
7549	7549	-1	800000	0	
7551	7551	25041	990000	0	
7552	7552	25041	990000	0	
7553	7553	25041	990000	0	
7554	7554	25041	990000	0	
7555	7555	25041	990000	0	
7556	7556	25041	990000	0	
7557	7557	25041	990000	0	
7559	7559	25041	990000	0	
7561	7561	25371	990000	0	
7562	7562	25371	990000	0	
7563	7563	25371	990000	0	
7564	7564	25371	990000	0	
7565	7565	25371	990000	0	
7566	7566	25371	990000	0	
7567	7567	25371	990000	0	
7568	7568	25371	990000	0	
7569	7569	25371	990000	0	
7571	7571	-1	100000	0	
7572	7572	-1	100000	0	
7579	7579	-1	100000	0	
7581	7581	-1	500000	0	
7582	7582	-1	500000	0	
7583	7583	-1	500000	0	
7589	7589	-1	500000	0	
7591	7591	-1	600000	0	
7592	7592	-1	600000	0	
7593	7593	-1	600000	0	
7594	7594	-1	600000	0	
7599	7599	-1	600000	0	
7601	7601	-1	700000	0	
7602	7602	-1	700000	0	
7603	7603	-1	700000	0	
7604	7604	-1	700000	0	
7605	7605	-1	700000	0	
7609	7609	-1	700000	0	
7611	7611	-1	800000	0	
7612	7612	-1	800000	0	
7613	7613	-1	800000	0	
7614	7614	-1	800000	0	
7615	7615	-1	800000	0	
7616	7616	-1	800000	0	
7619	7619	-1	800000	0	
7621	7621	25051	990000	0	
7622	7622	25051	990000	0	
7623	7623	25051	990000	0	
7624	7624	25051	990000	0	
7625	7625	25051	990000	0	
7626	7626	25051	990000	0	
7627	7627	25051	990000	0	
7629	7629	25051	990000	0	
7631	7631	25381	990000	0	
7632	7632	25381	990000	0	
7633	7633	25381	990000	0	
7634	7634	25381	990000	0	
7635	7635	25381	990000	0	
7636	7636	25381	990000	0	
7637	7637	25381	990000	0	
7638	7638	25381	990000	0	
7639	7639	25381	990000	0	
7641	7641	-1	100000	0	
7642	7642	-1	100000	0	
7649	7649	-1	100000	0	
7651	7651	-1	500000	0	
7652	7652	-1	500000	0	
7653	7653	-1	500000	0	
7659	7659	-1	500000	0	
7661	7661	-1	600000	0	
7662	7662	-1	600000	0	
7663	7663	-1	600000	0	
7664	7664	-1	600000	0	
7669	7669	-1	600000	0	
7671	7671	-1	700000	0	
7672	7672	-1	700000	0	
7673	7673	-1	700000	0	
7674	7674	-1	700000	0	
7675	7675	-1	700000	0	
7679	7679	-1	700000	0	
7681	7681	-1	800000	0	
7682	7682	-1	800000	0	
7683	7683	-1	800000	0	
7684	7684	-1	800000	0	
7685	7685	-1	800000	0	
7686	7686	-1	800000	0	
7689	7689	-1	800000	0	
7691	7691	25061	990000	0	
7692	7692	25061	990000	0	
7693	7693	25061	990000	0	
7694	7694	25061	990000	0	
7695	7695	25061	990000	0	
7696	7696	25061	990000	0	
7697	7697	25061	990000	0	
7699	7699	25061	990000	0	
7701	7701	25391	990000	0	
7702	7702	25391	990000	0	
7703	7703	25391	990000	0	
7704	7704	25391	990000	0	
7705	7705	25391	990000	0	
7706	7706	25391	990000	0	
7707	7707	25391	990000	0	
7708	7708	25391	990000	0	
7709	7709	25391	990000	0	
7711	7711	-1	100000	0	
7712	7712	-1	100000	0	
7719	7719	-1	100000	0	
7721	7721	-1	500000	0	
7722	7722	-1	500000	0	
7723	7723	-1	500000	0	
7729	7729	-1	500000	0	
7731	7731	-1	600000	0	
7732	7732	-1	600000	0	
7733	7733	-1	600000	0	
7734	7734	-1	600000	0	
7739	7739	-1	600000	0	
7741	7741	-1	700000	0	
7742	7742	-1	700000	0	
7743	7743	-1	700000	0	
7744	7744	-1	700000	0	
7745	7745	-1	700000	0	
7749	7749	-1	700000	0	
7751	7751	-1	800000	0	
7752	7752	-1	800000	0	
7753	7753	-1	800000	0	
7754	7754	-1	800000	0	
7755	7755	-1	800000	0	
7756	7756	-1	800000	0	
7759	7759	-1	800000	0	
7761	7761	25071	990000	0	
7762	7762	25071	990000	0	
7763	7763	25071	990000	0	
7764	7764	25071	990000	0	
7765	7765	25071	990000	0	
7766	7766	25071	990000	0	
7767	7767	25071	990000	0	
7769	7769	25071	990000	0	
7771	7771	25401	990000	0	
7772	7772	25401	990000	0	
7773	7773	25401	990000	0	
7774	7774	25401	990000	0	
7775	7775	25401	990000	0	
7776	7776	25401	990000	0	
7777	7777	25401	990000	0	
7778	7778	25401	990000	0	
7779	7779	25401	990000	0	
7781	7781	-1	100000	0	
7782	7782	-1	100000	0	
7789	7789	-1	100000	0	
7791	7791	-1	500000	0	
7792	7792	-1	500000	0	
7793	7793	-1	500000	0	
7799	7799	-1	500000	0	
7801	7801	-1	600000	0	
7802	7802	-1	600000	0	
7803	7803	-1	600000	0	
7804	7804	-1	600000	0	
7809	7809	-1	600000	0	
7811	7811	-1	700000	0	
7812	7812	-1	700000	0	
7813	7813	-1	700000	0	
7814	7814	-1	700000	0	
7815	7815	-1	700000	0	
7819	7819	-1	700000	0	
7821	7821	-1	800000	0	
7822	7822	-1	800000	0	
7823	7823	-1	800000	0	
7824	7824	-1	800000	0	
7825	7825	-1	800000	0	
7826	7826	-1	800000	0	
7829	7829	-1	800000	0	
7831	7831	25081	990000	0	
7832	7832	25081	990000	0	
7833	7833	25081	990000	0	
7834	7834	25081	990000	0	
7835	7835	25081	990000	0	
7836	7836	25081	990000	0	
7837	7837	25081	990000	0	
7839	7839	25081	990000	0	
7841	7841	25411	990000	0	
7842	7842	25411	990000	0	
7843	7843	25411	990000	0	
7844	7844	25411	990000	0	
7845	7845	25411	990000	0	
7846	7846	25411	990000	0	
7847	7847	25411	990000	0	
7848	7848	25411	990000	0	
7849	7849	25411	990000	0	
7851	7851	-1	100000	0	
7852	7852	-1	100000	0	
7859	7859	-1	100000	0	
7861	7861	-1	500000	0	
7862	7862	-1	500000	0	
7863	7863	-1	500000	0	
7869	7869	-1	500000	0	
7871	7871	-1	600000	0	
7872	7872	-1	600000	0	
7873	7873	-1	600000	0	
7874	7874	-1	600000	0	
7879	7879	-1	600000	0	
7881	7881	-1	700000	0	
7882	7882	-1	700000	0	
7883	7883	-1	700000	0	
7884	7884	-1	700000	0	
7885	7885	-1	700000	0	
7889	7889	-1	700000	0	
7891	7891	-1	800000	0	
7892	7892	-1	800000	0	
7893	7893	-1	800000	0	
7894	7894	-1	800000	0	
7895	7895	-1	800000	0	
7896	7896	-1	800000	0	
7899	7899	-1	800000	0	
7901	7901	25091	990000	0	
7902	7902	25091	990000	0	
7903	7903	25091	990000	0	
7904	7904	25091	990000	0	
7905	7905	25091	990000	0	
7906	7906	25091	990000	0	
7907	7907	25091	990000	0	
7909	7909	25091	990000	0	
7911	7911	25421	990000	0	
7912	7912	25421	990000	0	
7913	7913	25421	990000	0	
7914	7914	25421	990000	0	
7915	7915	25421	990000	0	
7916	7916	25421	990000	0	
7917	7917	25421	990000	0	
7918	7918	25421	990000	0	
7919	7919	25421	990000	0	
7921	7921	-1	100000	0	
7922	7922	-1	100000	0	
7929	7929	-1	100000	0	
7931	7931	-1	500000	0	
7932	7932	-1	500000	0	
7933	7933	-1	500000	0	
7939	7939	-1	500000	0	
7941	7941	-1	600000	0	
7942	7942	-1	600000	0	
7943	7943	-1	600000	0	
7944	7944	-1	600000	0	
7949	7949	-1	600000	0	
7951	7951	-1	700000	0	
7952	7952	-1	700000	0	
7953	7953	-1	700000	0	
7954	7954	-1	700000	0	
7955	7955	-1	700000	0	
7959	7959	-1	700000	0	
7961	7961	-1	800000	0	
7962	7962	-1	800000	0	
7963	7963	-1	800000	0	
7964	7964	-1	800000	0	
7965	7965	-1	800000	0	
7966	7966	-1	800000	0	
7969	7969	-1	800000	0	
7971	7971	25101	990000	0	
7972	7972	25101	990000	0	
7973	7973	25101	990000	0	
7974	7974	25101	990000	0	
7975	7975	25101	990000	0	
7976	7976	25101	990000	0	
7977	7977	25101	990000	0	
7979	7979	25101	990000	0	
7981	7981	25431	990000	0	
7982	7982	25431	990000	0	
7983	7983	25431	990000	0	
7984	7984	25431	990000	0	
7985	7985	25431	990000	0	
7986	7986	25431	990000	0	
7987	7987	25431	990000	0	
