INT	INT	INT	INT	INT	INT	INT
INDEX(Level*100+孔数)	耗钱	物品1	消耗数1	耗钱2	物品2	消耗数2
101	3000	20109001	1	-1	-1	-1
1902	7292	20109002	1	-1	-1	-1	
1903	8508	20109002	1	-1	-1	-1	
1904	30000000	20109101	1	10000	20310111	1	
2001	6320	20109002	1	-1	-1	-1	
2002	7584	20109002	1	-1	-1	-1	
2003	8848	20109002	1	-1	-1	-1	
2004	30000000	20109101	1	10000	20310111	1	
2101	6573	20109003	1	-1	-1	-1	
2102	7888	20109003	1	-1	-1	-1	
2103	9202	20109003	1	-1	-1	-1	
2104	30000000	20109101	1	10000	20310111	1	
2201	6836	20109003	1	-1	-1	-1	
2202	8203	20109003	1	-1	-1	-1	
2203	9570	20109003	1	-1	-1	-1	
2204	30000000	20109101	1	10000	20310111	1	
2301	7109	20109003	1	-1	-1	-1	
2302	8531	20109003	1	-1	-1	-1	
2303	9953	20109003	1	-1	-1	-1	
2304	30000000	20109101	1	10000	20310111	1	
2401	7394	20109003	1	-1	-1	-1	
2402	8872	20109003	1	-1	-1	-1	
2403	10351	20109003	1	-1	-1	-1	
2404	30000000	20109101	1	10000	20310111	1	
2501	7689	20109003	1	-1	-1	-1	
2502	9227	20109003	1	-1	-1	-1	
2503	10765	20109003	1	-1	-1	-1	
2504	30000000	20109101	1	10000	20310111	1	
2601	7997	20109003	1	-1	-1	-1	
2602	9597	20109003	1	-1	-1	-1	
2603	11196	20109003	1	-1	-1	-1	
2604	30000000	20109101	1	10000	20310111	1	
2701	8317	20109003	1	-1	-1	-1	
2702	9980	20109003	1	-1	-1	-1	
2703	11644	20109003	1	-1	-1	-1	
2704	30000000	20109101	1	10000	20310111	1	
2801	8650	20109003	1	-1	-1	-1	
2802	10380	20109003	1	-1	-1	-1	
2803	12110	20109003	1	-1	-1	-1	
2804	30000000	20109101	1	10000	20310111	1	
2901	8996	20109003	1	-1	-1	-1	
2902	10795	20109003	1	-1	-1	-1	
2903	12594	20109003	1	-1	-1	-1	
2904	30000000	20109101	1	10000	20310111	1	
3001	9355	20109003	1	-1	-1	-1	
3002	11227	20109003	1	-1	-1	-1	
3003	13098	20109003	1	-1	-1	-1	
3004	30000000	20109101	1	10000	20310111	1	
3101	9730	20109004	1	-1	-1	-1	
3102	11676	20109004	1	-1	-1	-1	
3103	13622	20109004	1	-1	-1	-1	
3104	30000000	20109101	1	10000	20310111	1	
3201	10119	20109004	1	-1	-1	-1	
3202	12143	20109004	1	-1	-1	-1	
3203	14167	20109004	1	-1	-1	-1	
3204	30000000	20109101	1	10000	20310111	1	
3301	10524	20109004	1	-1	-1	-1	
3302	12629	20109004	1	-1	-1	-1	
3303	14733	20109004	1	-1	-1	-1	
3304	30000000	20109101	1	10000	20310111	1	
3401	10945	20109004	1	-1	-1	-1	
3402	13134	20109004	1	-1	-1	-1	
3403	15323	20109004	1	-1	-1	-1	
3404	30000000	20109101	1	10000	20310111	1	
3501	11382	20109004	1	-1	-1	-1	
3502	13659	20109004	1	-1	-1	-1	
3503	15936	20109004	1	-1	-1	-1	
3504	30000000	20109101	1	10000	20310111	1	
3601	11838	20109004	1	-1	-1	-1	
3602	14205	20109004	1	-1	-1	-1	
3603	16573	20109004	1	-1	-1	-1	
3604	30000000	20109101	1	10000	20310111	1	
3701	12311	20109004	1	-1	-1	-1	
3702	14774	20109004	1	-1	-1	-1	
3703	17236	20109004	1	-1	-1	-1	
3704	30000000	20109101	1	10000	20310111	1	
3801	12804	20109004	1	-1	-1	-1	
3802	15365	20109004	1	-1	-1	-1	
3803	17925	20109004	1	-1	-1	-1	
3804	30000000	20109101	1	10000	20310111	1	
3901	13316	20109004	1	-1	-1	-1	
3902	15979	20109004	1	-1	-1	-1	
3903	18643	20109004	1	-1	-1	-1	
3904	30000000	20109101	1	10000	20310111	1	
4001	13849	20109004	1	-1	-1	-1	
4002	16618	20109004	1	-1	-1	-1	
4003	19388	20109004	1	-1	-1	-1	
4004	30000000	20109101	1	10000	20310111	1	
4101	14403	20109005	1	-1	-1	-1	
4102	17283	20109005	1	-1	-1	-1	
4103	20164	20109005	1	-1	-1	-1	
4104	30000000	20109101	1	10000	20310111	1	
4201	14979	20109005	1	-1	-1	-1	
4202	17975	20109005	1	-1	-1	-1	
4203	20970	20109005	1	-1	-1	-1	
4204	30000000	20109101	1	10000	20310111	1	
4301	15578	20109005	1	-1	-1	-1	
4302	18694	20109005	1	-1	-1	-1	
4303	21809	20109005	1	-1	-1	-1	
4304	30000000	20109101	1	10000	20310111	1	
4401	16201	20109005	1	-1	-1	-1	
4402	19441	20109005	1	-1	-1	-1	
4403	22682	20109005	1	-1	-1	-1	
4404	30000000	20109101	1	10000	20310111	1	
4501	16849	20109005	1	-1	-1	-1	
4502	20219	20109005	1	-1	-1	-1	
4503	23589	20109005	1	-1	-1	-1	
4504	30000000	20109101	1	10000	20310111	1	
4601	17523	20109005	1	-1	-1	-1	
4602	21028	20109005	1	-1	-1	-1	
4603	24532	20109005	1	-1	-1	-1	
4604	30000000	20109101	1	10000	20310111	1	
4701	18224	20109005	1	-1	-1	-1	
4702	21869	20109005	1	-1	-1	-1	
4703	25514	20109005	1	-1	-1	-1	
4704	30000000	20109101	1	10000	20310111	1	
4801	18953	20109005	1	-1	-1	-1	
4802	22744	20109005	1	-1	-1	-1	
4803	26534	20109005	1	-1	-1	-1	
4804	30000000	20109101	1	10000	20310111	1	
4901	19711	20109005	1	-1	-1	-1	
4902	23653	20109005	1	-1	-1	-1	
4903	27596	20109005	1	-1	-1	-1	
4904	30000000	20109101	1	10000	20310111	1	
5001	20500	20109005	1	-1	-1	-1	
5002	24600	20109005	1	-1	-1	-1	
5003	28700	20109005	1	-1	-1	-1	
5004	30000000	20109101	1	10000	20310111	1	
5101	21320	20109006	1	-1	-1	-1	
5102	25584	20109006	1	-1	-1	-1	
5103	29848	20109006	1	-1	-1	-1	
5104	30000000	20109101	1	10000	20310111	1	
5201	22172	20109006	1	-1	-1	-1	
5202	26607	20109006	1	-1	-1	-1	
5203	31041	20109006	1	-1	-1	-1	
5204	30000000	20109101	1	10000	20310111	1	
5301	23059	20109006	1	-1	-1	-1	
5302	27671	20109006	1	-1	-1	-1	
5303	32283	20109006	1	-1	-1	-1	
5304	30000000	20109101	1	10000	20310111	1	
5401	23982	20109006	1	-1	-1	-1	
5402	28778	20109006	1	-1	-1	-1	
5403	33575	20109006	1	-1	-1	-1	
5404	30000000	20109101	1	10000	20310111	1	
5501	24941	20109006	1	-1	-1	-1	
5502	29929	20109006	1	-1	-1	-1	
5503	34918	20109006	1	-1	-1	-1	
5504	30000000	20109101	1	10000	20310111	1	
5601	25939	20109006	1	-1	-1	-1	
5602	31126	20109006	1	-1	-1	-1	
5603	36314	20109006	1	-1	-1	-1	
5604	30000000	20109101	1	10000	20310111	1	
5701	26976	20109006	1	-1	-1	-1	
5702	32371	20109006	1	-1	-1	-1	
5703	37767	20109006	1	-1	-1	-1	
5704	30000000	20109101	1	10000	20310111	1	
5801	28055	20109006	1	-1	-1	-1	
5802	33666	20109006	1	-1	-1	-1	
5803	39278	20109006	1	-1	-1	-1	
5804	30000000	20109101	1	10000	20310111	1	
5901	29177	20109006	1	-1	-1	-1	
5902	35013	20109006	1	-1	-1	-1	
5903	40849	20109006	1	-1	-1	-1	
5904	30000000	20109101	1	10000	20310111	1	
6001	30345	20109006	1	-1	-1	-1	
6002	36414	20109006	1	-1	-1	-1	
6003	42483	20109006	1	-1	-1	-1	
6004	30000000	20109101	1	10000	20310111	1	
6101	31558	20109007	1	-1	-1	-1	
6102	37870	20109007	1	-1	-1	-1	
6103	44182	20109007	1	-1	-1	-1	
6104	30000000	20109101	1	10000	20310111	1	
6201	32821	20109007	1	-1	-1	-1	
6202	39385	20109007	1	-1	-1	-1	
6203	45949	20109007	1	-1	-1	-1	
6204	30000000	20109101	1	10000	20310111	1	
6301	34134	20109007	1	-1	-1	-1	
6302	40960	20109007	1	-1	-1	-1	
6303	47787	20109007	1	-1	-1	-1	
6304	30000000	20109101	1	10000	20310111	1	
6401	35499	20109007	1	-1	-1	-1	
6402	42599	20109007	1	-1	-1	-1	
6403	49699	20109007	1	-1	-1	-1	
6404	30000000	20109101	1	10000	20310111	1	
6501	36919	20109007	1	-1	-1	-1	
6502	44303	20109007	1	-1	-1	-1	
6503	51687	20109007	1	-1	-1	-1	
6504	30000000	20109101	1	10000	20310111	1	
6601	38396	20109007	1	-1	-1	-1	
6602	46075	20109007	1	-1	-1	-1	
6603	53754	20109007	1	-1	-1	-1	
6604	30000000	20109101	1	10000	20310111	1	
6701	39932	20109007	1	-1	-1	-1	
6702	47918	20109007	1	-1	-1	-1	
6703	55904	20109007	1	-1	-1	-1	
6704	30000000	20109101	1	10000	20310111	1	
6801	41529	20109007	1	-1	-1	-1	
6802	49835	20109007	1	-1	-1	-1	
6803	58141	20109007	1	-1	-1	-1	
6804	30000000	20109101	1	10000	20310111	1	
6901	43190	20109007	1	-1	-1	-1	
6902	51828	20109007	1	-1	-1	-1	
6903	60466	20109007	1	-1	-1	-1	
6904	30000000	20109101	1	10000	20310111	1	
7001	44918	20109007	1	-1	-1	-1	
7002	53901	20109007	1	-1	-1	-1	
7003	62885	20109007	1	-1	-1	-1	
7004	30000000	20109101	1	10000	20310111	1	
7101	46714	20109008	1	-1	-1	-1	
7102	56057	20109008	1	-1	-1	-1	
7103	65400	20109008	1	-1	-1	-1	
7104	30000000	20109101	1	10000	20310111	1	
7201	48583	20109008	1	-1	-1	-1	
7202	58300	20109008	1	-1	-1	-1	
7203	68016	20109008	1	-1	-1	-1	
7204	30000000	20109101	1	10000	20310111	1	
7301	50526	20109008	1	-1	-1	-1	
7302	60632	20109008	1	-1	-1	-1	
7303	70737	20109008	1	-1	-1	-1	
7304	30000000	20109101	1	10000	20310111	1	
7401	52547	20109008	1	-1	-1	-1	
7402	63057	20109008	1	-1	-1	-1	
7403	73567	20109008	1	-1	-1	-1	
7404	30000000	20109101	1	10000	20310111	1	
7501	54649	20109008	1	-1	-1	-1	
7502	65579	20109008	1	-1	-1	-1	
7503	76509	20109008	1	-1	-1	-1	
7504	30000000	20109101	1	10000	20310111	1	
7601	56835	20109008	1	-1	-1	-1	
7602	68202	20109008	1	-1	-1	-1	
7603	79570	20109008	1	-1	-1	-1	
7604	30000000	20109101	1	10000	20310111	1	
7701	59109	20109008	1	-1	-1	-1	
7702	70931	20109008	1	-1	-1	-1	
7703	82752	20109008	1	-1	-1	-1	
7704	30000000	20109101	1	10000	20310111	1	
7801	61473	20109008	1	-1	-1	-1	
7802	73768	20109008	1	-1	-1	-1	
7803	86062	20109008	1	-1	-1	-1	
7804	30000000	20109101	1	10000	20310111	1	
7901	63932	20109008	1	-1	-1	-1	
7902	76719	20109008	1	-1	-1	-1	
7903	89505	20109008	1	-1	-1	-1	
7904	30000000	20109101	1	10000	20310111	1	
8001	66489	20109008	1	-1	-1	-1	
8002	79787	20109008	1	-1	-1	-1	
8003	93085	20109008	1	-1	-1	-1	
8004	30000000	20109101	1	10000	20310111	1	
8101	69149	20109009	1	-1	-1	-1	
8102	82979	20109009	1	-1	-1	-1	
8103	96809	20109009	1	-1	-1	-1	
8104	30000000	20109101	1	10000	20310111	1	
8201	71915	20109009	1	-1	-1	-1	
8202	86298	20109009	1	-1	-1	-1	
8203	100681	20109009	1	-1	-1	-1	
8204	30000000	20109101	1	10000	20310111	1	
8301	74791	20109009	1	-1	-1	-1	
8302	89750	20109009	1	-1	-1	-1	
8303	104708	20109009	1	-1	-1	-1	
8304	30000000	20109101	1	10000	20310111	1	
8401	77783	20109009	1	-1	-1	-1	
8402	93340	20109009	1	-1	-1	-1	
8403	108897	20109009	1	-1	-1	-1	
8404	30000000	20109101	1	10000	20310111	1	
8501	80895	20109009	1	-1	-1	-1	
8502	97074	20109009	1	-1	-1	-1	
8503	113253	20109009	1	-1	-1	-1	
8504	30000000	20109101	1	10000	20310111	1	
8601	84130	20109009	1	-1	-1	-1	
8602	100956	20109009	1	-1	-1	-1	
8603	117783	20109009	1	-1	-1	-1	
8604	30000000	20109101	1	10000	20310111	1	
8701	87496	20109009	1	-1	-1	-1	
8702	104995	20109009	1	-1	-1	-1	
8703	122494	20109009	1	-1	-1	-1	
8704	30000000	20109101	1	10000	20310111	1	
8801	90995	20109009	1	-1	-1	-1	
8802	109195	20109009	1	-1	-1	-1	
8803	127394	20109009	1	-1	-1	-1	
8804	30000000	20109101	1	10000	20310111	1	
8901	94635	20109009	1	-1	-1	-1	
8902	113562	20109009	1	-1	-1	-1	
8903	132490	20109009	1	-1	-1	-1	
8904	30000000	20109101	1	10000	20310111	1	
9001	98421	20109009	1	-1	-1	-1	
9002	118105	20109009	1	-1	-1	-1	
9003	137789	20109009	1	-1	-1	-1	
9004	30000000	20109101	1	10000	20310111	1	
9101	102358	20109010	1	-1	-1	-1	
9102	122829	20109010	1	-1	-1	-1	
9103	143301	20109010	1	-1	-1	-1	
9104	30000000	20109101	1	10000	20310111	1	
9201	106452	20109010	1	-1	-1	-1	
9202	127742	20109010	1	-1	-1	-1	
9203	149033	20109010	1	-1	-1	-1	
9204	30000000	20109101	1	10000	20310111	1	
9301	110710	20109010	1	-1	-1	-1	
9302	132852	20109010	1	-1	-1	-1	
9303	154994	20109010	1	-1	-1	-1	
9304	30000000	20109101	1	10000	20310111	1	
9401	115138	20109010	1	-1	-1	-1	
9402	138166	20109010	1	-1	-1	-1	
9403	161194	20109010	1	-1	-1	-1	
9404	30000000	20109101	1	10000	20310111	1	
9501	119744	20109010	1	-1	-1	-1	
9502	143693	20109010	1	-1	-1	-1	
9503	167642	20109010	1	-1	-1	-1	
9504	30000000	20109101	1	10000	20310111	1	
9601	124534	20109010	1	-1	-1	-1	
9602	149440	20109010	1	-1	-1	-1	
9603	174347	20109010	1	-1	-1	-1	
9604	30000000	20109101	1	10000	20310111	1	
9701	129515	20109010	1	-1	-1	-1	
9702	155418	20109010	1	-1	-1	-1	
9703	181321	20109010	1	-1	-1	-1	
9704	30000000	20109101	1	10000	20310111	1	
9801	134696	20109010	1	-1	-1	-1	
9802	161635	20109010	1	-1	-1	-1	
9803	188574	20109010	1	-1	-1	-1	
9804	30000000	20109101	1	10000	20310111	1	
9901	140083	20109010	1	-1	-1	-1	
9902	168100	20109010	1	-1	-1	-1	
9903	196117	20109010	1	-1	-1	-1	
9904	30000000	20109101	1	10000	20310111	1	
10001	145687	20109010	1	-1	-1	-1	
10002	174824	20109010	1	-1	-1	-1	
10003	203962	20109010	1	-1	-1	-1	
10004	30000000	20109101	1	10000	20310111	1	
10101	151514	20109011	1	-1	-1	-1	
10102	181817	20109011	1	-1	-1	-1	
10103	212120	20109011	1	-1	-1	-1	
10104	30000000	20109101	1	10000	20310111	1	
10201	157575	20109011	1	-1	-1	-1	
10202	189090	20109011	1	-1	-1	-1	
10203	220605	20109011	1	-1	-1	-1	
10204	30000000	20109101	1	10000	20310111	1	
10301	163878	20109011	1	-1	-1	-1	
10302	196654	20109011	1	-1	-1	-1	
10303	229429	20109011	1	-1	-1	-1	
10304	30000000	20109101	1	10000	20310111	1	
10401	170433	20109011	1	-1	-1	-1	
10402	204520	20109011	1	-1	-1	-1	
10403	238607	20109011	1	-1	-1	-1	
10404	30000000	20109101	1	10000	20310111	1	
10501	177250	20109011	1	-1	-1	-1	
10502	212701	20109011	1	-1	-1	-1	
10503	248151	20109011	1	-1	-1	-1	
10504	30000000	20109101	1	10000	20310111	1	
10601	184340	20109011	1	-1	-1	-1	
10602	221209	20109011	1	-1	-1	-1	
10603	258077	20109011	1	-1	-1	-1	
10604	30000000	20109101	1	10000	20310111	1	
10701	191714	20109011	1	-1	-1	-1	
10702	230057	20109011	1	-1	-1	-1	
10703	268400	20109011	1	-1	-1	-1	
10704	30000000	20109101	1	10000	20310111	1	
10801	199383	20109011	1	-1	-1	-1	
10802	239259	20109011	1	-1	-1	-1	
10803	279136	20109011	1	-1	-1	-1	
10804	30000000	20109101	1	10000	20310111	1	
10901	207358	20109011	1	-1	-1	-1	
10902	248830	20109011	1	-1	-1	-1	
10903	290301	20109011	1	-1	-1	-1	
10904	30000000	20109101	1	10000	20310111	1	
11001	215652	20109011	1	-1	-1	-1	
11002	258783	20109011	1	-1	-1	-1	
11003	301914	20109011	1	-1	-1	-1	
11004	30000000	20109101	1	10000	20310111	1	
11101	224278	20109012	1	-1	-1	-1	
11102	269134	20109012	1	-1	-1	-1	
11103	313990	20109012	1	-1	-1	-1	
11104	30000000	20109101	1	10000	20310111	1	
11201	233250	20109012	1	-1	-1	-1	
11202	279900	20109012	1	-1	-1	-1	
11203	326550	20109012	1	-1	-1	-1	
11204	30000000	20109101	1	10000	20310111	1	
11301	242580	20109012	1	-1	-1	-1	
11302	291096	20109012	1	-1	-1	-1	
11303	339612	20109012	1	-1	-1	-1	
11304	30000000	20109101	1	10000	20310111	1	
11401	252283	20109012	1	-1	-1	-1	
11402	302740	20109012	1	-1	-1	-1	
11403	353196	20109012	1	-1	-1	-1	
11404	30000000	20109101	1	10000	20310111	1	
11501	262374	20109012	1	-1	-1	-1	
11502	314849	20109012	1	-1	-1	-1	
11503	367324	20109012	1	-1	-1	-1	
11504	30000000	20109101	1	10000	20310111	1	
11601	272869	20109012	1	-1	-1	-1	
11602	327443	20109012	1	-1	-1	-1	
11603	382017	20109012	1	-1	-1	-1	
11604	30000000	20109101	1	10000	20310111	1	
11701	283784	20109012	1	-1	-1	-1	
11702	340541	20109012	1	-1	-1	-1	
11703	397298	20109012	1	-1	-1	-1	
11704	30000000	20109101	1	10000	20310111	1	
11801	295135	20109012	1	-1	-1	-1	
11802	354163	20109012	1	-1	-1	-1	
11803	413190	20109012	1	-1	-1	-1	
11804	30000000	20109101	1	10000	20310111	1	
11901	306941	20109012	1	-1	-1	-1	
11902	368329	20109012	1	-1	-1	-1	
11903	429717	20109012	1	-1	-1	-1	
11904	30000000	20109101	1	10000	20310111	1	
12001	319218	20109012	1	-1	-1	-1	
12002	383062	20109012	1	-1	-1	-1	
12003	446906	20109012	1	-1	-1	-1	
12004	30000000	20109101	1	10000	20310111	1	
