INT	INT	INT	INT	INT	INT	INT
资质点	物理攻击	物理防御	魔法攻击	魔法防御	闪避	命中
127	12	12	12	12	-1	12	
128	12	12	12	12	-1	12	
129	12	12	12	12	-1	12	
130	12	12	12	12	-1	12	
131	13	13	13	13	-1	13	
132	13	13	13	13	-1	13	
133	13	13	13	13	-1	13	
134	13	13	13	13	-1	13	
135	13	13	13	13	-1	13	
136	13	13	13	13	-1	13	
137	13	13	13	13	-1	13	
138	13	13	13	13	-1	13	
139	13	13	13	13	-1	13	
140	13	13	13	13	-1	13	
141	13	13	13	13	-1	13	
142	13	13	13	13	-1	13	
143	14	14	14	14	-1	14	
144	14	14	14	14	-1	14	
145	14	14	14	14	-1	14	
146	14	14	14	14	-1	14	
147	14	14	14	14	-1	14	
148	14	14	14	14	-1	14	
149	14	14	14	14	-1	14	
150	14	14	14	14	-1	14	
151	14	14	14	14	-1	14	
152	14	14	14	14	-1	14	
153	14	14	14	14	-1	14	
154	15	15	15	15	-1	15	
155	15	15	15	15	-1	15	
156	15	15	15	15	-1	15	
157	15	15	15	15	-1	15	
158	15	15	15	15	-1	15	
159	15	15	15	15	-1	15	
160	15	15	15	15	-1	15	
161	15	15	15	15	-1	15	
162	15	15	15	15	-1	15	
163	15	15	15	15	-1	15	
164	15	15	15	15	-1	15	
165	15	15	15	15	-1	15	
166	16	16	16	16	-1	16	
167	16	16	16	16	-1	16	
168	16	16	16	16	-1	16	
169	16	16	16	16	-1	16	
170	16	16	16	16	-1	16	
171	16	16	16	16	-1	16	
172	16	16	16	16	-1	16	
173	16	16	16	16	-1	16	
174	16	16	16	16	-1	16	
175	16	16	16	16	-1	16	
176	16	16	16	16	-1	16	
177	17	17	17	17	-1	17	
178	17	17	17	17	-1	17	
179	17	17	17	17	-1	17	
180	17	17	17	17	-1	17	
181	17	17	17	17	-1	17	
182	17	17	17	17	-1	17	
183	17	17	17	17	-1	17	
184	17	17	17	17	-1	17	
185	17	17	17	17	-1	17	
186	17	17	17	17	-1	17	
187	17	17	17	17	-1	17	
188	18	18	18	18	-1	18	
189	20	20	20	20	-1	20	
190	20	20	20	20	-1	20	
191	20	20	20	20	-1	20	
192	20	20	20	20	-1	20	
193	20	20	20	20	-1	20	
194	20	20	20	20	-1	20	
195	20	20	20	20	-1	20	
196	20	20	20	20	-1	20	
197	20	20	20	20	-1	20	
198	20	20	20	20	-1	20	
199	20	20	20	20	-1	20	
200	20	20	20	20	-1	20	
201	20	20	20	20	-1	20	
202	21	21	21	21	-1	21	
203	21	21	21	21	-1	21	
204	21	21	21	21	-1	21	
205	21	21	21	21	-1	21	
206	21	21	21	21	-1	21	
207	21	21	21	21	-1	21	
208	21	21	21	21	-1	21	
209	21	21	21	21	-1	21	
210	21	21	21	21	-1	21	
211	21	21	21	21	-1	21	
212	21	21	21	21	-1	21	
213	21	21	21	21	-1	21	
214	22	22	22	22	-1	22	
215	22	22	22	22	-1	22	
216	22	22	22	22	-1	22	
217	22	22	22	22	-1	22	
218	22	22	22	22	-1	22	
219	22	22	22	22	-1	22	
220	22	22	22	22	-1	22	
221	22	22	22	22	-1	22	
222	22	22	22	22	-1	22	
223	22	22	22	22	-1	22	
224	22	22	22	22	-1	22	
225	22	22	22	22	-1	22	
226	23	23	23	23	-1	23	
227	23	23	23	23	-1	23	
228	23	23	23	23	-1	23	
229	23	23	23	23	-1	23	
230	23	23	23	23	-1	23	
231	23	23	23	23	-1	23	
232	23	23	23	23	-1	23	
233	23	23	23	23	-1	23	
234	23	23	23	23	-1	23	
235	23	23	23	23	-1	23	
236	23	23	23	23	-1	23	
237	23	23	23	23	-1	23	
238	24	24	24	24	-1	24	
239	24	24	24	24	-1	24	
240	24	24	24	24	-1	24	
241	24	24	24	24	-1	24	
242	24	24	24	24	-1	24	
243	24	24	24	24	-1	24	
244	24	24	24	24	-1	24	
245	24	24	24	24	-1	24	
246	24	24	24	24	-1	24	
247	24	24	24	24	-1	24	
248	24	24	24	24	-1	24	
249	24	24	24	24	-1	24	
250	25	25	25	25	-1	25	
251	30	30	30	30	-1	30	
252	40	40	40	40	-1	40	
253	50	50	50	50	-1	50	
254	60	60	60	60	-1	60	
255	80	80	80	80	-1	80	
