INT	INT	STRING	INT	INT	INT
382	1307	制作70级5星阿旭护符毒	21000031	-1	10123029
383	1308	制作80级5星阿旭护符毒	21000031	-1	10123030
384	1309	制作90级5星阿旭护符毒	21000031	-1	10123031
385	1310	制作60级6星阿旭护符冰	21000032	-1	10123032
386	1311	制作70级6星阿旭护符冰	21000032	-1	10123033
387	1312	制作80级6星阿旭护符冰	21000032	-1	10123034
388	1313	制作90级6星阿旭护符冰	21000032	-1	10123035
389	1310	制作60级6星阿旭护符火	21000033	-1	10123036
390	1311	制作70级6星阿旭护符火	21000033	-1	10123037
391	1312	制作80级6星阿旭护符火	21000033	-1	10123038
392	1313	制作90级6星阿旭护符火	21000033	-1	10123039
393	1310	制作60级6星阿旭护符玄	21000034	-1	10123040
394	1311	制作70级6星阿旭护符玄	21000034	-1	10123041
395	1312	制作80级6星阿旭护符玄	21000034	-1	10123042
396	1313	制作90级6星阿旭护符玄	21000034	-1	10123043
397	1310	制作60级6星阿旭护符毒	21000035	-1	10123044
398	1311	制作70级6星阿旭护符毒	21000035	-1	10123045
399	1312	制作80级6星阿旭护符毒	21000035	-1	10123046
400	1313	制作90级6星阿旭护符毒	21000035	-1	10123047
401	1314	制作60级7星阿旭护符冰	21000036	-1	10123048
402	1315	制作70级7星阿旭护符冰	21000036	-1	10123049
403	1316	制作80级7星阿旭护符冰	21000036	-1	10123050
404	1317	制作90级7星阿旭护符冰	21000036	-1	10123051
405	1314	制作60级7星阿旭护符火	21000037	-1	10123052
406	1315	制作70级7星阿旭护符火	21000037	-1	10123053
407	1316	制作80级7星阿旭护符火	21000037	-1	10123054
408	1317	制作90级7星阿旭护符火	21000037	-1	10123055
409	1314	制作60级7星阿旭护符玄	21000038	-1	10123056
410	1315	制作70级7星阿旭护符玄	21000038	-1	10123057
411	1316	制作80级7星阿旭护符玄	21000038	-1	10123058
412	1317	制作90级7星阿旭护符玄	21000038	-1	10123059
413	1314	制作60级7星阿旭护符毒	21000039	-1	10123060
414	1315	制作70级7星阿旭护符毒	21000039	-1	10123061
415	1316	制作80级7星阿旭护符毒	21000039	-1	10123062
