INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157009	0	1	62	220	-1	0	3	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157010	0	1	63	73	-1	0	4	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157011	0	1	37	2	-1	0	5	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157012	0	2	0	1110	-1	0	0	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157013	0	2	59	177	58	177	1	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157014	0	2	61	177	60	177	2	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157015	0	2	62	220	-1	0	3	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157016	0	2	63	73	-1	0	4	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157017	0	2	37	2	-1	0	5	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157018	0	3	0	1110	-1	0	0	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157019	0	3	59	177	58	177	1	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157020	0	3	61	177	60	177	2	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157021	0	3	62	220	-1	0	3	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157022	0	3	63	73	-1	0	4	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157023	0	3	37	2	-1	0	5	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157024	0	4	0	1110	-1	0	0	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157025	0	4	59	177	58	177	1	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157026	0	4	61	177	60	177	2	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157027	0	4	62	220	-1	0	3	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157028	0	4	63	73	-1	0	4	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157029	0	4	37	2	-1	0	5	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157030	0	5	0	1110	-1	0	0	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157031	0	5	59	177	58	177	1	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157032	0	5	61	177	60	177	2	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157033	0	5	62	220	-1	0	3	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157034	0	5	63	73	-1	0	4	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157035	0	5	37	2	-1	0	5	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157036	1	0	0	1876	-1	0	0	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157037	1	0	59	299	58	299	1	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157038	1	0	61	299	60	299	2	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157039	1	0	62	372	-1	0	3	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157040	1	0	63	124	-1	0	4	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157041	1	0	37	4	-1	0	5	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157042	1	1	0	1876	-1	0	0	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157043	1	1	59	299	58	299	1	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157044	1	1	61	299	60	299	2	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157045	1	1	62	372	-1	0	3	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157046	1	1	63	124	-1	0	4	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157047	1	1	37	4	-1	0	5	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157048	1	2	0	1876	-1	0	0	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157049	1	2	59	299	58	299	1	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157050	1	2	61	299	60	299	2	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157051	1	2	62	372	-1	0	3	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157052	1	2	63	124	-1	0	4	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157053	1	2	37	4	-1	0	5	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157054	1	3	0	1876	-1	0	0	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157055	1	3	59	299	58	299	1	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157056	1	3	61	299	60	299	2	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157057	1	3	62	372	-1	0	3	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157058	1	3	63	124	-1	0	4	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157059	1	3	37	4	-1	0	5	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157060	1	4	0	1876	-1	0	0	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157061	1	4	59	299	58	299	1	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157062	1	4	61	299	60	299	2	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157063	1	4	62	372	-1	0	3	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157064	1	4	63	124	-1	0	4	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157065	1	4	37	4	-1	0	5	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157066	1	5	0	1876	-1	0	0	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157067	1	5	59	299	58	299	1	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157068	1	5	61	299	60	299	2	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157069	1	5	62	372	-1	0	3	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157070	1	5	63	124	-1	0	4	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157071	1	5	37	4	-1	0	5	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157072	2	0	0	2795	-1	0	0	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157073	2	0	59	446	58	446	1	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157074	2	0	61	446	60	446	2	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157075	2	0	62	554	-1	0	3	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157076	2	0	63	185	-1	0	4	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157077	2	0	37	7	-1	0	5	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157078	2	1	0	2795	-1	0	0	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157079	2	1	59	446	58	446	1	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157080	2	1	61	446	60	446	2	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157081	2	1	62	554	-1	0	3	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157082	2	1	63	185	-1	0	4	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157083	2	1	37	7	-1	0	5	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157084	2	2	0	2795	-1	0	0	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157085	2	2	59	446	58	446	1	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157086	2	2	61	446	60	446	2	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157087	2	2	62	554	-1	0	3	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157088	2	2	63	185	-1	0	4	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157089	2	2	37	7	-1	0	5	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157090	2	3	0	2795	-1	0	0	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157091	2	3	59	446	58	446	1	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157092	2	3	61	446	60	446	2	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157093	2	3	62	554	-1	0	3	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157094	2	3	63	185	-1	0	4	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157095	2	3	37	7	-1	0	5	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157096	2	4	0	2795	-1	0	0	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157097	2	4	59	446	58	446	1	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157098	2	4	61	446	60	446	2	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157099	2	4	62	554	-1	0	3	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157100	2	4	63	185	-1	0	4	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157101	2	4	37	7	-1	0	5	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157102	2	5	0	2795	-1	0	0	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157103	2	5	59	446	58	446	1	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157104	2	5	61	446	60	446	2	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157105	2	5	62	554	-1	0	3	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157106	2	5	63	185	-1	0	4	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
