INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标$1$	任务描述3$1$	任务描述4$1$	任务描述5$1$	接受任务场景ID	接受任务NpcName$1$	接受任务NpcGuid	完成任务场景ID	完成任务NpcName$1$	完成任务NpcGuid	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	击杀种类数（最多5）	怪物名称1$1$	是否寻找随机物品	掉落物品1	掉落概率1	掉落数量1	怪物名称2$1$	怪物标志2	掉落物品2	掉落概率2	掉落数量2	怪物名称3$1$	怪物标志3	掉落物品3	掉落概率3	掉落数量3	怪物名称4$1$	怪物标志4	掉落物品4	掉落概率4	掉落数量4	怪物名称5$1$	怪物标志5	掉落物品5	掉落概率5	掉落数量5	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	个数1	固定物品奖励2	个数2	固定物品奖励3	个数3	固定物品奖励4	个数4	固定物品奖励5	个数5	可选物品奖励1	个数1	可选物品奖励2	个数2	可选物品奖励3	个数3	可选物品奖励4	个数4	可选物品奖励5	个数5	隐藏奖励物品1	个数1	隐藏奖励物品2	个数2	隐藏奖励物品3	个数3	后续任务INDEX	预留	预留	预留
1030050	522	29	0	1	0	0	242	75	秘密联络	#{MIS_TAR_ADD_490}	#{Mis_L_Yannan_1030050}	#{RW_20080321_353}	#{RW_20080321_355}	18	寇封	0	18	寇封	0	30	-1	-1	-1	1	秦家寨信使	0	40002056	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	4500	8200	-1	0		0		0	0		10410066	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030051	524	29	0	1	0	0	260	88	完美的灰熊皮	#{MIS_TAR_ADD_492}	#{Mis_L_Yannan_1030051}	#{RW_20080321_354}	#{RW_20080321_356}	18	马承倩	0	18	马承倩	0	32	-1	-1	-1	1	灰熊	0	40002057	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	3800	9600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10421065	1	10412065	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030060	530	30	0	1	0	0	232	192	红寡妇	#{MIS_TAR_ADD_496}	#{Mis_L_Yanbei_1030060}	#{RW_20080321_357}	#{RW_20080321_359}	19	曲端	0	19	曲端	0	45	-1	-1	-1	1	红寡妇	0	40002060	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	5500	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030061	532	30	0	1	0	0	232	192	红铁爪	#{MIS_TAR_ADD_498}	#{Mis_L_Yanbei_1030061}	#{RW_20080321_358}	#{RW_20080321_359}	19	曲端	0	19	曲端	0	45	-1	-1	-1	1	红铁爪	0	40002059	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	5500	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10412068	1	10422109	1	10405064	1	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030070	600	37	0	1	0	0	182	163	过冬的准备	#{MIS_TAR_ADD_502}	#{Mis_L_Shilin_1030070}	#{RW_20080321_360}	#{RW_20080321_361}	26	郑玄	0	26	郑玄	0	55	-1	-1	-1	1	棕熊	0	40002142	25	8		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	25000	30000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030080	541	31	0	1	0	0	190	200	黑蜂刺	#{MIS_TAR_ADD_506}	#{Mis_L_Caoyuan_1030080}	#{RW_20080321_362}	#{RW_20080321_365}	20	阮老太太	0	20	阮老太太	0	60	-1	-1	-1	1	蒙古黑蜂	0	40002063	40	8		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	26200	0	31200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030081	544	31	0	1	0	0	137	53	白马青牛	#{MIS_TAR_ADD_508}	#{Mis_L_Caoyuan_1030081}	#{RW_20080321_363}	#{RW_20080321_366}	20	萧蔷	0	20	阮诚	0	62	542	543	-1	1	端木元	0	40002064	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	28300	0	42500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410071	1	10404065	1	0	0	0	0	0	0	0	0	0	0	0	0	1010080	6	-1	-1	
1030082	546	31	0	1	0	0	164	158	勇气	#{MIS_TAR_ADD_510}	#{Mis_L_Caoyuan_1030082}	#{RW_20080321_364}	#{RW_20080321_367}	20	萧蔷	0	20	萧蔷	0	62	545	-1	-1	1		0	40002066	0	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	22400	0	20300	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10402068	1	10422112	1	10421070	1	0	0	0	0	0	0	0	0	0	0	1050000	6	-1	-1	
1030090	550	32	0	1	0	0	161	196	白狼皮	#{MIS_TAR_ADD_536}	#{Mis_L_Liaoxi_1030090}	#{RW_20080321_368}	#{RW_20080321_370}	21	巴图	0	21	巴图	0	75	-1	-1	-1	1	白狼王	0	40002068	10	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	55000	0	38000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030091	551	32	0	1	0	0	161	196	黑蜂蜜	#{MIS_TAR_ADD_538}	#{Mis_L_Liaoxi_1030091}	#{RW_20080321_369}	#{RW_20080321_371}	21	巴图	0	21	巴图	0	75	-1	-1	-1	1	大黑蜂	0	40002067	10	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	55500	0	39000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030100	560	33	0	1	0	0	117	107	交贡品	#{MIS_TAR_ADD_542}	#{Mis_L_Changbai_1030100}	#{RW_20080321_372}	#{RW_20080321_375}	22	完颜呵里布	0	22	完颜呵里布	0	88	-1	-1	-1	1	东北虎	0	40002095	30	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	67500	0	85000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030101	563	33	0	1	0	0	147	123	熊胆	#{MIS_TAR_ADD_544}	#{Mis_L_Changbai_1030101}	#{RW_20080321_363}	#{RW_20080321_376}	22	完颜斡离不	0	22	徒单福晋	0	88	-1	-1	-1	1	黑熊	0	40002096	20	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	61500	0	58000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030102	567	33	0	1	0	0	147	123	神医的配方	#{MIS_TAR_ADD_546}	#{Mis_L_Changbai_1030102}	#{RW_20080321_363}	#{RW_20080321_377}	22	完颜兀术	0	22	徒单福晋	0	90	562	-1	-1	1	雪人	0	40002098	5	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	56700	0	66000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10403069	1	10405068	1	10404069	1	10406900	1	0	0	0	0	0	0	0	0	1030104	6	-1	-1	
1030103	564	33	0	1	0	0	147	123	极品人参	#{MIS_TAR_ADD_548}	#{Mis_L_Changbai_1030103}	#{RW_20080321_363}	#{RW_20080321_378}	22	完颜粘没喝	0	22	徒单福晋	0	88	-1	-1	-1	1		0	40002097	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	54500	0	42000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10412076	1	10421075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030104	568	33	0	1	0	0	147	123	天涯海角	#{MIS_TAR_ADD_550}	#{Mis_L_Changbai_1030104}	#{RW_20080321_373}	#{RW_20080321_379}	22	徒单福晋	0	22	徒单福晋	0	90	567	-1	-1	1		0	40001039	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	56700	0	36000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030105	569	33	0	1	0	0	234	77	突袭	#{MIS_TAR_ADD_552}	#{Mis_L_Changbai_1030105}	#{RW_20080321_374}	#{RW_20080321_380}	22	完颜阿骨打	0	22	完颜阿骨打	0	90	566	-1	-1	1	纥石烈阿疏	0	40002099	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	54000	0	90000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410078	1	10420076	1	10422117	1	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030110	583	36	0	1	0	0	57	73	寻找草药	#{MIS_TAR_ADD_514}	#{Mis_L_Erhai_1030110}	#{RW_20080321_381}	#{RW_20080321_383}	24	刀琅玕	0	24	刀琅玕	0	25	-1	-1	-1	1		0	20101005	100	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	6400	9600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050001	6	-1	-1	
1030111	588	36	0	1	0	0	92	126	被缚的萨宁	#{MIS_TAR_ADD_012}	#{Mis_L_Erhai_1030111}	#{RW_20080321_382}	#{RW_20080321_384}	24	萨宁	0	24	萨宁	0	30	-1	-1	-1	1	恶狼守卫	0	40002143	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	2400	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10401063	1	10400063	1	10404062	1	10406300	1	0	0	0	0	0	0	0	0	1010111	6	-1	-1	
1030120	591	35	0	1	0	0	195	113	粮食的故事	#{MIS_TAR_ADD_520}	#{Mis_L_Cangshan_1030120}	#{RW_20080321_385}	#{RW_20080321_387}	25	萨都	0	25	萨都	0	40	-1	-1	-1	1	蓑衣野人	0	40002144	30	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	9300	22300	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10401064	1	10400064	1	10403065	1	10406400	1	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030121	593	35	0	1	0	0	202	108	神明的指示	#{MIS_TAR_ADD_522}	#{Mis_L_Cangshan_1030121}	#{RW_20080321_386}	#{RW_20080321_388}	25	萨桑	0	25	萨桑	0	43	-1	-1	-1	1	狼族神汉	0	40002145	10	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	6200	8200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050002	6	-1	-1	
1030130	667	43	0	1	0	0	205	43	斩草除根	#{MIS_TAR_ADD_526}	#{Mis_L_Wuyi_1030130}	#{RW_20080321_389}	#{RW_20080321_390}	32	水仙	0	32	水仙	0	53	664	665	666	1	含笑	0	40002148	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	8300	23000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10402067	1	10405065	1	10404064	1	10406530	1	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030140	656	42	0	1	0	0	51	115	凡心似蝶	#{MIS_TAR_ADD_530}	#{Mis_L_Longquan_1030140}	#{RW_20080321_391}	#{RW_20080321_393}	31	阿青	0	31	阿青	0	38	655	-1	-1	2		0	20103003	0	2		0	20103002	0	2		0	0	0	0		0	0	0	0		0	0	0	0	0	4900	10600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030141	657	42	0	1	0	0	51	115	归风之迷	#{MIS_TAR_ADD_532}	#{Mis_L_Longquan_1030141}	#{RW_20080321_392}	#{RW_20080321_394}	31	阿青	0	31	阿青	0	38	655	-1	-1	1	常归云	0	40002151	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	5400	17800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10420066	1	10422107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030150	631	40	0	1	0	0	201	256	阿松的请求	#{MIS_TAR_ADD_556}	#{Mis_L_Miaojiang_1030150}	#{RW_20080321_395}	#{RW_20080321_399}	29	阿松	0	29	阿松	0	96	-1	-1	-1	1	沼泽鳄鱼	0	40002085	40	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	88000	0	90000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030151	634	40	0	1	0	0	182	265	厄修罗	#{MIS_TAR_ADD_558}	#{Mis_L_Miaojiang_1030151}	#{RW_20080321_396}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	厄修罗	0	40002087	20	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	96000	0	90000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010152	6	-1	-1	
1030152	635	40	0	1	0	0	182	265	永夜修罗	#{MIS_TAR_ADD_560}	#{Mis_L_Miaojiang_1030152}	#{RW_20080321_397}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	永夜修罗	0	40002088	20	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	96000	0	90000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030153	636	40	0	1	0	0	182	265	万劫修罗	#{MIS_TAR_ADD_562}	#{Mis_L_Miaojiang_1030153}	#{RW_20080321_398}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	万劫修罗	0	40002089	20	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	96000	0	90000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030160	624	39	0	1	0	0	157	223	藤甲贼元帅	#{MIS_TAR_ADD_566}	#{Mis_L_Nanzhao_1030160}	#{RW_20080321_401}	#{RW_20080321_403}	28	扬明	0	28	扬明	0	87	623	-1	-1	1	兀骨突	0	40002079	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	65000	0	66000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010160	6	-1	-1	
1030161	627	39	0	1	0	0	147	47	真实的谎言	#{MIS_TAR_ADD_568}	#{Mis_L_Nanzhao_1030161}	#{RW_20080321_402}	#{RW_20080321_404}	28	白兰	0	28	白兰	0	87	-1	-1	-1	1	图巴鲁	0	40002080	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	66000	0	66000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010161	6	-1	-1	
1030170	610	38	0	1	0	0	46	51	萝卜要蜘蛛	#{MIS_TAR_ADD_572}	#{Mis_L_Yuxi_1030170}	#{RW_20080321_405}	#{RW_20080321_408}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	2	剧毒狼蛛	0	40002113	30	10	剧毒狼蛛	0	40002114	30	10		0	0	0	0		0	0	0	0		0	0	0	0	29000	0	56000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030171	611	38	0	1	0	0	46	51	萝卜要云母	#{MIS_TAR_ADD_574}	#{Mis_L_Yuxi_1030171}	#{RW_20080321_406}	#{RW_20080321_409}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	1	云母石人	0	40002153	25	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	29800	0	34000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030172	612	38	0	1	0	0	46	51	萝卜要龙血	#{MIS_TAR_ADD_576}	#{Mis_L_Yuxi_1030172}	#{RW_20080321_407}	#{RW_20080321_410}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	1	龙血石人	0	40002154	25	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	30100	0	38000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030180	670	44	0	1	0	0	170	73	无限商机	#{MIS_TAR_ADD_580}	#{Mis_L_Meiling_1030180}	#{RW_20080321_411}	#{RW_20080321_412}	33	沈万三	0	33	沈万三	0	65	-1	-1	-1	1	红袍蜘蛛	0	40002054	25	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	37300	0	32000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030190	682	45	0	1	0	0	115	58	血字的研究	#{MIS_TAR_ADD_584}	#{Mis_L_Nanhai_1030190}	#{RW_20080321_413}	#{RW_20080321_416}	34	叶流凡	0	34	叶流凡	0	80	-1	-1	-1	1	南海鳄鱼	0	40002062	20	6		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	50000	0	54000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413076	1	10411082	1	10410075	1	0	0	0	0	0	0	0	0	0	0	1010191	6	-1	-1	
1030191	684	45	0	1	0	0	206	237	五个橘核	#{MIS_TAR_ADD_586}	#{Mis_L_Nanhai_1030191}	#{RW_20080321_414}	#{RW_20080321_417}	34	岳仲秋	0	34	岳仲秋	0	80	-1	-1	-1	1	石老人	0	40002072	20	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	52000	0	56800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10421073	1	10413077	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030193	686	45	0	1	0	0	115	58	一线光明	#{MIS_TAR_ADD_588}	#{Mis_L_Nanhai_1030193}	#{RW_20080321_415}	#{RW_20080321_418}	34	叶流凡	0	34	叶流凡	0	82	683	-1	-1	1	岳不平	0	40002074	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	56000	0	60000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10400069	1	10404068	1	10403068	1	10406820	1	0	0	0	0	0	0	0	0	1010195	6	-1	-1	
1030200	692	46	0	1	0	0	241	159	盗神	#{MIS_TAR_ADD_592}	#{Mis_L_Qiongzhou_1030200}	#{RW_20080321_419}	#{RW_20080321_422}	35	元子衿	0	35	元子衿	0	92	-1	-1	-1	1	南海盗神	0	40002077	5	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	72000	0	78000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410079	1	10411085	1	0	0	0	0	0	0	0	0	0	0	0	0	1010200	6	-1	-1	
