INT	INT	INT	INT	INT	INT	INT
159	4544	9	4545	38002969	3	600000
160	4545	10	-1	-1	-1	0
161	4546	1	4547	38002970	1	200000
162	4547	2	4548	38002970	1	200000
163	4548	3	4549	38002970	2	400000
164	4549	4	4550	38002970	2	400000
165	4550	5	4551	38002970	2	400000
166	4551	6	4552	38002970	3	600000
167	4552	7	4553	38002970	3	600000
168	4553	8	4554	38002970	3	600000
169	4554	9	4555	38002970	3	600000
170	4555	10	-1	-1	-1	0
171	4556	1	4557	38002971	1	200000
172	4557	2	4558	38002971	1	200000
173	4558	3	4559	38002971	2	400000
174	4559	4	4560	38002971	2	400000
175	4560	5	4561	38002971	2	400000
176	4561	6	4562	38002971	3	600000
177	4562	7	4563	38002971	3	600000
178	4563	8	4564	38002971	3	600000
179	4564	9	4565	38002971	3	600000
180	4565	10	-1	-1	-1	0
181	4567	1	4568	38002969	1	200000
182	4568	2	4569	38002969	1	200000
183	4569	3	4570	38002969	2	400000
184	4570	4	4571	38002969	2	400000
185	4571	5	4572	38002969	2	400000
186	4572	6	4573	38002969	3	600000
187	4573	7	4574	38002969	3	600000
188	4574	8	4575	38002969	3	600000
189	4575	9	4576	38002969	3	600000
190	4576	10	-1	-1	-1	0
191	4577	1	4578	38002970	1	200000
192	4578	2	4579	38002970	1	200000
193	4579	3	4580	38002970	2	400000
194	4580	4	4581	38002970	2	400000
195	4581	5	4582	38002970	2	400000
196	4582	6	4583	38002970	3	600000
197	4583	7	4584	38002970	3	600000
198	4584	8	4585	38002970	3	600000
199	4585	9	4586	38002970	3	600000
200	4586	10	-1	-1	-1	0
201	4587	1	4588	38002971	1	200000
202	4588	2	4589	38002971	1	200000
203	4589	3	4590	38002971	2	400000
204	4590	4	4591	38002971	2	400000
205	4591	5	4592	38002971	2	400000
206	4592	6	4593	38002971	3	600000
207	4593	7	4594	38002971	3	600000
208	4594	8	4595	38002971	3	600000
209	4595	9	4596	38002971	3	600000
210	4596	10	-1	-1	-1	0
211	3975	1	3976	38002900	1	100000
212	3976	2	3977	38002900	1	100000
213	3977	3	3978	38002900	2	200000
214	3978	4	3979	38002900	2	200000
215	3979	5	3980	38002900	3	300000
216	3980	6	3981	38002900	4	400000
217	3981	7	3982	38002900	5	500000
218	3982	8	3983	38002900	6	600000
219	3983	9	3984	38002900	8	800000
220	3984	10	-1	-1	-1	0
221	4168	1	4169	38002900	1	100000
222	4169	2	4170	38002900	1	100000
223	4170	3	4171	38002900	2	200000
224	4171	4	4172	38002900	2	200000
225	4172	5	4173	38002900	3	300000
226	4173	6	4174	38002900	4	400000
227	4174	7	4175	38002900	5	500000
228	4175	8	4176	38002900	6	600000
229	4176	9	4177	38002900	8	800000
230	4177	10	-1	-1	-1	0
231	4178	1	4179	38002900	1	100000
232	4179	2	4180	38002900	1	100000
233	4180	3	4181	38002900	2	200000
234	4181	4	4182	38002900	2	200000
235	4182	5	4183	38002900	3	300000
236	4183	6	4184	38002900	4	400000
237	4184	7	4185	38002900	5	500000
238	4185	8	4186	38002900	6	600000
239	4186	9	4187	38002900	8	800000
240	4187	10	-1	-1	-1	0
241	4188	1	4189	38002900	1	100000
242	4189	2	4190	38002900	1	100000
243	4190	3	4191	38002900	2	200000
244	4191	4	4192	38002900	2	200000
245	4192	5	4193	38002900	3	300000
246	4193	6	4194	38002900	4	400000
247	4194	7	4195	38002900	5	500000
248	4195	8	4196	38002900	6	600000
249	4196	9	4197	38002900	8	800000
250	4197	10	-1	-1	-1	0
251	4198	1	4199	38002900	1	100000
252	4199	2	4200	38002900	1	100000
253	4200	3	4201	38002900	2	200000
254	4201	4	4202	38002900	2	200000
255	4202	5	4203	38002900	3	300000
256	4203	6	4204	38002900	4	400000
257	4204	7	4205	38002900	5	500000
258	4205	8	4206	38002900	6	600000
259	4206	9	4207	38002900	8	800000
260	4207	10	-1	-1	-1	0
261	4208	1	4209	38002900	1	100000
262	4209	2	4210	38002900	1	100000
263	4210	3	4211	38002900	2	200000
264	4211	4	4212	38002900	2	200000
265	4212	5	4213	38002900	3	300000
266	4213	6	4214	38002900	4	400000
267	4214	7	4215	38002900	5	500000
268	4215	8	4216	38002900	6	600000
269	4216	9	4217	38002900	8	800000
270	4217	10	-1	-1	-1	0
271	4218	1	4219	38002900	1	100000
272	4219	2	4220	38002900	1	100000
273	4220	3	4221	38002900	2	200000
274	4221	4	4222	38002900	2	200000
275	4222	5	4223	38002900	3	300000
276	4223	6	4224	38002900	4	400000
277	4224	7	4225	38002900	5	500000
278	4225	8	4226	38002900	6	600000
279	4226	9	4227	38002900	8	800000
280	4227	10	-1	-1	-1	0
281	3985	1	3986	38002900	1	100000
282	3986	2	3987	38002900	1	100000
283	3987	3	3988	38002900	2	200000
284	3988	4	3989	38002900	2	200000
285	3989	5	3990	38002900	3	300000
286	3990	6	3991	38002900	4	400000
287	3991	7	3992	38002900	5	500000
288	3992	8	3993	38002900	6	600000
289	3993	9	3994	38002900	8	800000
290	3994	10	-1	-1	-1	0
291	4228	1	4229	38002900	1	100000
292	4229	2	4230	38002900	1	100000
293	4230	3	4231	38002900	2	200000
294	4231	4	4232	38002900	2	200000
295	4232	5	4233	38002900	3	300000
296	4233	6	4234	38002900	4	400000
297	4234	7	4235	38002900	5	500000
298	4235	8	4236	38002900	6	600000
299	4236	9	4237	38002900	8	800000
300	4237	10	-1	-1	-1	0
301	4238	1	4239	38002900	1	100000
302	4239	2	4240	38002900	1	100000
303	4240	3	4241	38002900	2	200000
304	4241	4	4242	38002900	2	200000
305	4242	5	4243	38002900	3	300000
306	4243	6	4244	38002900	4	400000
307	4244	7	4245	38002900	5	500000
308	4245	8	4246	38002900	6	600000
309	4246	9	4247	38002900	8	800000
310	4247	10	-1	-1	-1	0
311	4248	1	4249	38002900	1	100000
312	4249	2	4250	38002900	1	100000
313	4250	3	4251	38002900	2	200000
314	4251	4	4252	38002900	2	200000
315	4252	5	4253	38002900	3	300000
316	4253	6	4254	38002900	4	400000
317	4254	7	4255	38002900	5	500000
318	4255	8	4256	38002900	6	600000
319	4256	9	4257	38002900	8	800000
320	4257	10	-1	-1	-1	0
321	4258	1	4259	38002900	1	100000
322	4259	2	4260	38002900	1	100000
323	4260	3	4261	38002900	2	200000
324	4261	4	4262	38002900	2	200000
325	4262	5	4263	38002900	3	300000
326	4263	6	4264	38002900	4	400000
327	4264	7	4265	38002900	5	500000
328	4265	8	4266	38002900	6	600000
329	4266	9	4267	38002900	8	800000
330	4267	10	-1	-1	-1	0
331	4268	1	4269	38002900	1	100000
332	4269	2	4270	38002900	1	100000
333	4270	3	4271	38002900	2	200000
334	4271	4	4272	38002900	2	200000
335	4272	5	4273	38002900	3	300000
336	4273	6	4274	38002900	4	400000
337	4274	7	4275	38002900	5	500000
338	4275	8	4276	38002900	6	600000
339	4276	9	4277	38002900	8	800000
340	4277	10	-1	-1	-1	0
341	4278	1	4279	38002900	1	100000
342	4279	2	4280	38002900	1	100000
343	4280	3	4281	38002900	2	200000
344	4281	4	4282	38002900	2	200000
345	4282	5	4283	38002900	3	300000
346	4283	6	4284	38002900	4	400000
347	4284	7	4285	38002900	5	500000
348	4285	8	4286	38002900	6	600000
349	4286	9	4287	38002900	8	800000
350	4287	10	-1	-1	-1	0
351	3995	1	3996	38002900	1	100000
352	3996	2	3997	38002900	1	100000
353	3997	3	3998	38002900	2	200000
354	3998	4	3999	38002900	2	200000
355	3999	5	4003	38002900	3	300000
356	4003	6	4004	38002900	4	400000
357	4004	7	4005	38002900	5	500000
358	4005	8	4006	38002900	6	600000
359	4006	9	4007	38002900	8	800000
360	4007	10	-1	-1	-1	0
361	4288	1	4289	38002900	1	100000
362	4289	2	4290	38002900	1	100000
363	4290	3	4291	38002900	2	200000
364	4291	4	4292	38002900	2	200000
365	4292	5	4293	38002900	3	300000
366	4293	6	4294	38002900	4	400000
367	4294	7	4295	38002900	5	500000
368	4295	8	4296	38002900	6	600000
369	4296	9	4297	38002900	8	800000
370	4297	10	-1	-1	-1	0
371	4298	1	4299	38002900	1	100000
372	4299	2	4300	38002900	1	100000
373	4300	3	4301	38002900	2	200000
374	4301	4	4302	38002900	2	200000
375	4302	5	4303	38002900	3	300000
376	4303	6	4304	38002900	4	400000
377	4304	7	4305	38002900	5	500000
378	4305	8	4306	38002900	6	600000
379	4306	9	4307	38002900	8	800000
380	4307	10	-1	-1	-1	0
381	4308	1	4309	38002900	1	100000
382	4309	2	4310	38002900	1	100000
383	4310	3	4311	38002900	2	200000
384	4311	4	4312	38002900	2	200000
385	4312	5	4313	38002900	3	300000
386	4313	6	4314	38002900	4	400000
387	4314	7	4315	38002900	5	500000
388	4315	8	4316	38002900	6	600000
389	4316	9	4317	38002900	8	800000
390	4317	10	-1	-1	-1	0
391	4318	1	4319	38002900	1	100000
392	4319	2	4320	38002900	1	100000
393	4320	3	4321	38002900	2	200000
394	4321	4	4322	38002900	2	200000
395	4322	5	4323	38002900	3	300000
396	4323	6	4324	38002900	4	400000
397	4324	7	4325	38002900	5	500000
398	4325	8	4326	38002900	6	600000
399	4326	9	4327	38002900	8	800000
400	4327	10	-1	-1	-1	0
401	4328	1	4329	38002900	1	100000
402	4329	2	4330	38002900	1	100000
403	4330	3	4331	38002900	2	200000
404	4331	4	4332	38002900	2	200000
405	4332	5	4333	38002900	3	300000
406	4333	6	4334	38002900	4	400000
407	4334	7	4335	38002900	5	500000
408	4335	8	4336	38002900	6	600000
409	4336	9	4337	38002900	8	800000
410	4337	10	-1	-1	-1	0
411	4338	1	4339	38002900	1	100000
412	4339	2	4340	38002900	1	100000
413	4340	3	4341	38002900	2	200000
414	4341	4	4342	38002900	2	200000
415	4342	5	4343	38002900	3	300000
416	4343	6	4344	38002900	4	400000
417	4344	7	4345	38002900	5	500000
418	4345	8	4346	38002900	6	600000
419	4346	9	4347	38002900	8	800000
420	4347	10	-1	-1	-1	0
421	4008	1	4009	38002900	1	100000
422	4009	2	4010	38002900	1	100000
423	4010	3	4011	38002900	2	200000
424	4011	4	4012	38002900	2	200000
425	4012	5	4013	38002900	3	300000
426	4013	6	4014	38002900	4	400000
427	4014	7	4015	38002900	5	500000
428	4015	8	4016	38002900	6	600000
429	4016	9	4017	38002900	8	800000
430	4017	10	-1	-1	-1	0
431	4348	1	4349	38002900	1	100000
432	4349	2	4350	38002900	1	100000
433	4350	3	4351	38002900	2	200000
434	4351	4	4352	38002900	2	200000
435	4352	5	4353	38002900	3	300000
436	4353	6	4354	38002900	4	400000
437	4354	7	4355	38002900	5	500000
438	4355	8	4356	38002900	6	600000
439	4356	9	4357	38002900	8	800000
440	4357	10	-1	-1	-1	0
441	4358	1	4359	38002900	1	100000
442	4359	2	4360	38002900	1	100000
443	4360	3	4361	38002900	2	200000
444	4361	4	4362	38002900	2	200000
445	4362	5	4363	38002900	3	300000
446	4363	6	4364	38002900	4	400000
447	4364	7	4365	38002900	5	500000
448	4365	8	4366	38002900	6	600000
449	4366	9	4367	38002900	8	800000
450	4367	10	-1	-1	-1	0
451	4368	1	4369	38002900	1	100000
452	4369	2	4370	38002900	1	100000
453	4370	3	4371	38002900	2	200000
454	4371	4	4372	38002900	2	200000
455	4372	5	4373	38002900	3	300000
456	4373	6	4374	38002900	4	400000
457	4374	7	4375	38002900	5	500000
458	4375	8	4376	38002900	6	600000
459	4376	9	4377	38002900	8	800000
460	4377	10	-1	-1	-1	0
461	4378	1	4379	38002900	1	100000
462	4379	2	4380	38002900	1	100000
463	4380	3	4381	38002900	2	200000
464	4381	4	4382	38002900	2	200000
465	4382	5	4383	38002900	3	300000
466	4383	6	4384	38002900	4	400000
467	4384	7	4385	38002900	5	500000
468	4385	8	4386	38002900	6	600000
469	4386	9	4387	38002900	8	800000
470	4387	10	-1	-1	-1	0
471	4388	1	4389	38002900	1	100000
472	4389	2	4390	38002900	1	100000
473	4390	3	4391	38002900	2	200000
474	4391	4	4392	38002900	2	200000
475	4392	5	4393	38002900	3	300000
476	4393	6	4394	38002900	4	400000
477	4394	7	4395	38002900	5	500000
478	4395	8	4396	38002900	6	600000
479	4396	9	4397	38002900	8	800000
480	4397	10	-1	-1	-1	0
481	4398	1	4399	38002900	1	100000
482	4399	2	4400	38002900	1	100000
483	4400	3	4401	38002900	2	200000
484	4401	4	4402	38002900	2	200000
485	4402	5	4403	38002900	3	300000
486	4403	6	4404	38002900	4	400000
487	4404	7	4405	38002900	5	500000
488	4405	8	4406	38002900	6	600000
489	4406	9	4407	38002900	8	800000
490	4407	10	-1	-1	-1	0
491	4018	1	4019	38002901	1	100000
492	4019	2	4020	38002901	1	100000
493	4020	3	4021	38002901	2	200000
494	4021	4	4022	38002901	2	200000
495	4022	5	4023	38002901	3	300000
496	4023	6	4024	38002901	4	400000
497	4024	7	4025	38002901	5	500000
498	4025	8	4026	38002901	6	600000
499	4026	9	4027	38002901	8	800000
500	4027	10	-1	-1	-1	0
501	4028	1	4029	38002901	1	100000
502	4029	2	4030	38002901	1	100000
503	4030	3	4031	38002901	2	200000
504	4031	4	4032	38002901	2	200000
505	4032	5	4033	38002901	3	300000
506	4033	6	4034	38002901	4	400000
507	4034	7	4035	38002901	5	500000
508	4035	8	4036	38002901	6	600000
509	4036	9	4037	38002901	8	800000
510	4037	10	-1	-1	-1	0
511	4038	1	4039	38002901	1	100000
512	4039	2	4040	38002901	1	100000
513	4040	3	4041	38002901	2	200000
514	4041	4	4042	38002901	2	200000
515	4042	5	4043	38002901	3	300000
516	4043	6	4044	38002901	4	400000
517	4044	7	4045	38002901	5	500000
518	4045	8	4046	38002901	6	600000
519	4046	9	4047	38002901	8	800000
520	4047	10	-1	-1	-1	0
521	4048	1	4049	38002901	1	100000
522	4049	2	4050	38002901	1	100000
523	4050	3	4051	38002901	2	200000
524	4051	4	4052	38002901	2	200000
525	4052	5	4053	38002901	3	300000
526	4053	6	4054	38002901	4	400000
527	4054	7	4055	38002901	5	500000
528	4055	8	4056	38002901	6	600000
529	4056	9	4057	38002901	8	800000
530	4057	10	-1	-1	-1	0
531	4058	1	4059	38002901	1	100000
532	4059	2	4060	38002901	1	100000
533	4060	3	4061	38002901	2	200000
534	4061	4	4062	38002901	2	200000
535	4062	5	4063	38002901	3	300000
536	4063	6	4064	38002901	4	400000
537	4064	7	4065	38002901	5	500000
538	4065	8	4066	38002901	6	600000
539	4066	9	4067	38002901	8	800000
540	4067	10	-1	-1	-1	0
541	4068	1	4069	38002901	1	100000
542	4069	2	4070	38002901	1	100000
543	4070	3	4071	38002901	2	200000
544	4071	4	4072	38002901	2	200000
545	4072	5	4073	38002901	3	300000
546	4073	6	4074	38002901	4	400000
547	4074	7	4075	38002901	5	500000
548	4075	8	4076	38002901	6	600000
549	4076	9	4077	38002901	8	800000
550	4077	10	-1	-1	-1	0
551	4078	1	4079	38002901	1	100000
552	4079	2	4080	38002901	1	100000
553	4080	3	4081	38002901	2	200000
554	4081	4	4082	38002901	2	200000
555	4082	5	4083	38002901	3	300000
556	4083	6	4084	38002901	4	400000
557	4084	7	4085	38002901	5	500000
558	4085	8	4086	38002901	6	600000
559	4086	9	4087	38002901	8	800000
560	4087	10	-1	-1	-1	0
561	4088	1	4089	38002901	1	100000
562	4089	2	4090	38002901	1	100000
563	4090	3	4091	38002901	2	200000
564	4091	4	4092	38002901	2	200000
565	4092	5	4093	38002901	3	300000
566	4093	6	4094	38002901	4	400000
567	4094	7	4095	38002901	5	500000
568	4095	8	4096	38002901	6	600000
569	4096	9	4097	38002901	8	800000
570	4097	10	-1	-1	-1	0
571	4098	1	4099	38002901	1	100000
572	4099	2	4100	38002901	1	100000
573	4100	3	4101	38002901	2	200000
574	4101	4	4102	38002901	2	200000
575	4102	5	4103	38002901	3	300000
576	4103	6	4104	38002901	4	400000
577	4104	7	4105	38002901	5	500000
578	4105	8	4106	38002901	6	600000
579	4106	9	4107	38002901	8	800000
580	4107	10	-1	-1	-1	0
581	4108	1	4109	38002901	1	100000
582	4109	2	4110	38002901	1	100000
583	4110	3	4111	38002901	2	200000
584	4111	4	4112	38002901	2	200000
585	4112	5	4113	38002901	3	300000
586	4113	6	4114	38002901	4	400000
587	4114	7	4115	38002901	5	500000
588	4115	8	4116	38002901	6	600000
589	4116	9	4117	38002901	8	800000
590	4117	10	-1	-1	-1	0
591	4118	1	4119	38002901	1	100000
592	4119	2	4120	38002901	1	100000
593	4120	3	4121	38002901	2	200000
594	4121	4	4122	38002901	2	200000
595	4122	5	4123	38002901	3	300000
596	4123	6	4124	38002901	4	400000
597	4124	7	4125	38002901	5	500000
598	4125	8	4126	38002901	6	600000
599	4126	9	4127	38002901	8	800000
600	4127	10	-1	-1	-1	0
601	4128	1	4129	38002901	1	100000
602	4129	2	4130	38002901	1	100000
603	4130	3	4131	38002901	2	200000
604	4131	4	4132	38002901	2	200000
605	4132	5	4133	38002901	3	300000
606	4133	6	4134	38002901	4	400000
607	4134	7	4135	38002901	5	500000
608	4135	8	4136	38002901	6	600000
609	4136	9	4137	38002901	8	800000
610	4137	10	-1	-1	-1	0
611	4138	1	4139	38002901	1	100000
612	4139	2	4140	38002901	1	100000
613	4140	3	4141	38002901	2	200000
614	4141	4	4142	38002901	2	200000
615	4142	5	4143	38002901	3	300000
616	4143	6	4144	38002901	4	400000
617	4144	7	4145	38002901	5	500000
618	4145	8	4146	38002901	6	600000
619	4146	9	4147	38002901	8	800000
620	4147	10	-1	-1	-1	0
621	4148	1	4149	38002901	1	100000
622	4149	2	4150	38002901	1	100000
623	4150	3	4151	38002901	2	200000
624	4151	4	4152	38002901	2	200000
625	4152	5	4153	38002901	3	300000
626	4153	6	4154	38002901	4	400000
627	4154	7	4155	38002901	5	500000
628	4155	8	4156	38002901	6	600000
629	4156	9	4157	38002901	8	800000
630	4157	10	-1	-1	-1	0
631	4158	1	4159	38002901	1	100000
632	4159	2	4160	38002901	1	100000
633	4160	3	4161	38002901	2	200000
634	4161	4	4162	38002901	2	200000
635	4162	5	4163	38002901	3	300000
636	4163	6	4164	38002901	4	400000
637	4164	7	4165	38002901	5	500000
638	4165	8	4166	38002901	6	600000
639	4166	9	4167	38002901	8	800000
640	4167	10	-1	-1	-1	0
641	4597	1	4598	38002901	1	100000
642	4598	2	4599	38002901	1	100000
643	4599	3	4600	38002901	2	200000
644	4600	4	4601	38002901	2	200000
645	4601	5	4602	38002901	3	300000
646	4602	6	4603	38002901	4	400000
647	4603	7	4604	38002901	5	500000
648	4604	8	4605	38002901	6	600000
649	4605	9	4606	38002901	8	800000
650	4606	10	-1	-1	-1	0
