INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
18	凝望	#{DWJJ_240329_229}	命中率增加%s%%#r#G单个纹刻满级效果为3%%，全纹刻总生效上限为6%%	#cfff263当前已激活的纹刻共使命中率增加%s%%	DWJinJie05_13	DWJinJie05_13	DWJinJie05_13	DWJinJie05_14	DWJinJie05_14	DWJinJie05_14	DWJinJie05_15	DWJinJie05_15	DWJinJie05_15	DWJinJie05_16	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900235
19	废弃	#{DWJJ_240329_230}	废弃	废弃	DWJinJie09_1	DWJinJie09_1	DWJinJie09_1	DWJinJie09_2	DWJinJie09_2	DWJinJie09_2	DWJinJie09_3	DWJinJie09_3	DWJinJie09_3	DWJinJie09_4	100	200	300	400	500	600	700	800	900	1000	1000	-1	10	0
20	穿心	#{DWJJ_240329_231}	对目标造成会心一击伤害时，有25%%概率使此伤害增加%s%%#r#G单个纹刻满级增伤效果为25%%，全纹刻总生效上限为50%%	#cfff263当前已激活的纹刻共使会心一击伤害增加%s%%	DWJinJie06_9	DWJinJie06_9	DWJinJie06_9	DWJinJie06_10	DWJinJie06_10	DWJinJie06_10	DWJinJie06_11	DWJinJie06_11	DWJinJie06_11	DWJinJie06_12	20	40	60	80	100	130	160	190	220	250	500	-1	10	30900238
21	废弃	#{DWJJ_240329_232}	废弃	废弃	DWJinJie02_5	DWJinJie02_5	DWJinJie02_5	DWJinJie02_6	DWJinJie02_6	DWJinJie02_6	DWJinJie02_7	DWJinJie02_7	DWJinJie02_7	DWJinJie02_8	3	6	9	12	15	18	21	24	27	30	60	-1	10	0
22	哀冰	#{DWJJ_240329_233}	攻击目标时，当自身减冰抗高于目标冰抗时，超出的部分可按照每200：%s的比例转化为减冰抗下限，最多获得16点减冰抗下限#r#G单个纹刻满级效果为200：1，全纹刻总生效上限为200:2	#cfff263当前已激活的纹刻总减冰抗下限比例为200：%s	DWJinJie06_13	DWJinJie06_13	DWJinJie06_13	DWJinJie06_14	DWJinJie06_14	DWJinJie06_14	DWJinJie06_15	DWJinJie06_15	DWJinJie06_15	DWJinJie06_16	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900239
23	泣火	#{DWJJ_240329_234}	攻击目标时，当自身减火抗高于目标火抗时，超出的部分可按照每200：%s的比例转化为减火抗下限，最多获得16点减火抗下限#r#G单个纹刻满级效果为200：1，全纹刻总生效上限为200:2	#cfff263当前已激活的纹刻总减火抗下限比例为200：%s	DWJinJie07_1	DWJinJie07_1	DWJinJie07_1	DWJinJie07_2	DWJinJie07_2	DWJinJie07_2	DWJinJie07_3	DWJinJie07_3	DWJinJie07_3	DWJinJie07_4	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900240
24	悲玄	#{DWJJ_240329_235}	攻击目标时，当自身减玄抗高于目标玄抗时，超出的部分可按照每200：%s的比例转化为减玄抗下限，最多获得16点减玄抗下限#r#G单个纹刻满级效果为200：1，全纹刻总生效上限为200:2	#cfff263当前已激活的纹刻总减玄抗下限比例为200：%s	DWJinJie07_5	DWJinJie07_5	DWJinJie07_5	DWJinJie07_6	DWJinJie07_6	DWJinJie07_6	DWJinJie07_7	DWJinJie07_7	DWJinJie07_7	DWJinJie07_8	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900241
25	凄毒	#{DWJJ_240329_236}	攻击目标时，当自身减毒抗高于目标毒抗时，超出的部分可按照每200：%s的比例转化为减毒抗下限，最多获得16点减毒抗下限#r#G单个纹刻满级效果为200：1，全纹刻总生效上限为200:2	#cfff263当前已激活的纹刻总减毒抗下限比例为200：%s	DWJinJie07_9	DWJinJie07_9	DWJinJie07_9	DWJinJie07_10	DWJinJie07_10	DWJinJie07_10	DWJinJie07_11	DWJinJie07_11	DWJinJie07_11	DWJinJie07_12	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900242
26	无影	#{DWJJ_240329_237}	闪避率增加%s%%#r#G单个纹刻满级效果为3%%，全纹刻总生效上限为6%%	#cfff263当前已激活的纹刻共使闪避率增加%s%%	DWJinJie02_9	DWJinJie02_9	DWJinJie02_9	DWJinJie02_10	DWJinJie02_10	DWJinJie02_10	DWJinJie02_11	DWJinJie02_11	DWJinJie02_11	DWJinJie02_12	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900223
27	闭熄	#{DWJJ_240329_238}	自身释放的封穴效果持续时间增加%s%%#r#G单个纹刻满级效果为10%%，全纹刻总生效上限为20%%	#cfff263当前已激活的纹刻总封穴效果持续时间增加%s%%	DWJinJie09_5	DWJinJie09_5	DWJinJie09_5	DWJinJie09_6	DWJinJie09_6	DWJinJie09_6	DWJinJie09_7	DWJinJie09_7	DWJinJie09_7	DWJinJie09_8	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900248
28	僵死	#{DWJJ_240329_239}	自身释放的麻痹效果持续时间增加%s%%#r#G单个纹刻满级效果为10%%，全纹刻总生效上限为20%%	#cfff263当前已激活的纹刻总麻痹效果持续时间增加%s%%	DWJinJie09_9	DWJinJie09_9	DWJinJie09_9	DWJinJie09_10	DWJinJie09_10	DWJinJie09_10	DWJinJie09_11	DWJinJie09_11	DWJinJie09_11	DWJinJie09_12	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900249
29	遥夜	#{DWJJ_240329_240}	自身释放的失明效果持续时间增加%s%%#r#G单个纹刻满级效果为10%%，全纹刻总生效上限为20%%	#cfff263当前已激活的纹刻总失明效果持续时间增加%s%%	DWJinJie09_13	DWJinJie09_13	DWJinJie09_13	DWJinJie09_14	DWJinJie09_14	DWJinJie09_14	DWJinJie09_15	DWJinJie09_15	DWJinJie09_15	DWJinJie09_16	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900250
30	永锢	#{DWJJ_240329_241}	自身释放的封印效果持续时间增加%s%%#r#G单个纹刻满级效果为10%%，全纹刻总生效上限为20%%	#cfff263当前已激活的纹刻总封印效果持续时间增加%s%%	DWJinJie10_1	DWJinJie10_1	DWJinJie10_1	DWJinJie10_2	DWJinJie10_2	DWJinJie10_2	DWJinJie10_3	DWJinJie10_3	DWJinJie10_3	DWJinJie10_4	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900251
31	散弃	#{DWJJ_240329_242}	自身释放的散功效果持续时间增加%s%%#r#G单个纹刻满级效果为10%%，全纹刻总生效上限为20%%	#cfff263当前已激活的纹刻总散功效果持续时间增加%s%%	DWJinJie10_5	DWJinJie10_5	DWJinJie10_5	DWJinJie10_6	DWJinJie10_6	DWJinJie10_6	DWJinJie10_7	DWJinJie10_7	DWJinJie10_7	DWJinJie10_8	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900252
32	通脉	#{DWJJ_240329_243}	减少自身处于封穴状态时%s%%的持续时间#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总受到封穴效果持续时间减少%s%%	DWJinJie02_13	DWJinJie02_13	DWJinJie02_13	DWJinJie02_14	DWJinJie02_14	DWJinJie02_14	DWJinJie02_15	DWJinJie02_15	DWJinJie02_15	DWJinJie02_16	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900224
33	复健	#{DWJJ_240329_244}	减少自身处于麻痹状态时%s%%的持续时间#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总受到麻痹效果持续时间减少%s%%	DWJinJie03_1	DWJinJie03_1	DWJinJie03_1	DWJinJie03_2	DWJinJie03_2	DWJinJie03_2	DWJinJie03_3	DWJinJie03_3	DWJinJie03_3	DWJinJie03_4	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900225
34	逐光	#{DWJJ_240329_245}	减少自身处于失明状态时%s%%的持续时间#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总受到失明效果持续时间减少%s%%	DWJinJie03_5	DWJinJie03_5	DWJinJie03_5	DWJinJie03_6	DWJinJie03_6	DWJinJie03_6	DWJinJie03_7	DWJinJie03_7	DWJinJie03_7	DWJinJie03_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900226
35	破禁	#{DWJJ_240329_246}	减少自身处于封印状态时%s%%的持续时间#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总受到封印效果持续时间减少%s%%	DWJinJie03_9	DWJinJie03_9	DWJinJie03_9	DWJinJie03_10	DWJinJie03_10	DWJinJie03_10	DWJinJie03_11	DWJinJie03_11	DWJinJie03_11	DWJinJie03_12	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900227
36	安神	#{DWJJ_240329_247}	减少自身处于散功状态时%s%%的持续时间#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总受到散功效果持续时间减少%s%%	DWJinJie04_1	DWJinJie04_1	DWJinJie04_1	DWJinJie04_2	DWJinJie04_2	DWJinJie04_2	DWJinJie04_3	DWJinJie04_3	DWJinJie04_3	DWJinJie04_4	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900228
