INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标（客户端描述）$1$	任务详细描述$1$	是否有Continue	任务继续信息$1$	任务完成信息$1$	接受任务场景ID	接受任务NPC$1$	完成任务场景ID	完成任务NPC$1$	任务目标场景ID	任务目标NPC$1$	任务目标NPC是否动态	任务目标NPC对白$1$	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	固定物品1奖励数量	固定物品奖励2	固定物品2奖励数量	固定物品奖励3	固定物品3奖励数量	固定物品奖励4	固定物品4奖励数量	固定物品奖励5	固定物品5奖励数量	可选物品奖励1	可选物品1奖励数量	可选物品奖励2	可选物品2奖励数量	可选物品奖励3	可选物品3奖励数量	可选物品奖励4	可选物品4奖励数量	可选物品奖励5	可选物品5奖励数量	隐藏奖励物品1	隐藏物品1奖励数量	隐藏奖励物品2	隐藏物品2奖励数量	隐藏奖励物品3	隐藏物品3奖励数量	送物种类数量（最多5）	第一个物品ID	第一个物品数量	物品是否在接任务时由NPC给予	第二个物品ID	第二个物品数量	物品是否在接任务时由NPC给予	第三个物品ID	第三个物品数量	物品是否在接任务时由NPC给予	第四个物品ID	第四个物品数量	物品是否在接任务时由NPC给予	MissionItem_HashTable列号	第五个物品数量	物品是否在接任务时由NPC给予	后续任务INDEX	预留	预留	预留
1010030	463	14	0	1	0	0	182	81	来龙去脉	#{MIS_TAR_ADD_026}	#{Mis_S_Songshan_1010030}	1	#{RW_20080317_02}	#{RW_20080317_13}	3	萧让	3	陆松	3	陆松	0		15	-1	-1	-1	0	156	2100	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10420062	1	10422103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010031	6	-1	-1	
1010031	464	14	0	1	0	0	200	66	安神药	#{MIS_TAR_ADD_027}	#{Mis_S_Songshan_1010031}	1	#{RW_20080317_02}	#{RW_20080317_14}	3	陆松	3	柴进	3	柴进	0		15	463	-1	-1	0	156	2520	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002129	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010032	467	14	0	1	0	0	209	79	祸起萧墙	#{MIS_TAR_ADD_028}	#{Mis_S_Songshan_1010032}	0		#{RW_20080317_15}	3	陆凝霜	3	萧让	3	萧让	0		18	466	-1	-1	0	156	3780	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413063	1	10421063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010033	468	14	0	1	0	0	155	54	丹书铁券	#{MIS_TAR_ADD_029}	#{Mis_S_Songshan_1010033}	0		#{RW_20080317_16}	3	萧让	30	张叔夜	30	张叔夜	0		18	467	-1	-1	0	290	15120	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010040	640	41	0	1	0	0	164	262	美酒歌谣	#{MIS_TAR_ADD_031}	#{Mis_S_Xihu_1010040}	0		#{RW_20080317_17}	30	张叔夜	30	苏飞	30	苏飞	0		20	-1	-1	-1	0	2200	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010041	643	41	0	1	0	0	142	47	傀儡研究	#{MIS_TAR_ADD_032}	#{Mis_S_Xihu_1010041}	0		#{RW_20080317_18}	30	苏飞	30	金大坚	30	金大坚	0		23	-1	-1	-1	0	2200	11100	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010042	6	-1	-1	
1010042	644	41	0	1	0	0	164	262	修罗术	#{MIS_TAR_ADD_033}	#{Mis_S_Xihu_1010042}	0		#{RW_20080317_19}	30	金大坚	30	苏飞	30	苏飞	0		23	643	-1	-1	0	2300	8850	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410064	1	10411070	1	10413064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010043	649	41	0	1	0	0	207	49	白手起家	#{MIS_TAR_ADD_034}	#{Mis_S_Xihu_1010043}	1	#{RW_20080317_02}	#{RW_20080317_20}	30	马汉	24	刀尧	24	刀尧	0		25	-1	-1	-1	0	2500	13200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002078	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010050	528	29	0	1	0	0	165	137	尘封已久的友谊	#{MIS_TAR_ADD_036}	#{Mis_S_Yannan_1010050}	0		#{RW_20080317_21}	18	种世衡	31	雷焕	31	雷焕	0		35	-1	-1	-1	0	4800	13500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010060	533	30	0	1	0	0	232	192	神秘的来信	#{MIS_TAR_ADD_038}	#{Mis_S_Yanbei_1010060}	1	#{RW_20080317_02}	#{RW_20080317_22}	19	苗庆	19	曲端	19	曲端	0		48	530	532	-1	0	4600	800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010061	6	-1	-1	
1010061	535	30	0	1	0	0	271	50	寻找鲁平	#{MIS_TAR_ADD_039}	#{Mis_S_Yanbei_1010061}	0		#{RW_20080317_23}	19	曲端	19	鲁平	19	鲁平	0		48	533	-1	-1	0	4500	5000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010062	537	30	0	1	0	0	232	192	回复曲端	#{MIS_TAR_ADD_040}	#{Mis_S_Yanbei_1010062}	0		#{RW_20080317_24}	19	鲁平	19	曲端	19	曲端	0		48	536	-1	-1	0	4750	6000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413069	1	10401065	1	10410068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010063	539	30	0	1	0	0	194	52	一封家书	#{MIS_TAR_ADD_041}	#{Mis_S_Yanbei_1010063}	1	#{RW_20080317_02}	#{RW_20080317_25}	19	曲端	32	曲阳	32	曲阳	0		50	-1	-1	-1	0	8700	16400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002061	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010070	603	37	0	1	0	0	45	44	世外茶园	#{MIS_TAR_ADD_043}	#{Mis_S_Shilin_1010070}	0		#{RW_20080317_26}	26	郑玄	26	秦红棉	26	秦红棉	0		55	602	-1	-1	0	22000	7300	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010071	605	37	0	1	0	0	138	167	誓言	#{MIS_TAR_ADD_044}	#{Mis_S_Shilin_1010071}	1	#{RW_20080317_02}	#{RW_20080317_27}	26	杨铁信	26	郑圆	26	郑圆	0		55	-1	-1	-1	0	41200	6700	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010073	609	37	0	1	0	0	190	200	草原上的人们	#{MIS_TAR_ADD_045}	#{Mis_S_Shilin_1010073}	0		#{RW_20080317_28}	26	郑玄	20	阮老太太	20	阮老太太	0		60	608	-1	-1	0	25000	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010080	545	31	0	1	0	0	164	158	绝情剑	#{MIS_TAR_ADD_047}	#{Mis_S_Caoyuan_1010080}	0	  	#{RW_20080317_29}	20	阮诚	20	萧蔷	20	萧蔷	0		62	544	-1	-1	2130	0	12000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002065	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1030082	6	-1	-1	
1010081	549	31	0	1	0	0	170	73	闻香下马	#{MIS_TAR_ADD_048}	#{Mis_S_Caoyuan_1010081}	1	#{RW_20080317_02}	#{RW_20080317_30}	20	阮诚	33	沈万三	33	沈万三	0		65	-1	-1	-1	25300	0	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010090	553	32	0	1	0	0	168	204	辽军元帅	#{MIS_TAR_ADD_064}	#{Mis_S_Liaoxi_1010090}	0		#{RW_20080317_31}	21	博尔伦	21	耶律金	21	耶律金	0		75	552	-1	-1	49800	0	9000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010100	562	33	0	1	0	0	156	124	送药酒	#{MIS_TAR_ADD_066}	#{Mis_S_Changbai_1010100}	1	#{RW_20080317_02}	#{RW_20080317_32}	22	徒单福晋	22	完颜吴乞买	22	完颜吴乞买	0		88	-1	-1	-1	50500	0	13000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002103	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010101	565	33	0	1	0	0	234	77	寻找阿骨打	#{MIS_TAR_ADD_067}	#{Mis_S_Changbai_1010101}	1	#{RW_20080317_02}	#{RW_20080317_33}	22	完颜盈哥	22	完颜阿骨打	22	完颜阿骨打	0		90	560	-1	-1	53500	0	16000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002102	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010102	6	-1	-1	
1010102	566	33	0	1	0	0	117	107	韬光养晦	#{MIS_TAR_ADD_068}	#{Mis_S_Changbai_1010102}	1	#{RW_20080317_02}	#{RW_20080317_34}	22	完颜阿骨打	22	完颜呵里布	22	完颜呵里布	0		90	565	-1	-1	49700	0	15000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413079	1	10411084	1	0	0	0	0	0	0	0	0	0	0	0	0	2	40002100	1	1	40002101	1	1	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010110	580	36	0	1	0	0	57	73	舐犊情深	#{MIS_TAR_ADD_050}	#{Mis_S_Erhai_1010110}	0		#{RW_20080317_35}	24	刀尧	24	刀琅玕	24	刀琅玕	0		25	-1	-1	-1	0	1700	2400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010111	589	36	0	1	0	0	262	47	萨宁的发现	#{MIS_TAR_ADD_051}	#{Mis_S_Erhai_1010111}	0		#{RW_20080317_36}	24	萨宁	18	种世衡	18	种世衡	0		30	588	-1	-1	0	2900	3400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010120	597	35	0	1	0	0	202	108	飘雪的苍山	#{MIS_TAR_ADD_053}	#{Mis_S_Cangshan_1010120}	1	#{RW_20080317_02}	#{RW_20080317_37}	25	萨玛	25	萨桑	25	萨桑	0		43	595	596	-1	0	5400	11000	-1	0		0		0	0		10421067	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002146	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1000124	6	-1	-1	
1010121	599	35	0	1	0	0	232	192	丰厚的回报	#{MIS_TAR_ADD_054}	#{Mis_S_Cangshan_1010121}	1	#{RW_20080317_02}	#{RW_20080317_38}	25	萨桑	19	曲端	19	曲端	0		45	-1	-1	-1	0	7700	9600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002147	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010130	663	43	0	1	0	0	205	44	险情报告	#{MIS_TAR_ADD_056}	#{Mis_S_Wuyi_1010130}	1	#{RW_20080317_02}	#{RW_20080317_39}	32	紫薇	32	水仙	32	水仙	0		50	662	-1	-1	0	6200	10500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002149	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010131	668	43	0	1	0	0	195	42	辩解	#{MIS_TAR_ADD_057}	#{Mis_S_Wuyi_1010131}	0		#{RW_20080317_40}	32	曲阳	32	紫薇	32	紫薇	0		55	-1	-1	-1	0	6200	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010132	6	-1	-1	
1010132	669	43	0	1	0	0	45	44	天命最高	#{MIS_TAR_ADD_058}	#{Mis_S_Wuyi_1010132}	0		#{RW_20080317_41}	32	紫薇	26	秦红棉	26	秦红棉	0		55	668	-1	-1	0	10500	16800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010140	651	42	0	1	0	0	207	63	独上金山寺	#{MIS_TAR_ADD_060}	#{Mis_S_Longquan_1010140}	0		#{RW_20080317_42}	31	翁季之	31	法念	31	法念	0		35	-1	-1	-1	0	3800	7900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010141	655	42	0	1	0	0	51	115	往事如烟	#{MIS_TAR_ADD_061}	#{Mis_S_Longquan_1010141}	0		#{RW_20080317_43}	31	法念	31	阿青	31	阿青	0		38	-1	-1	-1	0	4700	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413067	1	10412066	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002150	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010142	659	42	0	1	0	0	202	108	日暮苍山远	#{MIS_TAR_ADD_062}	#{Mis_S_Longquan_1010142}	0		#{RW_20080317_44}	31	雷焕	25	萨桑	25	萨桑	0		40	-1	-1	-1	0	6000	12500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010150	632	40	0	1	0	0	157	223	感恩	#{MIS_TAR_ADD_070}	#{Mis_S_Miaojiang_1010150}	1	#{RW_20080317_84}	#{RW_20080317_45}	29	阿雨	28	扬明	28	扬明	0		96	-1	-1	-1	46000	0	53000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410080	1	10420078	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002086	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010151	6	-1	-1	
1010151	633	40	0	1	0	0	182	265	扬明的计划	#{MIS_TAR_ADD_071}	#{Mis_S_Miaojiang_1010151}	0		#{RW_20080317_46}	29	扬明	29	阿雨	29	阿雨	0		96	632	-1	-1	23000	0	45000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010152	637	40	0	1	0	0	157	223	修罗王的指示	#{MIS_TAR_ADD_072}	#{Mis_S_Miaojiang_1010152}	1	#{RW_20080317_85}	#{RW_20080317_47}	29	阿雨	28	扬明	28	扬明	0		98	634	635	636	22000	0	42000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10422119	1	10421076	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002090	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010160	625	39	0	1	0	0	147	47	战果报告	#{MIS_TAR_ADD_074}	#{Mis_S_Nanzhao_1010160}	1	#{RW_20080317_02}	#{RW_20080317_48}	28	扬明	28	白兰	28	白兰	0		87	624	-1	-1	68400	0	47000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10422116	1	10421074	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002079	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010161	628	39	0	1	0	0	157	223	凤纹银锁片	#{MIS_TAR_ADD_075}	#{Mis_S_Nanzhao_1010161}	1	#{RW_20080317_86}	#{RW_20080317_49}	28	白兰	28	扬明	28	扬明	0		87	627	-1	-1	68400	0	47000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10400070	1	10401068	1	10402070	1	10406870	1	0	0	0	0	0	0	0	0	1	40002080	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010162	629	39	0	1	0	0	117	108	英雄迟暮	#{MIS_TAR_ADD_076}	#{Mis_S_Nanzhao_1010162}	0		#{RW_20080317_50}	28	白景武	22	完颜呵里布	22	完颜呵里布	0		89	-1	-1	-1	64900	0	39000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010170	613	38	0	1	0	0	279	47	绝世神兵	#{MIS_TAR_ADD_078}	#{Mis_S_Yuxi_1010170}	1	#{RW_20080317_02}	#{RW_20080317_51}	27	索姆拉	27	阿黑	27	阿黑	0		70	610	611	612	21400	0	14600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410073	1	10420072	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002155	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010171	614	38	0	1	0	0	46	51	傻哥哥	#{MIS_TAR_ADD_079}	#{Mis_S_Yuxi_1010171}	1	#{RW_20080317_02}	#{RW_20080317_52}	27	阿依娜	27	萝卜	27	萝卜	0		72	-1	-1	-1	21000	0	20800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10421071	1	10404067	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002156	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
