INT	INT	STRING
125	229005	OnDefaultEvent
126	229006	OnDefaultEvent
127	229007	OnDefaultEvent
128	229008	OnDefaultEvent
129	229022	OnDefaultEvent
130	250551	OnDefaultEvent
131	600026	OnDefaultEvent
132	600032	OnDefaultEvent
133	600033	OnDefaultEvent
134	600034	OnDefaultEvent
135	600037	OnDefaultEvent
136	808071	PlayerTip
137	400932	GotoHuoyangu
138	400933	GotoGaochangmigong
139	400938	GotoTKLMG
140	50042	AskQuestion
141	50042	AnswerQuestion
142	50042	OnOverTime
143	147	OnZhuanXingRequest
144	147	OnZhuanXingConfirm
145	400925	GotoYinaixueyuan
146	400123	GotoPetisland_1
147	400003	GotoJinghu
148	400027	GotoJinghu1
149	400018	GotoJinghu2
150	400926	GotoYexihu
151	809266	FinishUnBind
152	808093	AskQuestion
153	808093	AnswerQuestion
154	808093	OnOverTime
155	402046	GotoLoulan
156	400944	GotoHanXueLing
157	2026	GotoShuHeGuZhen
158	82	GotoShuHeGuZhen
159	128	GotoShuHeGuZhen
160	1028	GotoShuHeGuZhen
161	1081	GotoShuHeGuZhen
162	25113	GotoShuHeGuZhen
163	1100	GotoShuHeGuZhen
164	805012	DrawPay
165	805009	BanggongExchange
166	125013	GotoShuHeGuZhen
167	805012	PutGuildMoney
168	15010	GotoShuHeGuZhen
169	10008	GotoShuHeGuZhen
170	11003	GotoShuHeGuZhen
171	9009	GotoShuHeGuZhen
172	13005	GotoShuHeGuZhen
173	17005	GotoShuHeGuZhen
174	12009	GotoShuHeGuZhen
175	14007	GotoShuHeGuZhen
176	16006	GotoShuHeGuZhen
177	800118	OnGemMelting
178	311112	PetSkillLevelup
179	311112	PetMedicineHC
180	805019	PetShelizi_Done
181	805019	PetShelizi
182	300077	UseShelizi
183	600052	ChangeOK
184	888902	OpenYuanbaoShop
185	77001	GotoShuHeGuZhen
186	400963	GotoShengShouShan
187	800120	AuditGameProgess
188	892663	OnOpenUI
189	892664	OnOpenUI
190	889888	ClientQueryTrans
191	181000	AskOpenDuihuanWindow
192	701800	SetLock
193	2099	AskXiuLianLevelUp
194	2099	AskXiuLianAdvanceJingJie
195	809270	RunHunShiCompound_New
196	892666	OnClickOpenBtn
197	892666	OnUseMonthCard
198	892666	DoFunc
199	891062	OnContinueFuBenSecKill
200	891062	OnFuBenSecKill
201	891062	OpenSecKillPage
202	808062	OnGetPrize
203	809272	DoDiaowenAction
204	809272	DoEquipDWLevelUp
205	809272	DoDiaowenDivert
206	809272	DoDiaoWenChaiJie
207	809272	CheckDiaoWenChaiJie
208	830011	OnDress_Stiletto
209	830013	OnDress_Enchase
210	830015	Dress_GemCompose
211	830002	OnDressWash
212	892679	Get7DayPrize
213	892679	OnOpenXinShouNewWindow
214	892678	OpenPrizeUI
215	892678	GetLoginDaysPrize
216	181000	YBCost_GetPrize
217	889103	TakeGift
218	800119	DoMoneyToJiaozi
219	830001	OnDressPaint
220	830001	OnAutoDressPaint
221	830001	OnSuccDressPaint
222	800121	OpenUI
223	800121	GetZhouHuoYueAward
224	800121	AddHuoYueZhi
225	800109	OnPetEquipSuitUp
226	800122	OnPetEquipSuitDepart
227	809268	FinishAdjust
228	809268	FinishReAdjust
229	300300	LongZiCreatPetPair
230	300088	UseShelizi
231	800124	Pet_HH
232	800124	Pet_LXUP
233	800124	PetLingxing_Yuanbao_Pay
234	800124	Quick_Pet_LXUP
235	800106	QuickPetSavvy
#236	1031	OnLastPreCreateLevel
237	800101	OnSignalPetProcreateRegister
238	311111	OnPropagate
239	311111	OnQuickPropagate
240	311111	PetHuantong_Yuanbao_Pay
241	888800	ActiveWg
242	888800	LevelUpWg
243	888800	GradeUpWg
244	888800	OpenChangeWg
245	888800	SwitchYY
246	888800	TakeOut
247	809262	FinishMoveEnhance
248	809262	DoQuickQiangHuaByYB
249	500505	ShenQiConfirm
250	500505	OnShenqiUpgrade
251	701602	CaiLiaoCompound_New
252	891123	OnSelectItem
253	891080	OpenUI
254	891080	OnAccept
255	161	OnEventRequest
256	400978	GoToShengHuoGong
257	400158	GoToKunLunFuDi
258	891119	YXZ_Open
259	891119	GetGift_YXZ
260	791001	OnOpenMainWindow
261	791001	GetPrize
262	791005	OnOpenMainWindow
263	791005	GetPrize
264	792000	OnOpenMainWindow
265	792000	GetPrize
266	791002	OnSelectItem
267	791003	OnSelectItem
268	791006	OnSelectItem
269	791007	OnSelectItem
270	791008	OnSelectItem
271	792001	OnSelectItem
272	792002	OnSelectItem
273	889906	OnOpenMYGEHKWindow
274	889906	GetMYGEHKPrize
275	889907	OnSelectItem
276	889908	OnSelectItem
277	808110	OnOpenUI
278	808110	OnAskHeroesRoadInfo
279	808110	OnGetGaoLingPrize
280	808110	OnShowHelp
281	808110	OnBuyShopItem
282	808110	Get7DayPrize
283	892663	OnOpenUI
284	892664	OnOpenUI
285	000124	ApplyDelProtectGoods
286	000124	DelProtectGoods
287	891396	Qingrenjie_Exchange
288	891396	SeventhFestivalTopListHelp
289	891396	ClientGetQixiReceiveTopListPrize
290	891396	ClientGetQixiSendTopListPrize
291	891396	ClientAskQixiTopList
292	260001	AnqiConfirm
293	260001	Anqi2Shenzhen
294	801011	SaveNewHairColor
295	999801	OnConfirm
296	999901	OnConfirm
297	892974	Qingrenjie_Exchange
298	999900	ReverseExteriorRideToItem
299	790075	OnHunBingZhuCompoundNew
300	332207	DarkSkillAdjustForBagItem
301	332207	DoRefreshDarkSkill
302	500505	DoRefreshSuperAttr
303	002115	OnContinueCheck
304	002115	OnFinalConfirmSwitch
305	002115	OnFinalConfirmRegret
306	002115	OnRegretContinueSwitch
307	002115	OnConfirmSwitch
308	400999	GotoPetIslandPVP
309	893040	OpenUI
310	891218	UILogic
311	891218	GotoFindNpc
312	292000	ShowPreview
313	891271	DoBuyFromShop
314	893078	OnPetSoulExchange
315	893078	OnPetSoulPrizeDraw
316	800127	OnPetSoulLevelUp
317	800127	OnPetSoulXiShuXing
318	800127	OnSavePetSoulExValue
319	800127	OnPetSoulBloodLevelUp
320	800128	OnPetSoulLevelDown
321	800128	OnPetSoulFusion
322	800128	OnPetSoulSmash
323	800128	OnPetSoulPieceZhuanHua
324	410001	OnMovieEnd
325	792006	OnOpenMainWindow
326	792006	GetPrize
327	792007	OnSelectItem
328	792008	OnSelectItem
329	791010	AskOpenMainUI
330	791010	GetRewardOfPoint
331	791010	ShowHelp
332	791010	GetRewardOfEvent
333	791011	OnUIClickCallBack
334	893252	SetPosition
335	893252	SetUISelIdx
336	893252	Yuanbao_AddFuZhou
337	893252	YuanbaoBind_AddFuZhou
338	893252	AddFuZhou
339	893340	TryExteriorWeaponLevelUp
340	999904	OnConfirm
341	999903	UnlockExteriorPoss
342	893309	OnDefaultEvent
343	893259	OnDefaultEvent
344	893349	OnDefaultEvent
345	893350	OnDefaultEvent
346	893352	OnDefaultEvent
347	893353	OnDefaultEvent
348	311200	StilettoEx_3
349	311200	StilettoEx_4
350	311200	StilettoEx_Yuanbao_Pay
351	701614	EnchaseEx_3
352	701614	EnchaseEx_4
353	701614	EnchaseEx_YuanbaoPay
354	701614	SplitGemEx_YuanbaoPay
355	893242	OnAccept
356	893346	OnWeaponChoice
357	888805	DressGemTransfer
358	181000	buyitem
359	891157	OpenShop
360	891157	BuyItem
361	893379	EnterScene
362	893379	EnterSceneSiCeng
363	893060	buyitem
364	893267	GotoShuHeGuZhen
365	890253	UpdateRedEnvelopeMD
366	891062	OpenTeQuan
367	891194	ConfirmOpenTeQuan
368	891195	ConfirmOpenTeQuan
369	888808	LingYu_Wash
370	888808	LingYu_Switch
371	888808	LingYuUnbind
372	888808	LingYuWashItemCompound
373	888808	LingYuRecycle
374	888808	LingYuTransition
375	890215	AskOpenMainUI
376	890215	BuyZhanLing
377	890215	AskAddProgress
378	890215	AskActRMBReward
379	890215	AskGetReward
380	890215	AskOpenMissionUI
381	890215	AskOpenAddProgressUI
382	890063	JoinCamp
383	890063	YBbuyitem
384	890063	buyitem
385	890064	ClientActivateOnce
386	890154	UILogic
387	890154	GotoFindNpc
388	890254	Callback_Exchange
389	292007	GotoNewScene
390	998352	OnAccept
391	791099	ShowHelp
392	1069	UnBindEquip
393	998515	SpecialPetEggChoosePet
394	998324	OnAskCoupleZoneData
395	998324	BeforeDoScry
396	998324	OnDoScry
397	502023	AddTitleRequest
398	502021	Transfer
399	893342	OnOpenXuanWuDaoUI
400	805027	OnEquipRepairofEquip
401	998526	ActiveYueKa
402	998526	AskAddProgress
403	998526	OpenUI
404	998526	OpenZhengHeUI
405	998526	GetYueKaAward
406	998526	AskOpenAddProgressUI
407	998526	ClickHotPoint
408	998256	OnClientGetGift
409	890289	OnOpenUI
410	890289	OnGetReward
411	998506	OnPossPaint
412	998506	OnSuccRanSe
413	998506	OnAutoRanSe
414	998522	Restore
415	998522	Swallow
416	888812	ShenBingLevelUp
417	888812	ShenBingMelt
418	888815	ShenBingSelectSkill
419	888815	ShenBingSkillUp
420	888815	ShenBingUnlockSkill
421	888812	ShenBingTransition
422	890276	PickUpItem
423	890273	OpenUI
424	998388	GotoFindNpc
425	888818	TryOpenFashionAuction
426	888818	OpenBidUI
427	888818	Follow
428	888818	TakeBonusFashion
429	888818	TakeBackYuanBao
430	888818	BuyFashionCloth
431	888818	NewBidding
432	890086	SaoDang
433	890086	SaoDangConfirm
434	999905	OnConfirm
435	998545	SpecialPetEggChoosePet
436	998542	OnWeaponChoice
437	792012	OnOpenMainWindow
438	792012	GetPrize
439	792013	OnSelectItem
440	792014	OnSelectItem
441	998260	CallBack_BuyPermision_Confirm
442	891396	SeventhFestivalOpenDuiHuan
443	891396	SeventhFestivalDoDuiHuan
444	888820	SwitchEquipAttr
445	888820	RefreshEquipAttr
446	888820	DiscardNewEquipAttr
447	250557	ChangeSexSure
448	998655	OnOpenUI
449	998655	OnAccept
450	998585	OpenReputationShopMultiBuy
451	998585	ReputationShopBuyItem
452	998709	OnCreateNpcOnce
453	998711	ActivateFromClient
454	998711	ResetJiHeShaoSkillCD
455	998711	TransferMe
456	998783	OnCaiLiaoZhuanHua
457	809272	DoDiaowenJinJie
458	809272	DoDiaowenJinJieQiangHua
459	809272	DoDiaowenJinJieShengJi
460	809272	DoDiaowenJinJieHuiTui
461	809272	DoTeXingQiangHua
462	809272	DoTeXingShengJi
463	809272	DoDiaowenJinJieTeXingGengHuan
464	998832	OnClientGetGift
465	999262	GiveAward
466	998831	GiveAward
467	998831	GiveGiftBox
468	999361	ChangeOrnamentsPos
469	999361	UnlockOrnaments
470	998789	AddMissionToPlayer
471	999261	SpecialPetEggChoosePet
472	000129	OnCloseTransSceneEffect
